contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
LOW230609C00170000,LOW,2023-05-17 13:59:31,2023-06-09,170.0,32.68,36.35,37.5,36.925,1.0,0,0.8271501660156249,206.77999877929688,calls,0.018699423007510933
LOW230609C00175000,LOW,2023-05-30 15:20:53,2023-06-09,175.0,30.1,31.5,32.5,32.0,0.0,1,0.773439765625,206.77999877929688,calls,0.018699423007510933
LOW230609C00180000,LOW,2023-06-05 14:07:08,2023-06-09,180.0,28.45,26.45,27.35,26.9,1.0,2,0.5976602734375001,206.77999877929688,calls,0.018699423007510933
LOW230609C00185000,LOW,2023-05-23 13:41:27,2023-06-09,185.0,20.86,20.95,22.95,21.95,1.0,3,0.526371923828125,206.77999877929688,calls,0.018699423007510933
LOW230609C00187500,LOW,2023-06-01 14:42:15,2023-06-09,187.5,14.2,18.95,19.9,19.424999999999997,1.0,5,0.6289099609375001,206.77999877929688,calls,0.018699423007510933
LOW230609C00190000,LOW,2023-06-01 19:31:20,2023-06-09,190.0,14.55,16.45,17.3,16.875,0.0,1,0.5385788330078126,206.77999877929688,calls,0.018699423007510933
LOW230609C00192500,LOW,2023-05-22 19:58:20,2023-06-09,192.5,13.3,13.95,14.95,14.45,0.0,8,0.5102588037109376,206.77999877929688,calls,0.018699423007510933
LOW230609C00195000,LOW,2023-06-02 16:27:47,2023-06-09,195.0,14.37,11.7,12.4,12.05,2.0,35,0.432622861328125,206.77999877929688,calls,0.018699423007510933
LOW230609C00197500,LOW,2023-06-05 17:35:00,2023-06-09,197.5,10.35,9.45,10.2,9.825,2.0,21,0.4172421557617187,206.77999877929688,calls,0.018699423007510933
LOW230609C00200000,LOW,2023-06-05 18:51:53,2023-06-09,200.0,7.3,7.15,7.65,7.4,1.0,62,0.33399103515625,206.77999877929688,calls,0.018699423007510933
LOW230609C00202500,LOW,2023-06-05 18:06:18,2023-06-09,202.5,5.65,5.05,5.55,5.3,5.0,58,0.3061592822265625,206.77999877929688,calls,0.018699423007510933
LOW230609C00205000,LOW,2023-06-05 19:19:33,2023-06-09,205.0,3.25,3.3,3.45,3.375,53.0,117,0.2556226782226563,206.77999877929688,calls,0.018699423007510933
LOW230609C00207500,LOW,2023-06-05 19:59:00,2023-06-09,207.5,1.88,1.86,1.95,1.905,99.0,151,0.23706817626953125,206.77999877929688,calls,0.018699423007510933
LOW230609C00210000,LOW,2023-06-05 19:49:09,2023-06-09,210.0,1.0,0.89,0.98,0.935,105.0,199,0.22925575439453127,206.77999877929688,calls,0.018699423007510933
LOW230609C00212500,LOW,2023-06-05 19:04:31,2023-06-09,212.5,0.42,0.35,0.45,0.4,107.0,294,0.22852333984375,206.77999877929688,calls,0.018699423007510933
LOW230609C00215000,LOW,2023-06-05 19:40:26,2023-06-09,215.0,0.15,0.13,0.21,0.16999999999999998,84.0,215,0.23633576171874998,206.77999877929688,calls,0.018699423007510933
LOW230609C00217500,LOW,2023-06-05 19:29:56,2023-06-09,217.5,0.07,0.05,0.17,0.11000000000000001,44.0,56,0.2749095947265625,206.77999877929688,calls,0.018699423007510933
LOW230609C00220000,LOW,2023-06-05 15:47:20,2023-06-09,220.0,0.05,0.01,0.11,0.06,50.0,373,0.29688203124999996,206.77999877929688,calls,0.018699423007510933
LOW230609P00182500,LOW,2023-06-05 18:18:55,2023-06-09,182.5,0.03,0.01,0.03,0.02,1.0,24,0.44922425781249997,206.77999877929688,puts,0.018699423007510933
LOW230609P00187500,LOW,2023-06-05 18:34:35,2023-06-09,187.5,0.05,0.02,0.07,0.045000000000000005,1.0,80,0.40820904296875,206.77999877929688,puts,0.018699423007510933
LOW230609P00190000,LOW,2023-06-05 16:23:25,2023-06-09,190.0,0.07,0.02,0.09,0.055,12.0,118,0.37500625,206.77999877929688,puts,0.018699423007510933
LOW230609P00192500,LOW,2023-06-05 18:34:35,2023-06-09,192.5,0.07,0.03,0.1,0.065,16.0,125,0.3320379296875,206.77999877929688,puts,0.018699423007510933
LOW230609P00195000,LOW,2023-06-05 19:13:27,2023-06-09,195.0,0.13,0.1,0.17,0.135,22.0,310,0.31250687499999996,206.77999877929688,puts,0.018699423007510933
LOW230609P00197500,LOW,2023-06-05 19:57:38,2023-06-09,197.5,0.22,0.18,0.24,0.21,195.0,89,0.27930408203124996,206.77999877929688,puts,0.018699423007510933
LOW230609P00200000,LOW,2023-06-05 19:56:24,2023-06-09,200.0,0.37,0.36,0.43,0.395,194.0,338,0.2602613037109375,206.77999877929688,puts,0.018699423007510933
LOW230609P00202500,LOW,2023-06-05 19:50:50,2023-06-09,202.5,0.7,0.71,0.79,0.75,117.0,138,0.24390404541015626,206.77999877929688,puts,0.018699423007510933
LOW230609P00205000,LOW,2023-06-05 19:59:45,2023-06-09,205.0,1.44,1.35,1.43,1.3900000000000001,96.0,570,0.229499892578125,206.77999877929688,puts,0.018699423007510933
LOW230609P00207500,LOW,2023-06-05 19:59:58,2023-06-09,207.5,2.4,2.37,2.66,2.515,128.0,323,0.23596955444335935,206.77999877929688,puts,0.018699423007510933
LOW230609P00210000,LOW,2023-06-05 19:01:58,2023-06-09,210.0,4.0,3.8,4.1,3.9499999999999997,97.0,99,0.21704884521484374,206.77999877929688,puts,0.018699423007510933
LOW230609P00212500,LOW,2023-06-05 19:49:58,2023-06-09,212.5,5.9,5.85,6.2,6.025,12.0,26,0.23389437988281248,206.77999877929688,puts,0.018699423007510933
LOW230609P00215000,LOW,2023-06-05 13:46:23,2023-06-09,215.0,6.8,7.8,8.75,8.275,2.0,1,0.3061592822265625,206.77999877929688,puts,0.018699423007510933
LOW230609P00217500,LOW,2023-06-05 18:26:39,2023-06-09,217.5,10.5,10.25,11.2,10.725,1.0,0,0.35547519531249994,206.77999877929688,puts,0.018699423007510933
LOW230609P00220000,LOW,2023-06-05 18:37:06,2023-06-09,220.0,13.4,12.85,13.5,13.175,28.0,4,0.35986968261718744,206.77999877929688,puts,0.018699423007510933
LOW230609P00225000,LOW,2023-06-02 13:45:33,2023-06-09,225.0,18.38,17.65,18.8,18.225,1.0,1,0.5415084912109377,206.77999877929688,puts,0.018699423007510933
LOW230609P00230000,LOW,2023-06-01 14:39:10,2023-06-09,230.0,29.5,22.85,23.7,23.275,1.0,1,0.614261669921875,206.77999877929688,puts,0.018699423007510933
LOW230609P00232500,LOW,2023-05-30 13:50:02,2023-06-09,232.5,27.05,25.3,26.3,25.8,0.0,0,0.6904327832031252,206.77999877929688,puts,0.018699423007510933
LOW230609P00235000,LOW,2023-05-23 14:22:46,2023-06-09,235.0,26.9,27.8,28.65,28.225,0.0,0,0.6904327832031252,206.77999877929688,puts,0.018699423007510933
LOW230616C00090000,LOW,2023-04-24 16:54:00,2023-06-16,90.0,120.8,113.15,115.15,114.15,100.0,0,1.0000000000000003e-05,206.77999877929688,calls,0.018699423007510933
LOW230616C00095000,LOW,2023-04-24 18:57:07,2023-06-16,95.0,116.01,108.05,110.25,109.15,3.0,0,1.0000000000000003e-05,206.77999877929688,calls,0.018699423007510933
LOW230616C00100000,LOW,2023-04-25 17:39:36,2023-06-16,100.0,108.78,100.6,101.9,101.25,3.0,3,1.0000000000000003e-05,206.77999877929688,calls,0.018699423007510933
LOW230616C00105000,LOW,2023-05-26 13:41:44,2023-06-16,105.0,99.35,101.4,102.65,102.025,10.0,10,1.724610751953125,206.77999877929688,calls,0.018699423007510933
LOW230616C00110000,LOW,2023-05-16 17:16:23,2023-06-16,110.0,90.35,96.35,97.4,96.875,1.0,1,1.4296903515625,206.77999877929688,calls,0.018699423007510933
LOW230616C00115000,LOW,2023-05-12 14:11:18,2023-06-16,115.0,88.8,91.5,92.6,92.05,4.0,4,1.53515857421875,206.77999877929688,calls,0.018699423007510933
LOW230616C00120000,LOW,2022-11-04 15:27:37,2023-06-16,120.0,68.3,96.35,97.85,97.1,5.0,8,3.4729017083740237,206.77999877929688,calls,0.018699423007510933
LOW230616C00125000,LOW,2022-11-09 19:45:56,2023-06-16,125.0,66.9,79.0,80.5,79.75,1.0,1,1.0000000000000003e-05,206.77999877929688,calls,0.018699423007510933
LOW230616C00130000,LOW,2022-12-09 15:00:44,2023-06-16,130.0,76.15,72.75,74.0,73.375,3.0,20,1.0000000000000003e-05,206.77999877929688,calls,0.018699423007510933
LOW230616C00135000,LOW,2022-12-07 20:04:51,2023-06-16,135.0,75.65,68.15,69.5,68.825,4.0,21,1.0000000000000003e-05,206.77999877929688,calls,0.018699423007510933
LOW230616C00140000,LOW,2022-12-07 18:56:35,2023-06-16,140.0,72.35,63.6,64.95,64.275,6.0,45,1.0000000000000003e-05,206.77999877929688,calls,0.018699423007510933
LOW230616C00145000,LOW,2023-05-11 16:42:54,2023-06-16,145.0,59.0,61.6,62.6,62.1,1.0,20,1.01172369140625,206.77999877929688,calls,0.018699423007510933
LOW230616C00150000,LOW,2023-05-23 14:44:08,2023-06-16,150.0,59.12,56.6,57.7,57.150000000000006,2.0,35,0.9511723632812499,206.77999877929688,calls,0.018699423007510933
LOW230616C00155000,LOW,2023-05-22 13:49:40,2023-06-16,155.0,53.25,51.6,52.7,52.150000000000006,9.0,25,0.867188828125,206.77999877929688,calls,0.018699423007510933
LOW230616C00160000,LOW,2023-06-05 14:37:03,2023-06-16,160.0,48.0,46.65,47.8,47.224999999999994,1.0,36,0.813478427734375,206.77999877929688,calls,0.018699423007510933
LOW230616C00165000,LOW,2023-05-23 16:49:33,2023-06-16,165.0,42.65,41.75,42.6,42.175,1.0,24,0.7148466015625,206.77999877929688,calls,0.018699423007510933
LOW230616C00170000,LOW,2023-06-01 13:39:01,2023-06-16,170.0,29.8,36.65,37.6,37.125,4.0,108,0.6191444335937502,206.77999877929688,calls,0.018699423007510933
LOW230616C00175000,LOW,2023-06-02 15:07:59,2023-06-16,175.0,33.4,31.5,32.6,32.05,1.0,43,0.51758294921875,206.77999877929688,calls,0.018699423007510933
LOW230616C00180000,LOW,2023-05-30 19:50:46,2023-06-16,180.0,27.05,26.6,27.65,27.125,4.0,126,0.577152666015625,206.77999877929688,calls,0.018699423007510933
LOW230616C00182500,LOW,2023-05-23 13:54:44,2023-06-16,182.5,26.7,24.25,25.1,24.675,0.0,1,0.5249070947265625,206.77999877929688,calls,0.018699423007510933
LOW230616C00185000,LOW,2023-06-05 17:37:02,2023-06-16,185.0,23.01,21.9,22.7,22.299999999999997,2.0,179,0.49707534179687507,206.77999877929688,calls,0.018699423007510933
LOW230616C00187500,LOW,2023-05-31 13:56:35,2023-06-16,187.5,16.0,19.5,20.25,19.875,1.0,2,0.45972219970703126,206.77999877929688,calls,0.018699423007510933
LOW230616C00190000,LOW,2023-06-05 18:26:40,2023-06-16,190.0,17.84,16.95,18.0,17.475,2.0,751,0.4458063232421875,206.77999877929688,calls,0.018699423007510933
