contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ABT230609C00088000,ABT,2023-06-01 17:45:48,2023-06-09,88.0,14.27,14.3,15.1,14.7,0.0,1,0.7656273437500001,102.62000274658203,calls,0.018839731841633834
ABT230609C00095000,ABT,2023-06-02 13:58:55,2023-06-09,95.0,8.13,7.6,8.0,7.8,6.0,4,0.5136767382812499,102.62000274658203,calls,0.018839731841633834
ABT230609C00097000,ABT,2023-05-25 13:37:18,2023-06-09,97.0,5.4,5.3,6.15,5.725,0.0,5,0.5620160986328125,102.62000274658203,calls,0.018839731841633834
ABT230609C00098000,ABT,2023-05-23 14:19:01,2023-06-09,98.0,9.4,4.4,5.0,4.7,0.0,1,0.43848217773437503,102.62000274658203,calls,0.018839731841633834
ABT230609C00099000,ABT,2023-06-05 13:58:45,2023-06-09,99.0,5.74,3.45,3.95,3.7,1.0,1,0.3540103662109374,102.62000274658203,calls,0.018839731841633834
ABT230609C00100000,ABT,2023-05-25 13:36:24,2023-06-09,100.0,3.16,2.51,3.0,2.755,0.0,12,0.3042061767578125,102.62000274658203,calls,0.018839731841633834
ABT230609C00101000,ABT,2023-06-01 15:09:20,2023-06-09,101.0,1.83,1.68,1.93,1.805,4.0,28,0.21094539062499998,102.62000274658203,calls,0.018839731841633834
ABT230609C00102000,ABT,2023-06-06 19:09:32,2023-06-09,102.0,0.99,1.06,1.15,1.105,15.0,66,0.187508125,102.62000274658203,calls,0.018839731841633834
ABT230609C00103000,ABT,2023-06-06 19:45:03,2023-06-09,103.0,0.62,0.51,0.57,0.54,18.0,85,0.1733481103515625,102.62000274658203,calls,0.018839731841633834
ABT230609C00104000,ABT,2023-06-06 18:38:51,2023-06-09,104.0,0.15,0.17,0.24,0.20500000000000002,32.0,83,0.16993017578125003,102.62000274658203,calls,0.018839731841633834
ABT230609C00105000,ABT,2023-06-06 19:54:49,2023-06-09,105.0,0.08,0.05,0.08,0.065,26.0,206,0.16700051757812504,102.62000274658203,calls,0.018839731841633834
ABT230609C00106000,ABT,2023-06-06 19:46:50,2023-06-09,106.0,0.03,0.01,0.04,0.025,90.0,148,0.18555501953124998,102.62000274658203,calls,0.018839731841633834
ABT230609C00107000,ABT,2023-06-06 14:44:23,2023-06-09,107.0,0.01,0.01,0.03,0.02,7.0,124,0.2148516015625,102.62000274658203,calls,0.018839731841633834
ABT230609C00108000,ABT,2023-06-06 17:15:07,2023-06-09,108.0,0.01,0.01,0.02,0.015,4.0,46,0.23828886718749998,102.62000274658203,calls,0.018839731841633834
ABT230609P00097000,ABT,2023-06-06 15:50:46,2023-06-09,97.0,0.02,0.01,0.05,0.030000000000000002,3.0,8,0.304694453125,102.62000274658203,puts,0.018839731841633834
ABT230609P00098000,ABT,2023-06-06 15:51:39,2023-06-09,98.0,0.03,0.01,0.11,0.06,2.0,10,0.30664755859375,102.62000274658203,puts,0.018839731841633834
ABT230609P00099000,ABT,2023-06-06 17:36:00,2023-06-09,99.0,0.06,0.03,0.06,0.045,7.0,10,0.22071091796874998,102.62000274658203,puts,0.018839731841633834
