contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NEE230616C00035000,NEE,2023-06-01 13:30:02,2023-06-16,35.0,38.6,38.3,38.8,38.55,5.0,5,2.160160849609375,73.37999725341797,calls,0.02394839737134875
NEE230616C00050000,NEE,2023-06-05 13:48:25,2023-06-16,50.0,24.45,23.3,23.7,23.5,1.0,1,1.140629296875,73.37999725341797,calls,0.02394839737134875
NEE230616C00055000,NEE,2023-02-24 16:51:14,2023-06-16,55.0,18.4,21.2,21.7,21.45,1.0,2,2.183598291015625,73.37999725341797,calls,0.02394839737134875
NEE230616C00060000,NEE,2023-06-06 14:43:47,2023-06-16,60.0,14.13,13.3,13.8,13.55,2.0,27,0.7050810742187501,73.37999725341797,calls,0.02394839737134875
NEE230616C00062500,NEE,2023-03-23 15:34:50,2023-06-16,62.5,13.64,16.7,17.1,16.9,1.0,118,2.268559016113281,73.37999725341797,calls,0.02394839737134875
NEE230616C00065000,NEE,2023-06-06 16:28:47,2023-06-16,65.0,9.13,8.4,8.8,8.600000000000001,1.0,12,0.5942423388671876,73.37999725341797,calls,0.02394839737134875
NEE230616C00067500,NEE,2023-05-31 16:47:49,2023-06-16,67.5,6.1,5.9,6.4,6.15,56.0,81,0.49121602539062503,73.37999725341797,calls,0.02394839737134875
NEE230616C00070000,NEE,2023-06-05 19:29:09,2023-06-16,70.0,4.0,3.7,3.9,3.8,11.0,198,0.34278000976562495,73.37999725341797,calls,0.02394839737134875
NEE230616C00072500,NEE,2023-06-06 19:59:52,2023-06-16,72.5,1.8,1.75,1.8,1.775,162.0,1250,0.2600171655273438,73.37999725341797,calls,0.02394839737134875
NEE230616C00075000,NEE,2023-06-06 19:58:34,2023-06-16,75.0,0.55,0.5,0.55,0.525,129.0,7552,0.231452998046875,73.37999725341797,calls,0.02394839737134875
NEE230616C00077500,NEE,2023-06-06 19:57:00,2023-06-16,77.5,0.11,0.05,0.15,0.1,176.0,6739,0.24414818359375,73.37999725341797,calls,0.02394839737134875
NEE230616C00115000,NEE,2022-12-14 14:36:24,2023-06-16,115.0,0.5,0.05,0.25,0.15,1.0,1097,1.2636755566406248,73.37999725341797,calls,0.02394839737134875
NEE230616P00035000,NEE,2023-02-01 14:57:25,2023-06-16,35.0,0.1,0.05,0.1,0.07500000000000001,1.0,98,1.9140629296875002,73.37999725341797,puts,0.02394839737134875
NEE230616P00042500,NEE,2022-09-16 19:29:05,2023-06-16,42.5,0.46,0.9,1.1,1.0,0.0,5,2.387699343261718,73.37999725341797,puts,0.02394839737134875
NEE230616P00065000,NEE,2023-06-06 17:27:51,2023-06-16,65.0,0.05,0.05,0.1,0.07500000000000001,11.0,1089,0.41992767578125,73.37999725341797,puts,0.02394839737134875
NEE230616P00067500,NEE,2023-06-06 19:42:30,2023-06-16,67.5,0.11,0.1,0.15,0.125,5.0,2375,0.34180345703125,73.37999725341797,puts,0.02394839737134875
NEE230616P00070000,NEE,2023-06-06 19:35:34,2023-06-16,70.0,0.21,0.2,0.3,0.25,58.0,13845,0.2778392529296875,73.37999725341797,puts,0.02394839737134875
NEE230616P00072500,NEE,2023-06-06 19:59:42,2023-06-16,72.5,0.71,0.7,0.8,0.75,61.0,16611,0.23535920898437498,73.37999725341797,puts,0.02394839737134875
NEE230616P00075000,NEE,2023-06-06 19:49:15,2023-06-16,75.0,1.8,1.9,2.05,1.9749999999999999,3.0,12545,0.2036212451171875,73.37999725341797,puts,0.02394839737134875
NEE230616P00077500,NEE,2023-06-05 18:50:36,2023-06-16,77.5,4.04,3.9,4.2,4.05,7.0,2673,0.20996883789062498,73.37999725341797,puts,0.02394839737134875
NEE230616P00080000,NEE,2023-06-05 19:35:22,2023-06-16,80.0,6.42,6.4,6.7,6.550000000000001,815.0,4149,0.299811689453125,73.37999725341797,puts,0.02394839737134875
NEE230616P00082500,NEE,2023-06-06 19:32:41,2023-06-16,82.5,8.6,8.9,9.3,9.100000000000001,1177.0,355,0.45117736328125,73.37999725341797,puts,0.02394839737134875
NEE230616P00085000,NEE,2023-06-06 19:32:41,2023-06-16,85.0,11.1,11.4,11.8,11.600000000000001,318.0,135,0.5371140039062501,73.37999725341797,puts,0.02394839737134875
NEE230616P00087500,NEE,2023-06-06 19:32:41,2023-06-16,87.5,13.6,14.0,14.3,14.15,758.0,176,0.6171913281250001,73.37999725341797,puts,0.02394839737134875
NEE230616P00090000,NEE,2023-06-06 19:32:41,2023-06-16,90.0,16.1,16.4,16.8,16.6,1517.0,297,0.69336244140625,73.37999725341797,puts,0.02394839737134875
NEE230616P00092500,NEE,2023-05-18 13:41:08,2023-06-16,92.5,18.5,18.9,19.3,19.1,12.0,5,0.7656273437500001,73.37999725341797,puts,0.02394839737134875
NEE230616P00095000,NEE,2023-05-11 17:59:25,2023-06-16,95.0,19.4,21.4,21.8,21.6,1.0,0,0.8339860351562498,73.37999725341797,puts,0.02394839737134875
NEE230616P00097500,NEE,2023-03-29 19:05:22,2023-06-16,97.5,21.3,20.6,21.2,20.9,3603.0,0,1.0000000000000003e-05,73.37999725341797,puts,0.02394839737134875
NEE230616P00100000,NEE,2023-05-12 17:21:41,2023-06-16,100.0,22.7,26.3,26.8,26.55,11.0,0,0.9648441015625,73.37999725341797,puts,0.02394839737134875
NEE230616P00105000,NEE,2023-05-11 18:43:12,2023-06-16,105.0,29.3,31.3,31.8,31.55,3.0,0,1.083988955078125,73.37999725341797,puts,0.02394839737134875
NEE230616P00110000,NEE,2023-05-16 16:27:43,2023-06-16,110.0,34.2,36.4,36.9,36.65,2.0,0,0.937500625,73.37999725341797,puts,0.02394839737134875
NEE230616P00115000,NEE,2023-05-16 14:55:25,2023-06-16,115.0,39.2,41.3,41.8,41.55,1.0,0,1.3007847460937496,73.37999725341797,puts,0.02394839737134875
NEE230616P00120000,NEE,2023-05-18 19:01:58,2023-06-16,120.0,45.4,46.4,46.8,46.599999999999994,2.0,0,1.400393623046875,73.37999725341797,puts,0.02394839737134875
NEE230616P00125000,NEE,2023-05-18 18:22:41,2023-06-16,125.0,50.3,51.3,51.8,51.55,1.0,0,1.4921900390624998,73.37999725341797,puts,0.02394839737134875
NEE230616P00130000,NEE,2023-05-18 19:32:12,2023-06-16,130.0,55.3,56.3,56.8,56.55,11.0,0,1.5820333398437496,73.37999725341797,puts,0.02394839737134875
NEE230616P00135000,NEE,2023-05-25 15:50:30,2023-06-16,135.0,62.78,61.4,61.9,61.65,10.0,0,1.3359408203124996,73.37999725341797,puts,0.02394839737134875
NEE230721C00065000,NEE,2023-05-22 17:36:50,2023-07-21,65.0,10.4,9.1,9.4,9.25,1.0,2,0.39258419921875,73.37999725341797,calls,0.02394839737134875
NEE230721C00067500,NEE,2023-06-02 18:40:08,2023-07-21,67.5,7.7,6.7,7.1,6.9,1.0,5,0.33887379882812496,73.37999725341797,calls,0.02394839737134875
NEE230721C00070000,NEE,2023-06-06 16:37:50,2023-07-21,70.0,5.3,4.8,5.0,4.9,2.0,61,0.29688203124999996,73.37999725341797,calls,0.02394839737134875
NEE230721C00072500,NEE,2023-06-06 16:10:13,2023-07-21,72.5,3.4,3.0,3.1,3.05,3.0,168,0.2553785400390626,73.37999725341797,calls,0.02394839737134875
NEE230721C00075000,NEE,2023-06-06 19:46:20,2023-07-21,75.0,1.73,1.6,1.75,1.675,455.0,1508,0.2357254162597656,73.37999725341797,calls,0.02394839737134875
NEE230721C00077500,NEE,2023-06-06 17:52:43,2023-07-21,77.5,0.8,0.7,0.8,0.75,217.0,1686,0.2148516015625,73.37999725341797,calls,0.02394839737134875
NEE230721C00080000,NEE,2023-06-06 18:58:02,2023-07-21,80.0,0.3,0.25,0.3,0.275,26.0,4954,0.20093572509765623,73.37999725341797,calls,0.02394839737134875
NEE230721C00082500,NEE,2023-06-06 19:59:13,2023-07-21,82.5,0.1,0.05,0.15,0.1,1.0,497,0.21192194335937498,73.37999725341797,calls,0.02394839737134875
NEE230721P00055000,NEE,2023-06-05 17:32:48,2023-07-21,55.0,0.08,0.05,0.1,0.07500000000000001,6.0,27,0.422857333984375,73.37999725341797,puts,0.02394839737134875
NEE230721P00060000,NEE,2023-06-02 17:00:08,2023-07-21,60.0,0.2,0.1,0.25,0.175,3.0,184,0.3745179736328125,73.37999725341797,puts,0.02394839737134875
