contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CVX230609C00125000,CVX,2023-06-02 16:00:13,2023-06-09,125.0,31.1,30.4,31.0,30.7,1.0,0,0.9941406835937501,155.50999450683594,calls,0.03729663818967624
CVX230609C00129000,CVX,2023-06-01 14:48:12,2023-06-09,129.0,22.65,26.45,26.85,26.65,0.0,1,0.8271501660156249,155.50999450683594,calls,0.03729663818967624
CVX230609C00139000,CVX,2023-06-01 14:17:03,2023-06-09,139.0,12.05,16.45,16.8,16.625,0.0,2,0.5205126074218749,155.50999450683594,calls,0.03729663818967624
CVX230609C00140000,CVX,2023-06-05 18:06:16,2023-06-09,140.0,16.05,15.45,16.05,15.75,4.0,10,0.56836369140625,155.50999450683594,calls,0.03729663818967624
CVX230609C00143000,CVX,2023-06-01 13:41:29,2023-06-09,143.0,8.5,12.5,12.9,12.7,0.0,3,0.5346726220703125,155.50999450683594,calls,0.03729663818967624
CVX230609C00145000,CVX,2023-06-05 15:35:38,2023-06-09,145.0,10.75,10.5,11.05,10.775,1.0,32,0.5122119091796875,155.50999450683594,calls,0.03729663818967624
CVX230609C00146000,CVX,2023-06-02 14:37:23,2023-06-09,146.0,9.07,9.45,9.85,9.649999999999999,7.0,10,0.41699801757812494,155.50999450683594,calls,0.03729663818967624
CVX230609C00147000,CVX,2023-06-02 17:39:25,2023-06-09,147.0,9.56,8.6,8.85,8.725,16.0,22,0.3833069482421875,155.50999450683594,calls,0.03729663818967624
CVX230609C00148000,CVX,2023-06-05 15:45:46,2023-06-09,148.0,8.3,7.65,7.85,7.75,4.0,42,0.3491276025390625,155.50999450683594,calls,0.03729663818967624
CVX230609C00149000,CVX,2023-06-05 18:34:30,2023-06-09,149.0,7.2,6.7,6.9,6.800000000000001,5.0,146,0.32813171874999997,155.50999450683594,calls,0.03729663818967624
