contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
HD230609C00180000,HD,2023-05-25 13:57:02,2023-06-09,180.0,110.65,112.5,114.2,113.35,0.0,0,1.896484892578125,293.1000061035156,calls,0.026794040156245275
HD230609C00220000,HD,2023-05-31 13:35:24,2023-06-09,220.0,67.1,72.3,74.15,73.225,0.0,1,1.076176494140625,293.1000061035156,calls,0.026794040156245275
HD230609C00240000,HD,2023-05-31 19:54:47,2023-06-09,240.0,44.69,52.25,53.9,53.075,0.0,100,1.076176494140625,293.1000061035156,calls,0.026794040156245275
HD230609C00255000,HD,2023-05-12 19:51:20,2023-06-09,255.0,37.0,37.25,39.05,38.15,0.0,0,0.5039112109375,293.1000061035156,calls,0.026794040156245275
HD230609C00260000,HD,2023-06-02 18:08:01,2023-06-09,260.0,31.9,32.35,33.85,33.1,2.0,3,0.7065459033203125,293.1000061035156,calls,0.026794040156245275
HD230609C00262500,HD,2023-05-31 19:54:47,2023-06-09,262.5,22.54,29.65,31.35,30.5,0.0,100,0.6621127539062501,293.1000061035156,calls,0.026794040156245275
HD230609C00265000,HD,2023-06-02 19:59:17,2023-06-09,265.0,30.8,27.7,28.85,28.275,1.0,1,0.6181678808593751,293.1000061035156,calls,0.026794040156245275
HD230609C00267500,HD,2023-05-30 18:50:41,2023-06-09,267.5,23.75,24.95,26.35,25.65,0.0,0,0.5737347314453125,293.1000061035156,calls,0.026794040156245275
HD230609C00270000,HD,2023-06-02 14:34:09,2023-06-09,270.0,22.75,22.4,23.85,23.125,1.0,5,0.5288133056640626,293.1000061035156,calls,0.026794040156245275
HD230609C00272500,HD,2023-06-01 14:04:46,2023-06-09,272.5,11.18,20.0,21.45,20.725,0.0,1,0.5009815527343751,293.1000061035156,calls,0.026794040156245275
HD230609C00275000,HD,2023-06-05 18:15:35,2023-06-09,275.0,17.59,17.5,18.9,18.2,2.0,9,0.44653873779296877,293.1000061035156,calls,0.026794040156245275
HD230609C00277500,HD,2023-06-02 15:17:40,2023-06-09,277.5,17.45,15.2,16.45,15.825,2.0,3,0.4074766284179688,293.1000061035156,calls,0.026794040156245275
HD230609C00280000,HD,2023-06-05 17:49:16,2023-06-09,280.0,13.27,12.85,14.05,13.45,3.0,47,0.37280900634765624,293.1000061035156,calls,0.026794040156245275
HD230609C00282500,HD,2023-06-05 18:31:33,2023-06-09,282.5,9.97,10.6,11.65,11.125,5.0,72,0.33447931152343746,293.1000061035156,calls,0.026794040156245275
HD230609C00285000,HD,2023-06-05 19:21:37,2023-06-09,285.0,8.6,8.8,9.3,9.05,12.0,365,0.29761444580078117,293.1000061035156,calls,0.026794040156245275
HD230609C00287500,HD,2023-06-05 13:30:13,2023-06-09,287.5,5.69,6.5,7.25,6.875,2.0,154,0.28137925659179686,293.1000061035156,calls,0.026794040156245275
HD230609C00290000,HD,2023-06-05 19:37:22,2023-06-09,290.0,4.8,4.85,5.1,4.975,93.0,544,0.24402611450195313,293.1000061035156,calls,0.026794040156245275
HD230609C00292500,HD,2023-06-05 19:54:56,2023-06-09,292.5,3.41,3.25,3.45,3.35,242.0,507,0.22974403076171873,293.1000061035156,calls,0.026794040156245275
HD230609C00295000,HD,2023-06-05 19:59:57,2023-06-09,295.0,2.1,2.02,2.14,2.08,2117.0,1052,0.2180253979492187,293.1000061035156,calls,0.026794040156245275
HD230609C00297500,HD,2023-06-05 19:59:24,2023-06-09,297.5,1.2,1.15,1.25,1.2,1099.0,660,0.2133867724609375,293.1000061035156,calls,0.026794040156245275
HD230609C00300000,HD,2023-06-05 19:59:59,2023-06-09,300.0,0.66,0.64,0.71,0.675,1323.0,1185,0.21436332519531248,293.1000061035156,calls,0.026794040156245275
HD230609C00302500,HD,2023-06-05 19:59:23,2023-06-09,302.5,0.38,0.34,0.49,0.41500000000000004,213.0,537,0.23194127441406248,293.1000061035156,calls,0.026794040156245275
HD230609C00305000,HD,2023-06-05 19:40:47,2023-06-09,305.0,0.2,0.19,0.23,0.21000000000000002,296.0,825,0.2260819580078125,293.1000061035156,calls,0.026794040156245275
HD230609C00307500,HD,2023-06-05 19:17:53,2023-06-09,307.5,0.11,0.1,0.13,0.115,194.0,289,0.233406103515625,293.1000061035156,calls,0.026794040156245275
