contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
GOOG230609C00060000,GOOG,2023-06-05 17:17:46,2023-06-09,60.0,67.55,62.65,63.8,63.224999999999994,1.0,2.0,4.019536225585938,122.94000244140625,calls,0.0
GOOG230609C00070000,GOOG,2023-06-05 14:44:28,2023-06-09,70.0,57.0,52.65,53.8,53.224999999999994,3.0,2.0,3.238283154296875,122.94000244140625,calls,0.0
GOOG230609C00080000,GOOG,2023-06-06 19:54:19,2023-06-09,80.0,48.02,42.65,43.8,43.224999999999994,1.0,24.0,2.556644233398437,122.94000244140625,calls,0.0
GOOG230609C00085000,GOOG,2023-06-06 14:48:31,2023-06-09,85.0,37.85,37.65,38.8,38.224999999999994,1.0,2.0,2.2421918945312496,122.94000244140625,calls,0.0
GOOG230609C00090000,GOOG,2023-06-07 15:52:33,2023-06-09,90.0,33.68,32.65,33.8,33.224999999999994,12.0,25.0,1.9453127734375002,122.94000244140625,calls,0.0
GOOG230609C00091000,GOOG,2023-05-25 17:08:01,2023-06-09,91.0,33.9,31.65,32.8,32.224999999999994,50.0,56.0,1.88671931640625,122.94000244140625,calls,0.0
GOOG230609C00092000,GOOG,2023-06-02 14:55:02,2023-06-09,92.0,33.37,30.8,31.7,31.25,3.0,15.0,1.857422587890625,122.94000244140625,calls,0.0
GOOG230609C00093000,GOOG,2023-06-05 18:54:00,2023-06-09,93.0,33.52,29.65,30.8,30.225,1.0,5.0,1.7714855175781248,122.94000244140625,calls,0.0
GOOG230609C00094000,GOOG,2023-06-06 14:15:30,2023-06-09,94.0,33.17,28.7,29.8,29.25,1.0,18.0,1.7421887890624999,122.94000244140625,calls,0.0
GOOG230609C00095000,GOOG,2023-06-07 16:19:49,2023-06-09,95.0,28.78,27.7,28.8,28.25,2.0,27.0,1.68359533203125,122.94000244140625,calls,0.0
GOOG230609C00096000,GOOG,2023-06-07 19:57:02,2023-06-09,96.0,27.23,26.7,27.8,27.25,1.0,22.0,1.626954990234375,122.94000244140625,calls,0.0
GOOG230609C00097000,GOOG,2023-06-05 13:48:06,2023-06-09,97.0,29.51,25.7,26.8,26.25,1.0,30.0,1.5703146484375,122.94000244140625,calls,0.0
GOOG230609C00098000,GOOG,2023-06-02 16:55:20,2023-06-09,98.0,27.85,24.7,25.8,25.25,3.0,9.0,1.5156274218749999,122.94000244140625,calls,0.0
GOOG230609C00099000,GOOG,2023-06-06 17:20:00,2023-06-09,99.0,28.45,23.7,24.8,24.25,1.0,17.0,1.4589870800781248,122.94000244140625,calls,0.0
GOOG230609C00100000,GOOG,2023-06-07 18:23:30,2023-06-09,100.0,23.76,22.7,23.8,23.25,52.0,127.0,1.404299853515625,122.94000244140625,calls,0.0
GOOG230609C00101000,GOOG,2023-06-07 17:07:07,2023-06-09,101.0,22.19,21.7,22.8,22.25,1.0,143.0,1.3476595117187498,122.94000244140625,calls,0.0
GOOG230609C00102000,GOOG,2023-06-07 15:08:55,2023-06-09,102.0,23.07,20.7,21.8,21.25,1.0,188.0,1.29297228515625,122.94000244140625,calls,0.0
GOOG230609C00103000,GOOG,2023-06-05 19:48:24,2023-06-09,103.0,23.8,19.7,20.8,20.25,3.0,107.0,1.2382850585937497,122.94000244140625,calls,0.0
GOOG230609C00104000,GOOG,2023-06-07 19:26:40,2023-06-09,104.0,18.99,18.7,19.8,19.25,3.0,15.0,1.18359783203125,122.94000244140625,calls,0.0
GOOG230609C00105000,GOOG,2023-06-06 19:40:52,2023-06-09,105.0,22.8,17.7,18.8,18.25,6.0,219.0,1.12891060546875,122.94000244140625,calls,0.0
GOOG230609C00106000,GOOG,2023-06-06 19:40:52,2023-06-09,106.0,18.7,16.7,17.8,17.25,1.0,0.0,1.0742233789062503,122.94000244140625,calls,0.0
GOOG230609C00107000,GOOG,2023-06-07 19:03:04,2023-06-09,107.0,16.1,15.7,16.8,16.25,3.0,0.0,1.0205127099609377,122.94000244140625,calls,0.0
GOOG230609C00108000,GOOG,2023-06-07 19:42:27,2023-06-09,108.0,15.01,14.7,15.8,15.25,14.0,0.0,0.96679720703125,122.94000244140625,calls,0.0
GOOG230609C00109000,GOOG,2023-06-07 13:42:07,2023-06-09,109.0,19.69,13.75,14.75,14.25,1.0,317.0,0.91211025390625,122.94000244140625,calls,0.0
GOOG230609C00110000,GOOG,2023-06-07 16:10:12,2023-06-09,110.0,13.07,12.7,13.8,13.25,124.0,537.0,0.85742330078125,122.94000244140625,calls,0.0
GOOG230609C00111000,GOOG,2023-06-07 19:34:43,2023-06-09,111.0,12.16,11.7,12.8,12.25,25.0,208.0,0.8027363476562499,122.94000244140625,calls,0.0
GOOG230609C00112000,GOOG,2023-06-06 18:47:20,2023-06-09,112.0,16.4,10.7,11.8,11.25,7.0,162.0,0.7490259472656251,122.94000244140625,calls,0.0
GOOG230609C00113000,GOOG,2023-06-07 17:26:06,2023-06-09,113.0,10.08,9.75,10.85,10.3,4.0,903.0,0.7216824707031251,122.94000244140625,calls,0.0
GOOG230609C00114000,GOOG,2023-06-07 19:39:25,2023-06-09,114.0,8.75,8.75,9.85,9.3,2.0,324.0,0.6650424121093752,122.94000244140625,calls,0.0
GOOG230609C00115000,GOOG,2023-06-07 19:51:17,2023-06-09,115.0,8.14,7.75,8.85,8.3,274.0,268.0,0.6084023535156251,122.94000244140625,calls,0.0
GOOG230609C00116000,GOOG,2023-06-07 19:08:41,2023-06-09,116.0,7.48,6.8,7.85,7.324999999999999,8.0,363.0,0.561527822265625,122.94000244140625,calls,0.0
GOOG230609C00117000,GOOG,2023-06-07 19:26:20,2023-06-09,117.0,6.23,5.7,6.55,6.125,42.0,388.0,0.5883830224609375,122.94000244140625,calls,0.0
GOOG230609C00118000,GOOG,2023-06-07 19:37:01,2023-06-09,118.0,5.2,4.9,5.55,5.225,30.0,530.0,0.5224657128906249,122.94000244140625,calls,0.0
GOOG230609C00119000,GOOG,2023-06-07 19:56:50,2023-06-09,119.0,4.25,4.2,4.55,4.375,39.0,597.0,0.4545952978515625,122.94000244140625,calls,0.0
GOOG230609C00120000,GOOG,2023-06-07 19:59:21,2023-06-09,120.0,3.4,3.1,3.55,3.325,196.0,983.0,0.3842835009765625,122.94000244140625,calls,0.0
GOOG230609C00121000,GOOG,2023-06-07 19:56:29,2023-06-09,121.0,2.6,2.39,2.64,2.515,270.0,459.0,0.33350275878906255,122.94000244140625,calls,0.0
GOOG230609C00122000,GOOG,2023-06-07 19:59:20,2023-06-09,122.0,1.85,1.74,1.92,1.83,899.0,804.0,0.31592480957031244,122.94000244140625,calls,0.0
GOOG230609C00123000,GOOG,2023-06-07 19:59:10,2023-06-09,123.0,1.24,1.19,1.26,1.225,5173.0,0.0,0.29004616210937495,122.94000244140625,calls,0.0
GOOG230609C00124000,GOOG,2023-06-07 19:59:46,2023-06-09,124.0,0.82,0.75,0.8,0.775,6031.0,0.0,0.282233740234375,122.94000244140625,calls,0.0
GOOG230609C00125000,GOOG,2023-06-07 19:59:52,2023-06-09,125.0,0.49,0.45,0.5,0.475,7662.0,3187.0,0.2841868457031249,122.94000244140625,calls,0.0
GOOG230609C00126000,GOOG,2023-06-07 19:59:13,2023-06-09,126.0,0.29,0.28,0.29,0.28500000000000003,5941.0,3338.0,0.2836985693359374,122.94000244140625,calls,0.0
GOOG230609C00127000,GOOG,2023-06-07 19:59:54,2023-06-09,127.0,0.17,0.16,0.19,0.175,8848.0,4249.0,0.29883513671874995,122.94000244140625,calls,0.0
GOOG230609C00128000,GOOG,2023-06-07 19:59:44,2023-06-09,128.0,0.12,0.1,0.12,0.11,8761.0,0.0,0.31055376953124997,122.94000244140625,calls,0.0
GOOG230609C00129000,GOOG,2023-06-07 19:57:47,2023-06-09,129.0,0.08,0.06,0.08,0.07,7759.0,2808.0,0.32520206054687495,122.94000244140625,calls,0.0
GOOG230609C00130000,GOOG,2023-06-07 19:58:59,2023-06-09,130.0,0.06,0.05,0.06,0.055,15900.0,13815.0,0.34570966796874997,122.94000244140625,calls,0.0
GOOG230609C00131000,GOOG,2023-06-07 19:59:33,2023-06-09,131.0,0.04,0.03,0.05,0.04,3433.0,2917.0,0.37305314453125,122.94000244140625,calls,0.0
