contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
BRKB230609C00200000,BRK-B,2023-05-26 13:36:01,2023-06-09,200.0,120.51,133.5,138.2,135.85,10.0,10.0,4.523441845703125,335.95001220703125,calls,0.0
BRKB230609C00250000,BRK-B,2023-06-02 19:01:30,2023-06-09,250.0,80.5,84.3,87.3,85.8,1.0,6.0,2.540042712402343,335.95001220703125,calls,0.0
BRKB230609C00285000,BRK-B,2023-06-07 15:40:12,2023-06-09,285.0,49.25,50.0,51.85,50.925,4.0,5.0,1.4492215039062502,335.95001220703125,calls,0.0
BRKB230609C00295000,BRK-B,2023-05-11 13:35:32,2023-06-09,295.0,28.9,40.0,42.0,41.0,15.0,8.0,0.7382838671874999,335.95001220703125,calls,0.0
BRKB230609C00300000,BRK-B,2023-06-06 15:24:16,2023-06-09,300.0,31.26,35.15,36.95,36.05,1.0,10.0,0.71679970703125,335.95001220703125,calls,0.0
BRKB230609C00305000,BRK-B,2023-06-08 13:49:59,2023-06-09,305.0,29.62,30.3,31.9,31.1,1.0,7.0,0.6660189648437502,335.95001220703125,calls,0.0
BRKB230609C00307500,BRK-B,2023-06-02 17:23:19,2023-06-09,307.5,23.05,26.9,29.95,28.424999999999997,4.0,4.0,1.0322314013671878,335.95001220703125,calls,0.0
BRKB230609C00310000,BRK-B,2023-06-06 18:48:14,2023-06-09,310.0,22.47,25.0,27.1,26.05,2.0,9.0,0.5351608984375,335.95001220703125,calls,0.0
BRKB230609C00312500,BRK-B,2023-06-01 16:09:15,2023-06-09,312.5,23.8,22.8,23.9,23.35,4.0,4.0,0.6489292919921875,335.95001220703125,calls,0.0
BRKB230609C00315000,BRK-B,2023-06-08 19:43:41,2023-06-09,315.0,21.05,20.45,21.35,20.9,13.0,42.0,0.577152666015625,335.95001220703125,calls,0.0
BRKB230609C00317500,BRK-B,2023-06-02 17:18:26,2023-06-09,317.5,18.84,17.9,19.45,18.674999999999997,1.0,19.0,0.664309997558594,335.95001220703125,calls,0.0
BRKB230609C00320000,BRK-B,2023-06-08 19:57:13,2023-06-09,320.0,16.1,15.5,16.75,16.125,28.0,146.0,0.5590864404296876,335.95001220703125,calls,0.0
