contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ABBV230616C00070000,ABBV,2023-04-04 15:40:10,2023-06-16,70.0,90.15,77.3,78.2,77.75,25.0,0.0,10.111331805419924,136.22999572753906,calls,0.042085689738991405
ABBV230616C00075000,ABBV,2023-05-31 19:50:00,2023-06-16,75.0,63.25,61.0,61.5,61.25,0.0,1.0,2.4062539843749997,136.22999572753906,calls,0.042085689738991405
ABBV230616C00080000,ABBV,2023-04-12 19:45:34,2023-06-16,80.0,82.2,67.1,67.75,67.425,3.0,0.0,8.498539844665526,136.22999572753906,calls,0.042085689738991405
ABBV230616C00090000,ABBV,2023-05-26 18:00:03,2023-06-16,90.0,47.85,46.05,46.45,46.25,6.0,6.0,1.71875140625,136.22999572753906,calls,0.042085689738991405
ABBV230616C00095000,ABBV,2023-04-27 18:11:38,2023-06-16,95.0,55.75,42.3,43.25,42.775,2.0,2.0,3.1250021875,136.22999572753906,calls,0.042085689738991405
ABBV230616C00100000,ABBV,2023-06-08 17:03:19,2023-06-16,100.0,37.84,36.15,36.45,36.3,2.0,64.0,1.5234398828124998,136.22999572753906,calls,0.042085689738991405
ABBV230616C00105000,ABBV,2023-05-17 13:35:52,2023-06-16,105.0,37.85,31.15,31.45,31.299999999999997,1.0,92.0,1.3085972070312497,136.22999572753906,calls,0.042085689738991405
ABBV230616C00110000,ABBV,2023-06-14 18:00:01,2023-06-16,110.0,26.9,26.15,26.45,26.299999999999997,12.0,44.0,1.1015669921875002,136.22999572753906,calls,0.042085689738991405
ABBV230616C00115000,ABBV,2023-05-31 19:50:00,2023-06-16,115.0,23.35,21.2,21.4,21.299999999999997,1.0,62.0,0.8984385156249999,136.22999572753906,calls,0.042085689738991405
ABBV230616C00120000,ABBV,2023-06-14 16:37:59,2023-06-16,120.0,16.43,16.15,16.4,16.275,3.0,63.0,0.6562534375000001,136.22999572753906,calls,0.042085689738991405
ABBV230616C00125000,ABBV,2023-06-14 15:36:31,2023-06-16,125.0,12.8,11.2,11.4,11.3,1.0,52.0,0.50586431640625,136.22999572753906,calls,0.042085689738991405
ABBV230616C00126000,ABBV,2023-06-01 15:24:34,2023-06-16,126.0,8.4,10.2,10.45,10.325,0.0,2.0,0.586918193359375,136.22999572753906,calls,0.042085689738991405
ABBV230616C00127000,ABBV,2023-06-14 19:59:08,2023-06-16,127.0,9.4,9.2,9.45,9.325,2.0,16.0,0.5400436621093752,136.22999572753906,calls,0.042085689738991405
ABBV230616C00128000,ABBV,2023-06-12 15:09:16,2023-06-16,128.0,10.0,8.2,8.45,8.325,2.0,49.0,0.4931691308593751,136.22999572753906,calls,0.042085689738991405
ABBV230616C00129000,ABBV,2023-06-09 13:46:59,2023-06-16,129.0,8.9,7.25,7.45,7.35,1.0,5.0,0.446294599609375,136.22999572753906,calls,0.042085689738991405
ABBV230616C00130000,ABBV,2023-06-14 19:24:08,2023-06-16,130.0,6.61,6.25,6.45,6.35,5.0,136.0,0.398443515625,136.22999572753906,calls,0.042085689738991405
ABBV230616C00132000,ABBV,2023-06-14 18:07:55,2023-06-16,132.0,4.5,4.3,4.5,4.4,8.0,22.0,0.31836619140624994,136.22999572753906,calls,0.042085689738991405
ABBV230616C00133000,ABBV,2023-06-12 18:11:05,2023-06-16,133.0,4.44,3.35,3.55,3.45,4.0,105.0,0.28125718749999995,136.22999572753906,calls,0.042085689738991405
ABBV230616C00134000,ABBV,2023-06-14 15:38:53,2023-06-16,134.0,3.83,2.46,2.69,2.575,3.0,521.0,0.2612378564453125,136.22999572753906,calls,0.042085689738991405
ABBV230616C00135000,ABBV,2023-06-14 18:44:27,2023-06-16,135.0,1.95,1.67,1.82,1.745,61.0,6554.0,0.22364057617187497,136.22999572753906,calls,0.042085689738991405
ABBV230616C00136000,ABBV,2023-06-14 19:01:15,2023-06-16,136.0,1.15,1.0,1.11,1.0550000000000002,30.0,294.0,0.20117986328124998,136.22999572753906,calls,0.042085689738991405
ABBV230616C00137000,ABBV,2023-06-14 19:59:57,2023-06-16,137.0,0.58,0.51,0.6,0.5549999999999999,259.0,2138.0,0.18921709228515626,136.22999572753906,calls,0.042085689738991405
ABBV230616C00138000,ABBV,2023-06-14 19:59:53,2023-06-16,138.0,0.29,0.25,0.31,0.28,266.0,1081.0,0.18994950683593753,136.22999572753906,calls,0.042085689738991405
ABBV230616C00139000,ABBV,2023-06-14 19:58:51,2023-06-16,139.0,0.14,0.14,0.16,0.15000000000000002,376.0,634.0,0.19727365234375,136.22999572753906,calls,0.042085689738991405
ABBV230616C00140000,ABBV,2023-06-14 19:43:24,2023-06-16,140.0,0.08,0.07,0.08,0.07500000000000001,1250.0,7792.0,0.20508607421874997,136.22999572753906,calls,0.042085689738991405
ABBV230616C00141000,ABBV,2023-06-14 19:56:35,2023-06-16,141.0,0.05,0.03,0.05,0.04,346.0,1117.0,0.22266402343749997,136.22999572753906,calls,0.042085689738991405
ABBV230616C00142000,ABBV,2023-06-14 19:37:27,2023-06-16,142.0,0.03,0.03,0.04,0.035,106.0,805.0,0.24805439453125,136.22999572753906,calls,0.042085689738991405
ABBV230616C00143000,ABBV,2023-06-14 17:26:43,2023-06-16,143.0,0.04,0.02,0.03,0.025,40.0,666.0,0.2695385546875,136.22999572753906,calls,0.042085689738991405
ABBV230616C00144000,ABBV,2023-06-13 16:44:03,2023-06-16,144.0,0.03,0.02,0.03,0.025,1.0,1627.0,0.3007882421875,136.22999572753906,calls,0.042085689738991405
ABBV230616C00145000,ABBV,2023-06-14 19:28:32,2023-06-16,145.0,0.02,0.01,0.03,0.02,34.0,5593.0,0.3320379296875,136.22999572753906,calls,0.042085689738991405
ABBV230616C00146000,ABBV,2023-06-14 16:23:09,2023-06-16,146.0,0.02,0.01,0.03,0.02,3.0,625.0,0.3632876171875,136.22999572753906,calls,0.042085689738991405
ABBV230616P00120000,ABBV,2023-06-13 19:54:35,2023-06-16,120.0,0.01,0.01,0.04,0.025,40.0,2448.0,0.6054726953125001,136.22999572753906,puts,0.042085689738991405
ABBV230616P00126000,ABBV,2023-06-14 19:59:01,2023-06-16,126.0,0.02,0.02,0.03,0.025,1.0,37.0,0.4062559375,136.22999572753906,puts,0.042085689738991405
ABBV230616P00127000,ABBV,2023-06-13 16:47:24,2023-06-16,127.0,0.03,0.02,0.04,0.03,108.0,682.0,0.38672488281249995,136.22999572753906,puts,0.042085689738991405
ABBV230616P00128000,ABBV,2023-06-14 19:02:58,2023-06-16,128.0,0.02,0.03,0.04,0.035,21.0,318.0,0.35156898437499995,136.22999572753906,puts,0.042085689738991405
ABBV230616P00129000,ABBV,2023-06-14 16:10:32,2023-06-16,129.0,0.04,0.04,0.05,0.045,5.0,371.0,0.32617861328125,136.22999572753906,puts,0.042085689738991405
ABBV230616P00130000,ABBV,2023-06-14 17:07:32,2023-06-16,130.0,0.06,0.05,0.06,0.055,162.0,5176.0,0.29688203124999996,136.22999572753906,puts,0.042085689738991405
ABBV230616P00131000,ABBV,2023-06-14 17:35:48,2023-06-16,131.0,0.08,0.07,0.08,0.07500000000000001,22.0,63.0,0.273444765625,136.22999572753906,puts,0.042085689738991405
ABBV230616P00132000,ABBV,2023-06-14 19:51:14,2023-06-16,132.0,0.1,0.08,0.12,0.1,50.0,72.0,0.25391371093750004,136.22999572753906,puts,0.042085689738991405
ABBV230616P00133000,ABBV,2023-06-14 19:51:06,2023-06-16,133.0,0.14,0.14,0.16,0.15000000000000002,21.0,2149.0,0.22461712890624996,136.22999572753906,puts,0.042085689738991405
ABBV230616P00134000,ABBV,2023-06-14 19:56:31,2023-06-16,134.0,0.26,0.22,0.28,0.25,372.0,208.0,0.21192194335937498,136.22999572753906,puts,0.042085689738991405
ABBV230616P00135000,ABBV,2023-06-14 19:36:55,2023-06-16,135.0,0.4,0.38,0.47,0.425,89.0,7623.0,0.196297099609375,136.22999572753906,puts,0.042085689738991405
ABBV230616P00136000,ABBV,2023-06-14 19:59:34,2023-06-16,136.0,0.75,0.74,0.8,0.77,55.0,502.0,0.18506674316406246,136.22999572753906,puts,0.042085689738991405
ABBV230616P00137000,ABBV,2023-06-14 19:25:43,2023-06-16,137.0,1.21,1.17,1.34,1.255,77.0,623.0,0.18262536132812499,136.22999572753906,puts,0.042085689738991405
ABBV230616P00138000,ABBV,2023-06-14 18:29:34,2023-06-16,138.0,1.87,1.89,2.04,1.9649999999999999,81.0,967.0,0.17920742675781248,136.22999572753906,puts,0.042085689738991405
ABBV230616P00139000,ABBV,2023-06-14 19:20:42,2023-06-16,139.0,2.71,2.73,2.96,2.8449999999999998,6.0,416.0,0.20801573242187496,136.22999572753906,puts,0.042085689738991405
ABBV230616P00140000,ABBV,2023-06-14 19:47:13,2023-06-16,140.0,3.6,3.7,3.9,3.8,119.0,9702.0,0.2304764453125,136.22999572753906,puts,0.042085689738991405
ABBV230616P00141000,ABBV,2023-06-14 19:54:51,2023-06-16,141.0,4.75,4.7,4.9,4.800000000000001,6.0,222.0,0.273444765625,136.22999572753906,puts,0.042085689738991405
ABBV230616P00142000,ABBV,2023-06-14 19:59:08,2023-06-16,142.0,5.7,5.7,5.9,5.800000000000001,8.0,103.0,0.3154365332031249,136.22999572753906,puts,0.042085689738991405
ABBV230616P00143000,ABBV,2023-06-14 13:34:02,2023-06-16,143.0,3.95,6.7,6.9,6.800000000000001,2.0,76.0,0.35547519531249994,136.22999572753906,puts,0.042085689738991405
ABBV230616P00144000,ABBV,2023-06-12 13:41:51,2023-06-16,144.0,5.8,7.7,7.95,7.825,3.0,15.0,0.42383388671875,136.22999572753906,puts,0.042085689738991405
ABBV230616P00145000,ABBV,2023-06-14 14:36:46,2023-06-16,145.0,8.45,8.7,8.9,8.8,5.0,4670.0,0.43164630859375,136.22999572753906,puts,0.042085689738991405
ABBV230616P00146000,ABBV,2023-05-26 14:43:42,2023-06-16,146.0,7.4,9.65,9.9,9.775,4.0,5.0,0.4687553125,136.22999572753906,puts,0.042085689738991405
ABBV230616P00147000,ABBV,2023-06-12 13:54:14,2023-06-16,147.0,8.55,10.65,10.9,10.775,1.0,0.0,0.50586431640625,136.22999572753906,puts,0.042085689738991405
ABBV230616P00148000,ABBV,2023-06-09 19:37:35,2023-06-16,148.0,9.95,11.65,11.9,11.775,2.0,0.0,0.5410202148437502,136.22999572753906,puts,0.042085689738991405
ABBV230616P00149000,ABBV,2023-06-12 13:41:51,2023-06-16,149.0,10.8,12.65,12.95,12.8,2.0,0.0,0.6132851171875001,136.22999572753906,puts,0.042085689738991405
ABBV230616P00150000,ABBV,2023-06-14 19:30:02,2023-06-16,150.0,13.8,13.7,13.9,13.8,13106.0,1480.0,0.6093789062500001,136.22999572753906,puts,0.042085689738991405
