contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TSLA230616C00001670,TSLA,2023-06-14 19:59:17,2023-06-16,1.67,255.05,254.95,255.4,255.175,43.0,88.0,22.250003046875,256.7900085449219,calls,0.0
TSLA230616C00003330,TSLA,2023-06-14 18:23:19,2023-06-16,3.33,248.75,253.2,253.7,253.45,2.0,190.0,22.593752939453122,256.7900085449219,calls,0.0
TSLA230616C00005000,TSLA,2023-06-14 18:10:08,2023-06-16,5.0,248.95,251.55,252.0,251.775,10.0,147.0,19.531253896484376,256.7900085449219,calls,0.0
TSLA230616C00006670,TSLA,2023-06-14 19:53:00,2023-06-16,6.67,248.35,249.9,250.3,250.10000000000002,6.0,75.0,17.437504550781256,256.7900085449219,calls,0.0
TSLA230616C00008330,TSLA,2023-05-22 14:40:08,2023-06-16,8.33,175.85,248.25,248.65,248.45,1.0,398.0,16.312504902343754,256.7900085449219,calls,0.0
TSLA230616C00010000,TSLA,2023-06-13 19:19:24,2023-06-16,10.0,248.95,246.55,247.0,246.775,1.0,2834.0,15.53125029296875,256.7900085449219,calls,0.0
TSLA230616C00011670,TSLA,2023-06-07 16:52:34,2023-06-16,11.67,213.4,244.9,245.35,245.125,3.0,128.0,10.250003593750002,256.7900085449219,calls,0.0
TSLA230616C00013330,TSLA,2023-01-05 20:39:51,2023-06-16,13.33,97.65,175.85,178.1,176.975,6.0,1234.0,1.0000000000000003e-05,256.7900085449219,calls,0.0
TSLA230616C00015000,TSLA,2023-06-07 19:58:49,2023-06-16,15.0,209.9,241.6,242.0,241.8,5.0,115.0,9.875003828125001,256.7900085449219,calls,0.0
TSLA230616C00016670,TSLA,2023-06-09 19:04:20,2023-06-16,16.67,227.95,239.95,240.35,240.14999999999998,1.0,473.0,10.375003515625002,256.7900085449219,calls,0.0
TSLA230616C00018330,TSLA,2023-06-09 19:04:20,2023-06-16,18.33,226.3,238.25,238.7,238.475,1.0,81.0,9.375004140625,256.7900085449219,calls,0.0
TSLA230616C00025000,TSLA,2022-07-20 19:53:25,2023-06-16,25.0,721.76,860.5,870.65,865.575,2.0,142.0,0.0,256.7900085449219,calls,0.0
TSLA230616C00033330,TSLA,2023-06-08 16:17:49,2023-06-16,33.33,199.26,223.3,223.7,223.5,12.0,744.0,7.9062501171875,256.7900085449219,calls,0.0
TSLA230616C00035000,TSLA,2022-07-22 17:40:15,2023-06-16,35.0,788.76,850.85,861.05,855.95,1.0,52.0,0.0,256.7900085449219,calls,0.0
