contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TXN230616C00080000,TXN,2023-01-27 19:55:23,2023-06-16,80.0,96.23,89.05,90.3,89.675,3.0,0,1.0000000000000003e-05,177.1199951171875,calls,0.026987353950847955
TXN230616C00085000,TXN,2023-05-05 13:53:49,2023-06-16,85.0,78.05,90.05,90.75,90.4,1.0,1,1.0000000000000003e-05,177.1199951171875,calls,0.026987353950847955
TXN230616C00095000,TXN,2023-05-30 13:48:16,2023-06-16,95.0,83.1,81.55,82.7,82.125,1.0,1,2.1250046874999997,177.1199951171875,calls,0.026987353950847955
TXN230616C00100000,TXN,2023-05-04 19:34:01,2023-06-16,100.0,62.4,75.1,75.8,75.44999999999999,2.0,0,1.0000000000000003e-05,177.1199951171875,calls,0.026987353950847955
TXN230616C00110000,TXN,2023-05-31 13:36:37,2023-06-16,110.0,65.1,66.55,67.75,67.15,1.0,1,1.96875015625,177.1199951171875,calls,0.026987353950847955
TXN230616C00115000,TXN,2023-05-25 13:35:52,2023-06-16,115.0,50.05,61.55,62.75,62.15,1.0,0,1.8046884765624998,177.1199951171875,calls,0.026987353950847955
TXN230616C00125000,TXN,2023-06-14 15:46:22,2023-06-16,125.0,53.07,51.55,52.8,52.175,1.0,4,1.5859395703124997,177.1199951171875,calls,0.026987353950847955
TXN230616C00130000,TXN,2023-05-25 19:50:00,2023-06-16,130.0,40.7,46.6,47.85,47.225,1.0,1,1.5507834960937497,177.1199951171875,calls,0.026987353950847955
TXN230616C00135000,TXN,2023-06-01 19:43:40,2023-06-16,135.0,40.63,41.6,42.7,42.150000000000006,3.0,26,1.1796916015624999,177.1199951171875,calls,0.026987353950847955
TXN230616C00140000,TXN,2023-06-02 17:34:25,2023-06-16,140.0,34.93,36.55,37.8,37.175,3.0,37,1.1171919140625,177.1199951171875,calls,0.026987353950847955
TXN230616C00145000,TXN,2023-06-05 19:50:00,2023-06-16,145.0,26.1,31.55,32.9,32.225,1.0,632,1.0605515722656251,177.1199951171875,calls,0.026987353950847955
TXN230616C00150000,TXN,2023-06-14 14:20:29,2023-06-16,150.0,26.55,26.6,27.9,27.25,1.0,879,0.9335944140625,177.1199951171875,calls,0.026987353950847955
TXN230616C00152500,TXN,2023-05-24 19:19:01,2023-06-16,152.5,16.05,24.05,25.4,24.725,0.0,1,0.8261736132812498,177.1199951171875,calls,0.026987353950847955
TXN230616C00155000,TXN,2023-06-12 16:26:26,2023-06-16,155.0,17.9,21.55,22.85,22.200000000000003,3.0,3882,0.7187528125,177.1199951171875,calls,0.026987353950847955
TXN230616C00160000,TXN,2023-06-14 17:28:10,2023-06-16,160.0,17.0,16.6,17.9,17.25,2.0,829,0.6181678808593751,177.1199951171875,calls,0.026987353950847955
TXN230616C00162500,TXN,2023-06-09 19:23:38,2023-06-16,162.5,8.73,14.05,15.45,14.75,56.0,53,0.5390671093750001,177.1199951171875,calls,0.026987353950847955
TXN230616C00165000,TXN,2023-06-14 19:52:58,2023-06-16,165.0,11.42,11.65,12.85,12.25,17.0,2541,0.70312796875,177.1199951171875,calls,0.026987353950847955
TXN230616C00167500,TXN,2023-06-14 18:07:38,2023-06-16,167.5,7.93,9.25,10.45,9.85,1.0,98,0.6235389208984375,177.1199951171875,calls,0.026987353950847955
TXN230616C00170000,TXN,2023-06-14 18:53:17,2023-06-16,170.0,6.63,6.8,7.95,7.375,240.0,4840,0.5112353564453125,177.1199951171875,calls,0.026987353950847955
TXN230616C00172500,TXN,2023-06-14 18:25:07,2023-06-16,172.5,3.26,4.5,5.45,4.975,4.0,1257,0.39331661376953125,177.1199951171875,calls,0.026987353950847955
TXN230616C00175000,TXN,2023-06-14 19:43:37,2023-06-16,175.0,2.26,2.41,2.96,2.685,236.0,4979,0.26587648193359376,177.1199951171875,calls,0.026987353950847955
TXN230616C00177500,TXN,2023-06-14 19:59:34,2023-06-16,177.5,1.06,1.18,1.32,1.25,342.0,1085,0.23438265625,177.1199951171875,calls,0.026987353950847955
TXN230616C00180000,TXN,2023-06-14 19:59:49,2023-06-16,180.0,0.42,0.33,0.46,0.395,361.0,6249,0.2280350634765625,177.1199951171875,calls,0.026987353950847955
TXN230616C00182500,TXN,2023-06-14 19:33:17,2023-06-16,182.5,0.09,0.08,0.15,0.11499999999999999,123.0,663,0.23926541992187497,177.1199951171875,calls,0.026987353950847955
TXN230616C00185000,TXN,2023-06-14 19:51:38,2023-06-16,185.0,0.02,0.03,0.07,0.05,291.0,4804,0.27246821289062495,177.1199951171875,calls,0.026987353950847955
TXN230616C00195000,TXN,2023-06-14 19:00:50,2023-06-16,195.0,0.03,0.01,0.05,0.030000000000000002,540.0,4083,0.49805189453125004,177.1199951171875,calls,0.026987353950847955
TXN230616C00260000,TXN,2022-12-13 19:48:44,2023-06-16,260.0,0.37,0.1,0.15,0.125,2.0,27,1.8320320898437497,177.1199951171875,calls,0.026987353950847955
TXN230616P00095000,TXN,2023-02-24 16:52:38,2023-06-16,95.0,0.17,0.01,0.42,0.215,2.0,69,3.2070332324218747,177.1199951171875,puts,0.026987353950847955
TXN230616P00150000,TXN,2023-06-14 16:37:00,2023-06-16,150.0,0.01,0.01,0.05,0.030000000000000002,2.0,4300,0.7617211328125001,177.1199951171875,puts,0.026987353950847955
TXN230616P00152500,TXN,2023-06-06 14:41:21,2023-06-16,152.5,0.08,0.01,0.05,0.030000000000000002,2.0,36,0.6953155468750001,177.1199951171875,puts,0.026987353950847955
