contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
COST230616C00220000,COST,2023-05-19 19:36:22,2023-06-16,220.0,276.93,304.15,314.0,309.075,20.0,50.0,7.621094223632813,529.1799926757812,calls,0.006815576394771985
COST230616C00230000,COST,2022-08-30 15:43:55,2023-06-16,230.0,302.07,255.95,259.65,257.79999999999995,0.0,4.0,1.0000000000000003e-05,529.1799926757812,calls,0.006815576394771985
COST230616C00250000,COST,2023-06-14 18:06:01,2023-06-16,250.0,274.75,274.25,284.0,279.125,1.0,7.0,6.635743892822267,529.1799926757812,calls,0.006815576394771985
COST230616C00260000,COST,2022-10-17 18:48:51,2023-06-16,260.0,212.06,270.3,274.5,272.4,16.0,15.0,5.810549611816406,529.1799926757812,calls,0.006815576394771985
COST230616C00270000,COST,2023-01-23 17:54:29,2023-06-16,270.0,227.0,228.75,233.65,231.2,1.0,11.0,1.0000000000000003e-05,529.1799926757812,calls,0.006815576394771985
COST230616C00275000,COST,2023-06-05 15:58:20,2023-06-16,275.0,243.29,249.25,259.0,254.125,0.0,1.0,5.9018580914306655,529.1799926757812,calls,0.006815576394771985
COST230616C00280000,COST,2022-05-24 15:47:44,2023-06-16,280.0,166.0,200.45,204.55,202.5,1.0,3.0,1.0000000000000003e-05,529.1799926757812,calls,0.006815576394771985
COST230616C00295000,COST,2023-04-20 13:43:47,2023-06-16,295.0,204.3,198.0,207.0,202.5,1.0,0.0,1.0000000000000003e-05,529.1799926757812,calls,0.006815576394771985
COST230616C00300000,COST,2023-05-03 19:51:19,2023-06-16,300.0,190.98,210.4,215.95,213.175,1.0,4.0,1.0000000000000003e-05,529.1799926757812,calls,0.006815576394771985
COST230616C00305000,COST,2022-09-23 16:05:18,2023-06-16,305.0,180.36,182.35,186.9,184.625,2.0,1.0,1.0000000000000003e-05,529.1799926757812,calls,0.006815576394771985
COST230616C00310000,COST,2022-06-01 17:26:57,2023-06-16,310.0,165.15,183.8,188.2,186.0,1.0,1.0,1.0000000000000003e-05,529.1799926757812,calls,0.006815576394771985
COST230616C00320000,COST,2023-06-05 15:38:11,2023-06-16,320.0,198.51,204.2,214.0,209.1,1.0,3.0,4.730472836914062,529.1799926757812,calls,0.006815576394771985
COST230616C00325000,COST,2023-03-17 15:10:00,2023-06-16,325.0,162.4,166.8,170.95,168.875,1.0,2.0,1.0000000000000003e-05,529.1799926757812,calls,0.006815576394771985
