contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MA230616C00150000,MA,2022-11-29 20:12:34,2023-06-16,150.0,196.84,199.7,202.4,201.05,2.0,1.0,1.0000000000000003e-05,379.0400085449219,calls,0.005452370779011672
MA230616C00165000,MA,2023-02-13 15:09:17,2023-06-16,165.0,207.0,180.25,183.3,181.775,2.0,1.0,1.0000000000000003e-05,379.0400085449219,calls,0.005452370779011672
MA230616C00170000,MA,2023-02-17 14:41:00,2023-06-16,170.0,196.3,179.05,181.95,180.5,1.0,2.0,1.0000000000000003e-05,379.0400085449219,calls,0.005452370779011672
MA230616C00175000,MA,2022-10-11 19:36:57,2023-06-16,175.0,118.95,166.15,169.3,167.72500000000002,1.0,2.0,1.0000000000000003e-05,379.0400085449219,calls,0.005452370779011672
MA230616C00180000,MA,2022-10-17 18:03:20,2023-06-16,180.0,123.9,167.05,170.25,168.65,5.0,4.0,1.0000000000000003e-05,379.0400085449219,calls,0.005452370779011672
MA230616C00195000,MA,2023-05-25 16:17:05,2023-06-16,195.0,174.55,181.65,185.65,183.65,0.0,10.0,5.108402052001953,379.0400085449219,calls,0.005452370779011672
MA230616C00200000,MA,2023-06-08 18:10:28,2023-06-16,200.0,168.57,177.2,180.5,178.85,2.0,12.0,4.847660190429686,379.0400085449219,calls,0.005452370779011672
MA230616C00205000,MA,2023-05-25 13:39:05,2023-06-16,205.0,160.55,172.7,175.2,173.95,0.0,1.0,4.493168446044921,379.0400085449219,calls,0.005452370779011672
MA230616C00210000,MA,2023-01-26 15:12:03,2023-06-16,210.0,169.0,144.65,147.3,145.97500000000002,1.0,7.0,1.0000000000000003e-05,379.0400085449219,calls,0.005452370779011672
MA230616C00220000,MA,2023-05-15 13:45:54,2023-06-16,220.0,162.54,153.45,156.15,154.8,1.0,3.0,1.0000000000000003e-05,379.0400085449219,calls,0.005452370779011672
MA230616C00225000,MA,2023-06-07 14:25:34,2023-06-16,225.0,146.5,152.85,155.25,154.05,0.0,1.0,2.2187544531249994,379.0400085449219,calls,0.005452370779011672
MA230616C00230000,MA,2022-11-08 20:58:19,2023-06-16,230.0,106.05,126.4,129.45,127.925,1.0,5.0,1.0000000000000003e-05,379.0400085449219,calls,0.005452370779011672
MA230616C00235000,MA,2023-06-13 14:06:52,2023-06-16,235.0,139.3,142.6,145.5,144.05,10.0,9.0,2.0625048437499998,379.0400085449219,calls,0.005452370779011672
MA230616C00240000,MA,2023-06-14 13:40:10,2023-06-16,240.0,135.7,137.7,140.4,139.05,1.0,2.0,1.96875015625,379.0400085449219,calls,0.005452370779011672
MA230616C00245000,MA,2023-06-09 14:05:54,2023-06-16,245.0,127.0,132.8,135.25,134.025,0.0,3.0,3.362306281738281,379.0400085449219,calls,0.005452370779011672
MA230616C00250000,MA,2023-06-12 16:19:00,2023-06-16,250.0,122.4,127.85,130.5,129.175,7.0,18.0,2.3242229394531244,379.0400085449219,calls,0.005452370779011672
MA230616C00260000,MA,2023-05-17 14:43:27,2023-06-16,260.0,121.6,117.5,120.5,119.0,1.0,29.0,3.081056984863281,379.0400085449219,calls,0.005452370779011672
MA230616C00270000,MA,2023-06-14 18:29:28,2023-06-16,270.0,103.9,107.85,110.25,109.05,1.0,12.0,1.484377578125,379.0400085449219,calls,0.005452370779011672
MA230616C00275000,MA,2023-06-07 16:57:06,2023-06-16,275.0,97.5,102.9,105.25,104.075,2.0,2.0,1.5781271093749998,379.0400085449219,calls,0.005452370779011672
MA230616C00280000,MA,2023-06-12 18:22:49,2023-06-16,280.0,94.53,97.85,100.25,99.05,1.0,10.0,1.3437532812499997,379.0400085449219,calls,0.005452370779011672
MA230616C00290000,MA,2023-06-13 18:27:11,2023-06-16,290.0,80.76,87.9,90.25,89.075,1.0,25.0,1.3359408203124996,379.0400085449219,calls,0.005452370779011672
