contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
SPXW230615C03700000,^SPX,2023-06-14 16:06:30,2023-06-15,3700.0,679.87,722.7,727.8,725.25,8.0,10.0,1.5991230981445312,4425.83984375,calls,0.0
SPXW230615C03725000,^SPX,2023-06-12 13:39:17,2023-06-15,3725.0,586.26,686.2,702.8,694.5,10.0,0.0,1.5468772656249998,4425.83984375,calls,0.0
SPXW230615C03750000,^SPX,2023-06-14 16:08:15,2023-06-15,3750.0,631.05,672.6,677.8,675.2,17.0,17.0,1.4946314331054684,4425.83984375,calls,0.0
SPXW230615C03775000,^SPX,2023-06-15 13:39:55,2023-06-15,3775.0,596.21,636.2,652.8,644.5,10.0,10.0,1.4426297399902346,4425.83984375,calls,0.0
SPXW230615C03800000,^SPX,2023-06-14 16:06:34,2023-06-15,3800.0,580.07,622.6,627.8,625.2,2.0,11.0,1.3906280468749999,4425.83984375,calls,0.0
SPXW230615C03825000,^SPX,2023-06-14 16:04:56,2023-06-15,3825.0,556.43,597.7,602.8,600.25,2.0,60.0,1.338870493164062,4425.83984375,calls,0.0
SPXW230615C03850000,^SPX,2023-06-14 16:04:54,2023-06-15,3850.0,531.42,572.8,577.8,575.3,1.0,12.0,1.2871129394531249,4425.83984375,calls,0.0
SPXW230615C03875000,^SPX,2023-05-17 18:26:12,2023-06-15,3875.0,309.72,547.6,552.8,550.2,0.0,1.0,1.2355995251464842,4425.83984375,calls,0.0
SPXW230615C03890000,^SPX,2023-05-30 13:37:29,2023-06-15,3890.0,348.01,521.2,537.8,529.5,0.0,1.0,1.204837960205078,4425.83984375,calls,0.0
SPXW230615C03900000,^SPX,2023-06-08 17:02:22,2023-06-15,3900.0,392.89,522.6,527.8,525.2,10.0,19.0,1.1842081805419922,4425.83984375,calls,0.0
SPXW230615C03925000,^SPX,2023-06-15 16:52:29,2023-06-15,3925.0,484.13,486.6,502.8,494.70000000000005,4.0,16.0,1.1328168359375002,4425.83984375,calls,0.0
SPXW230615C03930000,^SPX,2023-06-01 14:54:22,2023-06-15,3930.0,278.58,481.3,497.8,489.55,0.0,1.0,1.1225629809570314,4425.83984375,calls,0.0
SPXW230615C03950000,^SPX,2023-06-15 13:34:04,2023-06-15,3950.0,414.33,461.3,477.8,469.55,1.0,25.0,1.0815475610351561,4425.83984375,calls,0.0
SPXW230615C03955000,^SPX,2023-06-01 13:55:33,2023-06-15,3955.0,231.07,456.3,472.5,464.4,0.0,1.0,1.0441942321777344,4425.83984375,calls,0.0
SPXW230615C03970000,^SPX,2023-05-18 14:56:50,2023-06-15,3970.0,236.08,452.7,457.5,455.1,2.0,1.0,1.0139209460449217,4425.83984375,calls,0.0
SPXW230615C03975000,^SPX,2023-05-24 17:17:14,2023-06-15,3975.0,175.8,436.3,452.8,444.55,0.0,1.0,1.0301562164306641,4425.83984375,calls,0.0
SPXW230615C03980000,^SPX,2023-05-26 15:11:01,2023-06-15,3980.0,235.29,431.3,447.8,439.55,2.0,2.0,1.0199023614501954,4425.83984375,calls,0.0
SPXW230615C03990000,^SPX,2023-05-24 19:05:51,2023-06-15,3990.0,164.01,421.3,437.5,429.4,0.0,1.0,0.9737551452636719,4425.83984375,calls,0.0
SPXW230615C04000000,^SPX,2023-06-15 19:59:03,2023-06-15,4000.0,423.38,422.7,427.8,425.25,7.0,1011.0,0.9788820471191408,4425.83984375,calls,0.0
SPXW230615C04020000,^SPX,2023-06-15 17:03:14,2023-06-15,4020.0,387.87,391.8,407.8,399.8,9.0,11.0,0.9378668322753907,4425.83984375,calls,0.0
SPXW230615C04025000,^SPX,2023-06-02 16:09:12,2023-06-15,4025.0,260.3,387.1,402.8,394.95000000000005,2.0,5.0,0.927613028564453,4425.83984375,calls,0.0
SPXW230615C04030000,^SPX,2023-06-02 16:47:43,2023-06-15,4030.0,263.5,381.8,397.5,389.65,1.0,2.0,0.8933116137695312,4425.83984375,calls,0.0
SPXW230615C04040000,^SPX,2023-05-24 17:17:14,2023-06-15,4040.0,124.27,372.1,387.8,379.95000000000005,0.0,1.0,0.8967295483398436,4425.83984375,calls,0.0
SPXW230615C04050000,^SPX,2023-06-15 19:32:59,2023-06-15,4050.0,383.62,372.5,377.8,375.15,2.0,36.0,0.8762219409179688,4425.83984375,calls,0.0
SPXW230615C04055000,^SPX,2023-05-24 14:16:10,2023-06-15,4055.0,117.56,367.7,372.8,370.25,0.0,7.0,0.8659681372070311,4425.83984375,calls,0.0
SPXW230615C04060000,^SPX,2023-06-14 19:54:58,2023-06-15,4060.0,303.45,352.1,367.8,359.95000000000005,3.0,32.0,0.8557143334960937,4425.83984375,calls,0.0
SPXW230615C04065000,^SPX,2023-05-30 15:09:54,2023-06-15,4065.0,170.74,357.7,362.8,360.25,2.0,68.0,0.8454605297851561,4425.83984375,calls,0.0
SPXW230615C04070000,^SPX,2023-05-24 14:14:20,2023-06-15,4070.0,106.02,343.0,357.8,350.4,9.0,51.0,0.8350846569824217,4425.83984375,calls,0.0
SPXW230615C04075000,^SPX,2023-06-14 18:03:54,2023-06-15,4075.0,279.38,347.7,352.8,350.25,10.0,29.0,0.8248308532714843,4425.83984375,calls,0.0
SPXW230615C04080000,^SPX,2023-06-15 19:04:23,2023-06-15,4080.0,352.5,342.8,347.8,345.3,5.0,31.0,0.81445498046875,4425.83984375,calls,0.0
SPXW230615C04085000,^SPX,2023-06-01 13:30:09,2023-06-15,4085.0,124.41,337.7,342.8,340.25,1.0,10.0,0.8042011767578124,4425.83984375,calls,0.0
SPXW230615C04090000,^SPX,2023-06-15 17:48:44,2023-06-15,4090.0,325.78,332.7,337.8,335.25,1.0,15.0,0.7939473730468749,4425.83984375,calls,0.0
SPXW230615C04095000,^SPX,2023-06-15 13:36:46,2023-06-15,4095.0,270.93,327.7,332.8,330.25,6.0,39.0,0.7835715002441408,4425.83984375,calls,0.0
SPXW230615C04100000,^SPX,2023-06-15 17:48:44,2023-06-15,4100.0,315.73,322.8,327.8,325.3,27.0,41.0,0.7733176965332031,4425.83984375,calls,0.0
SPXW230615C04105000,^SPX,2023-06-15 19:28:58,2023-06-15,4105.0,327.31,317.8,322.5,320.15,2.0,19.0,0.742068009033203,4425.83984375,calls,0.0
SPXW230615C04110000,^SPX,2023-06-15 14:44:43,2023-06-15,4110.0,281.9,312.8,317.8,315.3,30.0,62.0,0.7526880200195312,4425.83984375,calls,0.0
SPXW230615C04115000,^SPX,2023-06-15 19:13:29,2023-06-15,4115.0,315.18,307.7,312.8,310.25,5.0,23.0,0.7423121472167968,4425.83984375,calls,0.0
SPXW230615C04120000,^SPX,2023-06-15 17:04:11,2023-06-15,4120.0,287.94,302.6,307.8,305.20000000000005,8.0,29.0,0.7319362744140624,4425.83984375,calls,0.0
SPXW230615C04125000,^SPX,2023-06-15 18:32:38,2023-06-15,4125.0,297.7,297.5,302.8,300.15,2.0,37.0,0.7215604016113282,4425.83984375,calls,0.0
SPXW230615C04130000,^SPX,2023-06-15 18:21:40,2023-06-15,4130.0,285.48,292.5,297.8,295.15,3.0,145.0,0.7113065979003907,4425.83984375,calls,0.0
SPXW230615C04135000,^SPX,2023-06-15 19:38:05,2023-06-15,4135.0,294.92,287.7,292.8,290.25,5.0,44.0,0.7009307250976562,4425.83984375,calls,0.0
SPXW230615C04140000,^SPX,2023-06-15 15:01:22,2023-06-15,4140.0,254.99,282.7,287.8,285.25,1.0,40.0,0.6905548522949221,4425.83984375,calls,0.0
SPXW230615C04145000,^SPX,2023-06-15 15:04:17,2023-06-15,4145.0,251.48,277.7,282.9,280.29999999999995,3.0,8.0,0.6861603649902344,4425.83984375,calls,0.0
SPXW230615C04150000,^SPX,2023-06-15 17:54:01,2023-06-15,4150.0,267.0,267.1,277.8,272.45000000000005,9.0,767.0,0.6696810375976563,4425.83984375,calls,0.0
SPXW230615C04155000,^SPX,2023-06-15 15:13:07,2023-06-15,4155.0,244.69,267.7,272.8,270.25,2.0,12.0,0.659305164794922,4425.83984375,calls,0.0
SPXW230615C04160000,^SPX,2023-06-15 19:18:29,2023-06-15,4160.0,272.6,257.1,267.8,262.45000000000005,15.0,32.0,0.6489292919921875,4425.83984375,calls,0.0
SPXW230615C04165000,^SPX,2023-06-15 19:18:29,2023-06-15,4165.0,267.6,257.7,262.9,260.29999999999995,9.0,34.0,0.6441685974121094,4425.83984375,calls,0.0
SPXW230615C04170000,^SPX,2023-06-15 18:54:23,2023-06-15,4170.0,263.99,243.4,257.8,250.60000000000002,21.0,92.0,0.6280554772949221,4425.83984375,calls,0.0
SPXW230615C04175000,^SPX,2023-06-15 18:28:13,2023-06-15,4175.0,242.94,247.7,252.8,250.25,29.0,65.0,0.6175575354003908,4425.83984375,calls,0.0
SPXW230615C04180000,^SPX,2023-06-15 18:29:29,2023-06-15,4180.0,240.33,234.5,247.8,241.15,20.0,130.0,0.6071206280517578,4425.83984375,calls,0.0
