contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CRM230623C00100000,CRM,2023-06-14 18:00:01,2023-06-23,100.0,111.05,116.25,117.75,117.0,0.0,1,2.6406283984375003,216.97000122070312,calls,0.0
CRM230623C00135000,CRM,2023-06-08 15:26:54,2023-06-23,135.0,74.33,81.35,83.0,82.175,0.0,2,2.0976610058593748,216.97000122070312,calls,0.0
CRM230623C00140000,CRM,2023-06-16 15:56:24,2023-06-23,140.0,71.68,76.25,78.0,77.125,1.0,2,1.8789068554687498,216.97000122070312,calls,0.0
CRM230623C00145000,CRM,2023-06-20 14:11:52,2023-06-23,145.0,66.94,70.9,72.55,71.725,1.0,1,2.1494186889648432,216.97000122070312,calls,0.0
CRM230623C00150000,CRM,2023-06-06 19:26:49,2023-06-23,150.0,63.01,66.25,67.8,67.025,1.0,3,1.4140654296875002,216.97000122070312,calls,0.0
CRM230623C00155000,CRM,2023-06-08 16:44:28,2023-06-23,155.0,55.25,61.3,62.7,62.0,2.0,3,1.21875390625,216.97000122070312,calls,0.0
CRM230623C00160000,CRM,2023-06-16 14:19:22,2023-06-23,160.0,51.33,56.2,57.7,56.95,1.0,1,1.7744151904296874,216.97000122070312,calls,0.0
CRM230623C00165000,CRM,2023-06-20 19:28:31,2023-06-23,165.0,51.49,51.6,52.6,52.1,13.0,6,1.2089883300781248,216.97000122070312,calls,0.0
CRM230623C00170000,CRM,2023-06-20 19:28:57,2023-06-23,170.0,46.58,46.45,47.65,47.05,1.0,10,1.0234423828125,216.97000122070312,calls,0.0
CRM230623C00175000,CRM,2023-06-14 17:01:47,2023-06-23,175.0,36.35,41.45,42.7,42.075,9.0,7,0.9492192578124999,216.97000122070312,calls,0.0
CRM230623C00177500,CRM,2023-06-20 16:48:48,2023-06-23,177.5,37.74,39.05,40.2,39.625,20.0,21,0.94726615234375,216.97000122070312,calls,0.0
CRM230623C00180000,CRM,2023-06-20 19:52:09,2023-06-23,180.0,37.0,36.6,37.7,37.150000000000006,6.0,45,0.91211025390625,216.97000122070312,calls,0.0
CRM230623C00182500,CRM,2023-06-16 14:04:55,2023-06-23,182.5,28.96,34.0,35.0,34.5,1.0,7,0.6679720703125002,216.97000122070312,calls,0.0
CRM230623C00185000,CRM,2023-06-14 17:26:22,2023-06-23,185.0,26.2,31.4,32.65,32.025,2.0,30,0.6679720703125002,216.97000122070312,calls,0.0
CRM230623C00187500,CRM,2023-06-16 19:06:59,2023-06-23,187.5,25.09,28.85,30.35,29.6,1.0,1,0.70117486328125,216.97000122070312,calls,0.0
CRM230623C00190000,CRM,2023-06-16 19:24:44,2023-06-23,190.0,22.56,26.35,27.8,27.075000000000003,17.0,43,0.6250037500000001,216.97000122070312,calls,0.0
CRM230623C00192500,CRM,2023-06-16 19:44:43,2023-06-23,192.5,19.78,24.0,25.35,24.675,2.0,9,0.641605146484375,216.97000122070312,calls,0.0
CRM230623C00195000,CRM,2023-06-20 19:13:12,2023-06-23,195.0,21.65,21.6,22.5,22.05,1.0,54,0.7138700488281251,216.97000122070312,calls,0.0
CRM230623C00197500,CRM,2023-06-16 19:42:14,2023-06-23,197.5,14.74,19.05,19.85,19.450000000000003,1.0,12,0.5986368261718751,216.97000122070312,calls,0.0
CRM230623C00200000,CRM,2023-06-20 19:42:27,2023-06-23,200.0,16.85,16.85,17.3,17.075000000000003,70.0,157,0.5180712255859375,216.97000122070312,calls,0.0
CRM230623C00202500,CRM,2023-06-20 17:19:24,2023-06-23,202.5,13.23,14.35,14.9,14.625,21.0,46,0.4858449853515625,216.97000122070312,calls,0.0
CRM230623C00205000,CRM,2023-06-20 19:57:34,2023-06-23,205.0,12.2,12.0,12.5,12.25,44.0,254,0.44482977050781247,216.97000122070312,calls,0.0
CRM230623C00207500,CRM,2023-06-20 19:49:12,2023-06-23,207.5,9.5,9.6,9.85,9.725,650.0,159,0.3403386279296875,216.97000122070312,calls,0.0
CRM230623C00210000,CRM,2023-06-20 19:55:58,2023-06-23,210.0,7.4,7.2,7.55,7.375,837.0,1332,0.3117744604492187,216.97000122070312,calls,0.0
CRM230623C00212500,CRM,2023-06-20 19:57:21,2023-06-23,212.5,5.31,5.3,5.5,5.4,3335.0,2038,0.30054410400390624,216.97000122070312,calls,0.0
CRM230623C00215000,CRM,2023-06-20 19:59:04,2023-06-23,215.0,3.6,3.6,3.7,3.6500000000000004,4406.0,2470,0.28784891845703114,216.97000122070312,calls,0.0
CRM230623C00217500,CRM,2023-06-20 19:59:21,2023-06-23,217.5,2.26,2.15,2.2,2.175,1637.0,771,0.27075924560546877,216.97000122070312,calls,0.0
