contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CVS230623C00055000,CVS,2023-06-20 14:02:33,2023-06-23,55.0,13.65,13.65,14.0,13.825,14.0,2,1.26172244140625,68.66999816894531,calls,0.033105189951226834
CVS230623C00059000,CVS,2023-06-15 14:13:01,2023-06-23,59.0,9.1,9.5,10.0,9.75,0.0,1,0.8125018749999999,68.66999816894531,calls,0.033105189951226834
CVS230623C00060000,CVS,2023-06-16 19:29:27,2023-06-23,60.0,7.6,8.55,9.0,8.775,30.0,40,0.7773459765625,68.66999816894531,calls,0.033105189951226834
CVS230623C00062000,CVS,2023-06-20 15:48:08,2023-06-23,62.0,6.65,6.7,6.95,6.825,1.0,1,0.6777375976562501,68.66999816894531,calls,0.033105189951226834
CVS230623C00063000,CVS,2023-05-17 13:30:24,2023-06-23,63.0,5.23,4.6,4.95,4.775,0.0,1,1.0000000000000003e-05,68.66999816894531,calls,0.033105189951226834
CVS230623C00064000,CVS,2023-06-20 18:22:49,2023-06-23,64.0,4.92,4.7,4.85,4.775,1.0,34,0.5312546875,68.66999816894531,calls,0.033105189951226834
CVS230623C00065000,CVS,2023-06-20 16:34:04,2023-06-23,65.0,3.7,3.75,3.9,3.825,4.0,309,0.477544287109375,68.66999816894531,calls,0.033105189951226834
CVS230623C00066000,CVS,2023-06-20 18:39:03,2023-06-23,66.0,3.0,2.79,2.88,2.835,33.0,49,0.3711000390625,68.66999816894531,calls,0.033105189951226834
CVS230623C00067000,CVS,2023-06-20 19:48:32,2023-06-23,67.0,1.9,1.88,1.94,1.91,109.0,288,0.30274134765625,68.66999816894531,calls,0.033105189951226834
CVS230623C00068000,CVS,2023-06-20 19:16:25,2023-06-23,68.0,1.13,1.01,1.11,1.06,509.0,765,0.25440198730468755,68.66999816894531,calls,0.033105189951226834
CVS230623C00069000,CVS,2023-06-20 19:59:03,2023-06-23,69.0,0.53,0.53,0.52,0.525,1908.0,2008,0.23389437988281248,68.66999816894531,calls,0.033105189951226834
