contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MSFT230623C00215000,MSFT,2023-06-15 13:38:58,2023-06-23,215.0,122.57,121.5,125.3,123.4,3.0,3,2.03906740234375,338.04998779296875,calls,0.007691170223003566
MSFT230623C00220000,MSFT,2023-06-16 18:52:31,2023-06-23,220.0,124.7,116.65,120.15,118.4,5.0,5,1.9462893310546878,338.04998779296875,calls,0.007691170223003566
MSFT230623C00225000,MSFT,2023-06-15 13:45:12,2023-06-23,225.0,115.8,112.2,114.75,113.475,3.0,4,1.9111332568359378,338.04998779296875,calls,0.007691170223003566
MSFT230623C00230000,MSFT,2023-06-20 16:33:15,2023-06-23,230.0,108.62,107.2,109.8,108.5,1.0,22,1.8359383203124997,338.04998779296875,calls,0.007691170223003566
MSFT230623C00235000,MSFT,2023-06-09 16:54:15,2023-06-23,235.0,92.09,101.9,105.3,103.6,1.0,35,1.8046884765624998,338.04998779296875,calls,0.007691170223003566
MSFT230623C00240000,MSFT,2023-06-20 13:57:38,2023-06-23,240.0,99.3,96.6,99.2,97.9,11.0,3,1.9609376953125,338.04998779296875,calls,0.007691170223003566
MSFT230623C00250000,MSFT,2023-06-16 17:43:57,2023-06-23,250.0,96.11,87.45,89.6,88.525,3.0,7,1.4990259423828123,338.04998779296875,calls,0.007691170223003566
MSFT230623C00255000,MSFT,2023-06-15 19:08:22,2023-06-23,255.0,93.43,82.0,85.0,83.5,1.0,10,1.4013701806640624,338.04998779296875,calls,0.007691170223003566
MSFT230623C00260000,MSFT,2023-06-16 18:45:04,2023-06-23,260.0,84.81,76.6,80.2,78.4,9.0,62,1.2656286718749998,338.04998779296875,calls,0.007691170223003566
MSFT230623C00265000,MSFT,2023-06-20 15:21:09,2023-06-23,265.0,71.94,71.8,75.1,73.44999999999999,8.0,18,1.2119180029296874,338.04998779296875,calls,0.007691170223003566
