contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
XOM230623C00075000,XOM,2023-06-08 14:10:40,2023-06-23,75.0,33.6,27.7,28.15,27.924999999999997,0.0,1,1.650392373046875,102.72000122070312,calls,0.03485202450794417
XOM230623C00080000,XOM,2023-06-16 16:12:03,2023-06-23,80.0,25.32,22.85,23.1,22.975,1.0,1,1.4179716601562502,102.72000122070312,calls,0.03485202450794417
XOM230623C00085000,XOM,2023-06-12 17:17:08,2023-06-23,85.0,21.07,17.85,18.05,17.950000000000003,100.0,62,1.1054732226562503,102.72000122070312,calls,0.03485202450794417
XOM230623C00090000,XOM,2023-05-10 13:38:57,2023-06-23,90.0,18.75,17.35,17.95,17.65,0.0,1,2.5039099902343747,102.72000122070312,calls,0.03485202450794417
XOM230623C00093000,XOM,2023-06-01 14:09:18,2023-06-23,93.0,9.5,9.85,10.05,9.95,0.0,1,0.6621127539062501,102.72000122070312,calls,0.03485202450794417
XOM230623C00095000,XOM,2023-06-20 15:51:24,2023-06-23,95.0,7.6,7.6,8.1,7.85,7.0,26,0.631839619140625,102.72000122070312,calls,0.03485202450794417
XOM230623C00096000,XOM,2023-06-01 16:09:39,2023-06-23,96.0,8.8,6.55,7.1,6.824999999999999,0.0,3,0.570316796875,102.72000122070312,calls,0.03485202450794417
XOM230623C00097000,XOM,2023-06-07 13:54:43,2023-06-23,97.0,11.5,5.8,6.2,6.0,0.0,0,0.5488326367187502,102.72000122070312,calls,0.03485202450794417
XOM230623C00098000,XOM,2023-06-20 19:30:28,2023-06-23,98.0,4.9,4.95,5.05,5.0,53.0,2,0.42383388671875,102.72000122070312,calls,0.03485202450794417
XOM230623C00099000,XOM,2023-06-20 16:10:06,2023-06-23,99.0,4.0,3.95,4.2,4.075,3.0,14,0.414068359375,102.72000122070312,calls,0.03485202450794417
XOM230623C00100000,XOM,2023-06-20 19:48:29,2023-06-23,100.0,3.2,3.1,3.25,3.175,1074.0,26,0.358404853515625,102.72000122070312,calls,0.03485202450794417
XOM230623C00101000,XOM,2023-06-20 18:13:47,2023-06-23,101.0,2.38,2.22,2.35,2.285,29.0,120,0.3090889404296875,102.72000122070312,calls,0.03485202450794417
XOM230623C00102000,XOM,2023-06-20 19:46:07,2023-06-23,102.0,1.68,1.57,1.63,1.6,388.0,219,0.2893137475585937,102.72000122070312,calls,0.03485202450794417
XOM230623C00103000,XOM,2023-06-20 19:59:39,2023-06-23,103.0,0.99,0.96,1.0,0.98,1383.0,107,0.26416751464843746,102.72000122070312,calls,0.03485202450794417
XOM230623C00104000,XOM,2023-06-20 19:58:54,2023-06-23,104.0,0.61,0.59,0.59,0.59,1778.0,174,0.25830819824218754,102.72000122070312,calls,0.03485202450794417
XOM230623C00105000,XOM,2023-06-20 19:58:54,2023-06-23,105.0,0.34,0.32,0.34,0.33,4182.0,1525,0.2612378564453125,102.72000122070312,calls,0.03485202450794417
XOM230623C00106000,XOM,2023-06-20 19:58:33,2023-06-23,106.0,0.18,0.17,0.19,0.18,4901.0,1436,0.266608896484375,102.72000122070312,calls,0.03485202450794417
XOM230623C00107000,XOM,2023-06-20 19:58:26,2023-06-23,107.0,0.1,0.09,0.11,0.1,2278.0,1554,0.27735097656249996,102.72000122070312,calls,0.03485202450794417
XOM230623C00108000,XOM,2023-06-20 19:53:42,2023-06-23,108.0,0.07,0.06,0.07,0.065,2310.0,2005,0.2929758203124999,102.72000122070312,calls,0.03485202450794417
XOM230623C00109000,XOM,2023-06-20 19:54:34,2023-06-23,109.0,0.05,0.04,0.05,0.045,747.0,0,0.31445998046874996,102.72000122070312,calls,0.03485202450794417
XOM230623C00110000,XOM,2023-06-20 19:54:26,2023-06-23,110.0,0.03,0.02,0.04,0.03,1902.0,4052,0.3398503515625,102.72000122070312,calls,0.03485202450794417
XOM230623C00111000,XOM,2023-06-20 19:48:09,2023-06-23,111.0,0.02,0.02,0.03,0.025,67.0,1137,0.36133451171875,102.72000122070312,calls,0.03485202450794417
XOM230623C00112000,XOM,2023-06-20 19:48:28,2023-06-23,112.0,0.01,0.01,0.02,0.015,874.0,1868,0.37500625,102.72000122070312,calls,0.03485202450794417
XOM230623C00113000,XOM,2023-06-20 19:48:39,2023-06-23,113.0,0.01,0.01,0.02,0.015,125.0,1035,0.4062559375,102.72000122070312,calls,0.03485202450794417
XOM230623C00114000,XOM,2023-06-20 19:42:50,2023-06-23,114.0,0.02,0.01,0.02,0.015,492.0,739,0.437505625,102.72000122070312,calls,0.03485202450794417
XOM230623P00090000,XOM,2023-06-20 18:50:13,2023-06-23,90.0,0.01,0.01,0.02,0.015,226.0,722,0.5312546875,102.72000122070312,puts,0.03485202450794417
XOM230623P00092000,XOM,2023-06-20 19:55:30,2023-06-23,92.0,0.02,0.01,0.03,0.02,82.0,95,0.49219257812500006,102.72000122070312,puts,0.03485202450794417
XOM230623P00093000,XOM,2023-06-20 19:13:21,2023-06-23,93.0,0.02,0.02,0.04,0.03,61.0,147,0.4726615234375,102.72000122070312,puts,0.03485202450794417
XOM230623P00094000,XOM,2023-06-20 13:38:31,2023-06-23,94.0,0.04,0.02,0.03,0.025,64.0,190,0.4101621484375,102.72000122070312,puts,0.03485202450794417
XOM230623P00095000,XOM,2023-06-20 19:50:50,2023-06-23,95.0,0.04,0.03,0.04,0.035,57.0,208,0.38672488281249995,102.72000122070312,puts,0.03485202450794417
XOM230623P00096000,XOM,2023-06-20 19:34:48,2023-06-23,96.0,0.04,0.04,0.05,0.045,76.0,218,0.35547519531249994,102.72000122070312,puts,0.03485202450794417
XOM230623P00097000,XOM,2023-06-20 19:19:02,2023-06-23,97.0,0.07,0.06,0.07,0.065,138.0,1906,0.33008482421874996,102.72000122070312,puts,0.03485202450794417
XOM230623P00098000,XOM,2023-06-20 19:32:10,2023-06-23,98.0,0.1,0.09,0.1,0.095,264.0,1326,0.304694453125,102.72000122070312,puts,0.03485202450794417
XOM230623P00099000,XOM,2023-06-20 19:50:50,2023-06-23,99.0,0.14,0.15,0.16,0.155,269.0,0,0.28711650390624993,102.72000122070312,puts,0.03485202450794417
XOM230623P00100000,XOM,2023-06-20 19:57:32,2023-06-23,100.0,0.23,0.23,0.28,0.255,976.0,2452,0.27637442382812494,102.72000122070312,puts,0.03485202450794417
XOM230623P00101000,XOM,2023-06-20 19:59:24,2023-06-23,101.0,0.42,0.39,0.43,0.41000000000000003,2754.0,8779,0.25391371093750004,102.72000122070312,puts,0.03485202450794417
XOM230623P00102000,XOM,2023-06-20 19:58:24,2023-06-23,102.0,0.67,0.65,0.69,0.6699999999999999,1450.0,716,0.23633576171874998,102.72000122070312,puts,0.03485202450794417
XOM230623P00103000,XOM,2023-06-20 19:57:34,2023-06-23,103.0,1.08,1.09,1.13,1.1099999999999999,2240.0,1338,0.22901161621093752,102.72000122070312,puts,0.03485202450794417
XOM230623P00104000,XOM,2023-06-20 19:46:48,2023-06-23,104.0,1.61,1.68,1.74,1.71,557.0,741,0.22461712890624996,102.72000122070312,puts,0.03485202450794417
XOM230623P00105000,XOM,2023-06-20 19:49:58,2023-06-23,105.0,2.37,2.41,2.53,2.4699999999999998,830.0,1595,0.231452998046875,102.72000122070312,puts,0.03485202450794417
XOM230623P00106000,XOM,2023-06-20 19:04:16,2023-06-23,106.0,3.24,3.15,3.35,3.25,211.0,1980,0.20410952148437497,102.72000122070312,puts,0.03485202450794417
XOM230623P00107000,XOM,2023-06-20 18:02:42,2023-06-23,107.0,4.12,4.15,4.25,4.2,64.0,0,1.0000000000000003e-05,102.72000122070312,puts,0.03485202450794417
XOM230623P00108000,XOM,2023-06-20 19:48:53,2023-06-23,108.0,5.15,5.1,5.25,5.175,31.0,594,1.0000000000000003e-05,102.72000122070312,puts,0.03485202450794417
XOM230623P00109000,XOM,2023-06-20 18:58:26,2023-06-23,109.0,6.11,6.05,6.25,6.15,39.0,362,1.0000000000000003e-05,102.72000122070312,puts,0.03485202450794417
XOM230623P00110000,XOM,2023-06-20 17:19:24,2023-06-23,110.0,6.99,7.05,7.25,7.15,51.0,289,1.0000000000000003e-05,102.72000122070312,puts,0.03485202450794417
XOM230623P00111000,XOM,2023-06-20 18:04:32,2023-06-23,111.0,8.1,8.05,8.3,8.175,2.0,0,0.3398503515625,102.72000122070312,puts,0.03485202450794417
XOM230623P00112000,XOM,2023-06-14 16:21:09,2023-06-23,112.0,6.7,9.0,9.5,9.25,20.0,13,0.57617611328125,102.72000122070312,puts,0.03485202450794417
XOM230623P00113000,XOM,2023-06-15 14:22:06,2023-06-23,113.0,6.5,9.9,10.5,10.2,1.0,2,0.6201209863281252,102.72000122070312,puts,0.03485202450794417
XOM230623P00114000,XOM,2023-06-15 16:04:57,2023-06-23,114.0,7.5,11.05,11.25,11.15,17.0,23,1.0000000000000003e-05,102.72000122070312,puts,0.03485202450794417
XOM230623P00115000,XOM,2023-06-16 17:02:51,2023-06-23,115.0,8.85,12.0,12.5,12.25,2.0,4,0.7050810742187501,102.72000122070312,puts,0.03485202450794417
XOM230623P00116000,XOM,2023-06-12 13:49:11,2023-06-23,116.0,9.2,13.05,13.25,13.15,3.0,0,1.0000000000000003e-05,102.72000122070312,puts,0.03485202450794417
XOM230623P00117000,XOM,2023-06-07 14:25:45,2023-06-23,117.0,8.4,14.05,14.25,14.15,0.0,0,1.0000000000000003e-05,102.72000122070312,puts,0.03485202450794417
XOM230623P00120000,XOM,2023-06-16 16:12:25,2023-06-23,120.0,14.73,17.05,17.3,17.175,1.0,0,0.6210975390625001,102.72000122070312,puts,0.03485202450794417
XOM230623P00140000,XOM,2023-06-02 16:33:30,2023-06-23,140.0,34.6,36.95,37.3,37.125,2.0,0,1.1328168359375002,102.72000122070312,puts,0.03485202450794417
XOM230630C00060000,XOM,2023-06-12 14:14:55,2023-06-30,60.0,46.85,42.8,43.25,43.025,2.0,2,1.6953140234375002,102.72000122070312,calls,0.03485202450794417
XOM230630C00085000,XOM,2023-05-19 13:49:10,2023-06-30,85.0,22.36,20.1,20.6,20.35,1.0,1,1.3596223425292968,102.72000122070312,calls,0.03485202450794417
XOM230630C00090000,XOM,2023-06-15 19:23:36,2023-06-30,90.0,16.75,12.8,13.35,13.075,2.0,5,0.55273884765625,102.72000122070312,calls,0.03485202450794417
XOM230630C00095000,XOM,2023-06-12 19:10:13,2023-06-30,95.0,11.3,7.95,8.4,8.175,1.0,28,0.45898978515625005,102.72000122070312,calls,0.03485202450794417
XOM230630C00096000,XOM,2023-06-09 15:58:14,2023-06-30,96.0,12.12,7.15,7.35,7.25,0.0,8,0.4062559375,102.72000122070312,calls,0.03485202450794417
