contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
DIS230623C00060000,DIS,2023-06-16 16:11:34,2023-06-23,60.0,31.66,29.75,30.0,29.875,1.0,1,1.9101566992187502,89.75499725341797,calls,0.0
DIS230623C00065000,DIS,2023-06-09 14:49:33,2023-06-23,65.0,27.35,24.85,25.0,24.925,1.0,3,1.671876640625,89.75499725341797,calls,0.0
DIS230623C00070000,DIS,2023-06-16 17:25:00,2023-06-23,70.0,21.62,19.85,20.0,19.925,5.0,17,1.3398470507812497,89.75499725341797,calls,0.0
DIS230623C00075000,DIS,2023-06-07 13:55:58,2023-06-23,75.0,18.0,14.85,15.0,14.925,1.0,12,1.0234423828125,89.75499725341797,calls,0.0
DIS230623C00077000,DIS,2023-06-20 13:38:19,2023-06-23,77.0,13.6,12.85,12.95,12.899999999999999,4.0,1,0.8710950390625,89.75499725341797,calls,0.0
DIS230623C00078000,DIS,2023-06-12 19:50:56,2023-06-23,78.0,15.3,11.85,12.0,11.925,1.0,4,0.8378922460937499,89.75499725341797,calls,0.0
DIS230623C00079000,DIS,2023-06-20 13:56:36,2023-06-23,79.0,10.95,10.85,11.0,10.925,2.0,1,0.7753928710937501,89.75499725341797,calls,0.0
DIS230623C00080000,DIS,2023-06-20 15:52:16,2023-06-23,80.0,10.07,9.85,10.0,9.925,16.0,13,0.7148466015625,89.75499725341797,calls,0.0
DIS230623C00081000,DIS,2023-06-07 18:58:28,2023-06-23,81.0,11.78,8.85,9.0,8.925,1.0,3,0.6523472265625001,89.75499725341797,calls,0.0
DIS230623C00082000,DIS,2023-06-16 17:28:02,2023-06-23,82.0,9.7,7.85,8.0,7.925,1.0,12,0.5908244042968751,89.75499725341797,calls,0.0
DIS230623C00083000,DIS,2023-05-30 17:03:46,2023-06-23,83.0,5.6,6.85,7.0,6.925,3.0,5,0.5293015820312501,89.75499725341797,calls,0.0
DIS230623C00084000,DIS,2023-06-20 16:41:13,2023-06-23,84.0,6.2,5.9,6.0,5.95,20.0,74,0.5136767382812499,89.75499725341797,calls,0.0
DIS230623C00085000,DIS,2023-06-20 16:48:56,2023-06-23,85.0,5.2,4.9,5.0,4.95,5.0,29,0.445318046875,89.75499725341797,calls,0.0
DIS230623C00086000,DIS,2023-06-20 17:52:59,2023-06-23,86.0,4.1,3.95,4.05,4.0,118.0,78,0.40039662109375,89.75499725341797,calls,0.0
DIS230623C00087000,DIS,2023-06-20 18:45:27,2023-06-23,87.0,3.12,2.97,3.1,3.035,62.0,85,0.34570966796874997,89.75499725341797,calls,0.0
DIS230623C00088000,DIS,2023-06-20 18:50:46,2023-06-23,88.0,2.28,2.1,2.18,2.14,188.0,369,0.2919992675781249,89.75499725341797,calls,0.0
DIS230623C00089000,DIS,2023-06-20 19:47:19,2023-06-23,89.0,1.38,1.38,1.38,1.38,739.0,452,0.25586681640625003,89.75499725341797,calls,0.0
DIS230623C00090000,DIS,2023-06-20 19:45:52,2023-06-23,90.0,0.83,0.8,0.82,0.81,2755.0,957,0.24951922363281248,89.75499725341797,calls,0.0
DIS230623C00091000,DIS,2023-06-20 19:47:49,2023-06-23,91.0,0.43,0.43,0.45,0.44,4969.0,1428,0.25049577636718745,89.75499725341797,calls,0.0
DIS230623C00092000,DIS,2023-06-20 19:47:33,2023-06-23,92.0,0.25,0.24,0.25,0.245,5138.0,2561,0.2617261328125,89.75499725341797,calls,0.0
DIS230623C00093000,DIS,2023-06-20 19:44:17,2023-06-23,93.0,0.15,0.14,0.15,0.14500000000000002,4951.0,7688,0.282233740234375,89.75499725341797,calls,0.0
DIS230623C00094000,DIS,2023-06-20 19:44:38,2023-06-23,94.0,0.09,0.09,0.1,0.095,2568.0,2751,0.30664755859375,89.75499725341797,calls,0.0
DIS230623C00095000,DIS,2023-06-20 19:46:01,2023-06-23,95.0,0.06,0.06,0.07,0.065,3232.0,6121,0.33399103515625,89.75499725341797,calls,0.0
DIS230623C00096000,DIS,2023-06-20 19:41:56,2023-06-23,96.0,0.04,0.04,0.05,0.045,804.0,2033,0.35742830078125,89.75499725341797,calls,0.0
DIS230623C00097000,DIS,2023-06-20 19:40:06,2023-06-23,97.0,0.03,0.03,0.04,0.035,216.0,1877,0.38672488281249995,89.75499725341797,calls,0.0
DIS230623C00098000,DIS,2023-06-20 19:41:13,2023-06-23,98.0,0.02,0.02,0.03,0.025,461.0,1220,0.4101621484375,89.75499725341797,calls,0.0
DIS230623C00099000,DIS,2023-06-20 19:19:07,2023-06-23,99.0,0.02,0.01,0.02,0.015,150.0,671,0.42188078125,89.75499725341797,calls,0.0
DIS230623C00100000,DIS,2023-06-20 19:29:46,2023-06-23,100.0,0.01,0.01,0.02,0.015,1599.0,3929,0.46094289062500005,89.75499725341797,calls,0.0
DIS230623P00083000,DIS,2023-06-20 19:30:12,2023-06-23,83.0,0.02,0.01,0.02,0.015,334.0,1333,0.35156898437499995,89.75499725341797,puts,0.0
DIS230623P00084000,DIS,2023-06-20 19:29:11,2023-06-23,84.0,0.03,0.02,0.03,0.025,5166.0,484,0.32813171874999997,89.75499725341797,puts,0.0
DIS230623P00085000,DIS,2023-06-20 19:43:18,2023-06-23,85.0,0.05,0.04,0.05,0.045,5939.0,6488,0.304694453125,89.75499725341797,puts,0.0
DIS230623P00086000,DIS,2023-06-20 19:42:20,2023-06-23,86.0,0.07,0.07,0.08,0.07500000000000001,734.0,2987,0.27735097656249996,89.75499725341797,puts,0.0
DIS230623P00087000,DIS,2023-06-20 19:47:08,2023-06-23,87.0,0.12,0.12,0.13,0.125,1485.0,1848,0.249030947265625,89.75499725341797,puts,0.0
DIS230623P00088000,DIS,2023-06-20 19:47:05,2023-06-23,88.0,0.24,0.24,0.25,0.245,2098.0,1380,0.2304764453125,89.75499725341797,puts,0.0
DIS230623P00089000,DIS,2023-06-20 19:46:45,2023-06-23,89.0,0.48,0.47,0.48,0.475,4568.0,2738,0.2148516015625,89.75499725341797,puts,0.0
DIS230623P00090000,DIS,2023-06-20 19:46:04,2023-06-23,90.0,0.9,0.88,0.9,0.89,2498.0,3541,0.20557435058593748,89.75499725341797,puts,0.0
DIS230623P00091000,DIS,2023-06-20 19:46:04,2023-06-23,91.0,1.51,1.55,1.56,1.5550000000000002,2686.0,1997,0.20801573242187496,89.75499725341797,puts,0.0
DIS230623P00092000,DIS,2023-06-20 19:40:40,2023-06-23,92.0,2.28,2.28,2.4,2.34,320.0,3056,0.22168747070312497,89.75499725341797,puts,0.0
DIS230623P00093000,DIS,2023-06-20 19:41:06,2023-06-23,93.0,3.2,3.15,3.3,3.2249999999999996,1336.0,2986,0.21875781249999998,89.75499725341797,puts,0.0
DIS230623P00094000,DIS,2023-06-20 19:45:29,2023-06-23,94.0,4.18,4.1,4.3,4.199999999999999,109.0,785,0.2695385546875,89.75499725341797,puts,0.0
DIS230623P00095000,DIS,2023-06-20 19:40:40,2023-06-23,95.0,5.12,5.1,5.25,5.175,52.0,451,0.21875781249999998,89.75499725341797,puts,0.0
DIS230623P00096000,DIS,2023-06-20 19:48:02,2023-06-23,96.0,6.19,6.1,6.25,6.175,32.0,943,0.257819921875,89.75499725341797,puts,0.0
DIS230623P00097000,DIS,2023-06-20 19:16:07,2023-06-23,97.0,7.01,7.1,7.25,7.175,15.0,139,0.29688203124999996,89.75499725341797,puts,0.0
DIS230623P00098000,DIS,2023-06-20 17:52:59,2023-06-23,98.0,8.05,8.05,8.25,8.15,2.0,105,0.32813171874999997,89.75499725341797,puts,0.0
DIS230623P00099000,DIS,2023-06-20 17:58:15,2023-06-23,99.0,9.06,9.05,9.2,9.125,17.0,108,1.0000000000000003e-05,89.75499725341797,puts,0.0
DIS230623P00100000,DIS,2023-06-20 14:31:55,2023-06-23,100.0,10.1,10.05,10.25,10.15,6.0,26,0.39063109375,89.75499725341797,puts,0.0
