contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
JPM230623C00100000,JPM,2023-06-16 16:07:45,2023-06-23,100.0,43.61,42.4,42.6,42.5,1.0,1,1.2812535937499998,142.47999572753906,calls,0.028074116507197964
JPM230623C00105000,JPM,2023-05-10 17:27:25,2023-06-23,105.0,31.0,35.8,36.65,36.224999999999994,0.0,4,1.0000000000000003e-05,142.47999572753906,calls,0.028074116507197964
JPM230623C00115000,JPM,2023-06-16 18:37:00,2023-06-23,115.0,28.48,27.25,27.65,27.45,5.0,5,1.08984830078125,142.47999572753906,calls,0.028074116507197964
JPM230623C00120000,JPM,2023-06-15 18:43:19,2023-06-23,120.0,23.0,22.45,22.65,22.549999999999997,0.0,3,0.7812521875,142.47999572753906,calls,0.028074116507197964
JPM230623C00122000,JPM,2023-05-23 18:24:50,2023-06-23,122.0,15.94,20.35,20.55,20.450000000000003,0.0,11,0.71679970703125,142.47999572753906,calls,0.028074116507197964
JPM230623C00125000,JPM,2023-06-02 16:04:37,2023-06-23,125.0,16.15,17.45,17.65,17.549999999999997,3.0,18,0.6191444335937502,142.47999572753906,calls,0.028074116507197964
JPM230623C00126000,JPM,2023-05-25 14:07:36,2023-06-23,126.0,11.15,16.4,16.65,16.525,7.0,6,0.5507857421875001,142.47999572753906,calls,0.028074116507197964
JPM230623C00127000,JPM,2023-06-16 18:00:40,2023-06-23,127.0,16.6,15.45,15.65,15.55,1.0,7,0.5546919531250001,142.47999572753906,calls,0.028074116507197964
JPM230623C00128000,JPM,2023-06-02 13:30:07,2023-06-23,128.0,12.44,14.25,14.55,14.4,1.0,1,0.523442265625,142.47999572753906,calls,0.028074116507197964
JPM230623C00129000,JPM,2023-05-31 13:46:26,2023-06-23,129.0,8.4,13.4,13.65,13.525,5.0,5,0.57617611328125,142.47999572753906,calls,0.028074116507197964
JPM230623C00130000,JPM,2023-06-20 16:20:26,2023-06-23,130.0,12.3,12.45,12.55,12.5,4.0,177,0.45703667968750006,142.47999572753906,calls,0.028074116507197964
JPM230623C00131000,JPM,2023-06-20 14:32:41,2023-06-23,131.0,10.3,11.45,11.65,11.55,8.0,52,0.5039112109375,142.47999572753906,calls,0.028074116507197964
JPM230623C00132000,JPM,2023-06-16 17:24:02,2023-06-23,132.0,11.88,10.3,11.0,10.65,11.0,82,0.6191444335937502,142.47999572753906,calls,0.028074116507197964
JPM230623C00133000,JPM,2023-06-16 18:07:38,2023-06-23,133.0,10.67,9.45,9.65,9.55,5.0,153,0.42969320312500003,142.47999572753906,calls,0.028074116507197964
JPM230623C00134000,JPM,2023-06-20 14:47:53,2023-06-23,134.0,7.95,8.4,8.6,8.5,2.0,60,0.36426416992187505,142.47999572753906,calls,0.028074116507197964
JPM230623C00135000,JPM,2023-06-20 15:25:01,2023-06-23,135.0,7.09,7.45,7.65,7.550000000000001,65.0,183,0.35547519531249994,142.47999572753906,calls,0.028074116507197964
JPM230623C00136000,JPM,2023-06-16 19:30:22,2023-06-23,136.0,7.25,6.5,6.65,6.575,2.0,145,0.317389638671875,142.47999572753906,calls,0.028074116507197964
JPM230623C00137000,JPM,2023-06-20 19:27:50,2023-06-23,137.0,5.7,5.5,5.7,5.6,7.0,295,0.29883513671874995,142.47999572753906,calls,0.028074116507197964
JPM230623C00138000,JPM,2023-06-20 18:43:04,2023-06-23,138.0,4.61,4.45,4.65,4.550000000000001,10.0,707,0.23975369628906246,142.47999572753906,calls,0.028074116507197964
JPM230623C00139000,JPM,2023-06-20 19:28:14,2023-06-23,139.0,3.75,3.55,3.7,3.625,9.0,512,0.215828154296875,142.47999572753906,calls,0.028074116507197964
JPM230623C00140000,JPM,2023-06-20 18:16:57,2023-06-23,140.0,2.75,2.62,2.77,2.6950000000000003,259.0,1118,0.18946123046875002,142.47999572753906,calls,0.028074116507197964
JPM230623C00141000,JPM,2023-06-20 19:28:50,2023-06-23,141.0,1.92,1.82,1.93,1.875,220.0,1742,0.17285983398437502,142.47999572753906,calls,0.028074116507197964
JPM230623C00142000,JPM,2023-06-20 19:37:44,2023-06-23,142.0,1.15,1.13,1.16,1.145,2437.0,1509,0.15137567382812503,142.47999572753906,calls,0.028074116507197964
JPM230623C00143000,JPM,2023-06-20 19:46:45,2023-06-23,143.0,0.63,0.63,0.66,0.645,7412.0,2845,0.15039912109375003,142.47999572753906,calls,0.028074116507197964
JPM230623C00144000,JPM,2023-06-20 19:47:44,2023-06-23,144.0,0.29,0.28,0.29,0.28500000000000003,1702.0,2731,0.14063359375,142.47999572753906,calls,0.028074116507197964
JPM230623C00145000,JPM,2023-06-20 19:43:43,2023-06-23,145.0,0.13,0.13,0.15,0.14,1099.0,4141,0.14991084472656252,142.47999572753906,calls,0.028074116507197964
JPM230623C00146000,JPM,2023-06-20 19:06:10,2023-06-23,146.0,0.07,0.06,0.07,0.065,450.0,2237,0.1562584375,142.47999572753906,calls,0.028074116507197964
JPM230623C00147000,JPM,2023-06-20 19:41:18,2023-06-23,147.0,0.04,0.04,0.05,0.045,138.0,2847,0.1757894921875,142.47999572753906,calls,0.028074116507197964
JPM230623C00148000,JPM,2023-06-20 19:44:32,2023-06-23,148.0,0.03,0.03,0.04,0.035,43.0,1388,0.1992267578125,142.47999572753906,calls,0.028074116507197964
JPM230623C00149000,JPM,2023-06-20 19:26:25,2023-06-23,149.0,0.03,0.01,0.03,0.02,363.0,2121,0.21680470703125,142.47999572753906,calls,0.028074116507197964
JPM230623C00150000,JPM,2023-06-20 19:18:05,2023-06-23,150.0,0.01,0.01,0.02,0.015,83.0,482,0.2304764453125,142.47999572753906,calls,0.028074116507197964
JPM230623P00130000,JPM,2023-06-20 18:10:23,2023-06-23,130.0,0.02,0.01,0.02,0.015,77.0,270,0.38281867187499996,142.47999572753906,puts,0.028074116507197964
JPM230623P00131000,JPM,2023-06-20 16:29:26,2023-06-23,131.0,0.02,0.01,0.02,0.015,224.0,172,0.35156898437499995,142.47999572753906,puts,0.028074116507197964
JPM230623P00132000,JPM,2023-06-20 15:27:58,2023-06-23,132.0,0.03,0.01,0.02,0.015,18.0,128,0.3242255078124999,142.47999572753906,puts,0.028074116507197964
JPM230623P00133000,JPM,2023-06-20 15:26:56,2023-06-23,133.0,0.03,0.01,0.02,0.015,102.0,178,0.29688203124999996,142.47999572753906,puts,0.028074116507197964
JPM230623P00134000,JPM,2023-06-20 18:23:34,2023-06-23,134.0,0.02,0.02,0.03,0.025,34.0,238,0.28516339843749994,142.47999572753906,puts,0.028074116507197964
JPM230623P00135000,JPM,2023-06-20 19:16:53,2023-06-23,135.0,0.02,0.02,0.03,0.025,240.0,1074,0.25586681640625003,142.47999572753906,puts,0.028074116507197964
JPM230623P00136000,JPM,2023-06-20 19:15:24,2023-06-23,136.0,0.03,0.03,0.04,0.035,59.0,377,0.23633576171874998,142.47999572753906,puts,0.028074116507197964
JPM230623P00137000,JPM,2023-06-20 19:25:11,2023-06-23,137.0,0.05,0.05,0.06,0.055,85.0,631,0.22071091796874998,142.47999572753906,puts,0.028074116507197964
JPM230623P00138000,JPM,2023-06-20 19:34:12,2023-06-23,138.0,0.09,0.07,0.08,0.07500000000000001,654.0,777,0.1992267578125,142.47999572753906,puts,0.028074116507197964
JPM230623P00139000,JPM,2023-06-20 19:45:43,2023-06-23,139.0,0.13,0.12,0.14,0.13,419.0,886,0.188484677734375,142.47999572753906,puts,0.028074116507197964
JPM230623P00140000,JPM,2023-06-20 19:37:42,2023-06-23,140.0,0.23,0.21,0.22,0.215,749.0,1159,0.1713950048828125,142.47999572753906,puts,0.028074116507197964
JPM230623P00141000,JPM,2023-06-20 19:46:46,2023-06-23,141.0,0.38,0.37,0.38,0.375,698.0,1918,0.15869981933593752,142.47999572753906,puts,0.028074116507197964
JPM230623P00142000,JPM,2023-06-20 19:44:15,2023-06-23,142.0,0.7,0.64,0.66,0.65,2385.0,1320,0.14795773925781253,142.47999572753906,puts,0.028074116507197964
JPM230623P00143000,JPM,2023-06-20 19:31:00,2023-06-23,143.0,1.11,1.11,1.16,1.135,624.0,752,0.1469811865234375,142.47999572753906,puts,0.028074116507197964
JPM230623P00144000,JPM,2023-06-20 13:42:25,2023-06-23,144.0,2.6,1.74,1.87,1.8050000000000002,19.0,406,0.15332877929687502,142.47999572753906,puts,0.028074116507197964
JPM230623P00145000,JPM,2023-06-20 14:27:22,2023-06-23,145.0,3.85,2.57,2.78,2.675,2.0,309,0.180672255859375,142.47999572753906,puts,0.028074116507197964
JPM230623P00146000,JPM,2023-06-20 19:44:31,2023-06-23,146.0,3.65,3.5,3.65,3.575,29.0,81,0.18164880859375,142.47999572753906,puts,0.028074116507197964
JPM230623P00147000,JPM,2023-06-14 14:09:17,2023-06-23,147.0,4.2,4.5,4.65,4.575,4.0,8,0.21778125976562498,142.47999572753906,puts,0.028074116507197964
JPM230623P00148000,JPM,2023-06-16 18:24:04,2023-06-23,148.0,4.65,5.45,5.65,5.550000000000001,140.0,113,0.252937158203125,142.47999572753906,puts,0.028074116507197964
JPM230623P00149000,JPM,2023-06-16 19:50:02,2023-06-23,149.0,5.75,6.5,6.7,6.6,1.0,0,0.309577216796875,142.47999572753906,puts,0.028074116507197964
JPM230623P00150000,JPM,2023-06-20 19:16:53,2023-06-23,150.0,7.5,7.55,7.7,7.625,6.0,3,0.3437565625,142.47999572753906,puts,0.028074116507197964
JPM230623P00155000,JPM,2023-06-14 17:59:53,2023-06-23,155.0,13.3,12.45,12.7,12.575,0.0,0,0.5019581054687501,142.47999572753906,puts,0.028074116507197964
JPM230623P00162500,JPM,2023-05-30 14:33:48,2023-06-23,162.5,25.25,20.05,20.2,20.125,1.0,0,0.65039412109375,142.47999572753906,puts,0.028074116507197964
JPM230630C00080000,JPM,2023-06-01 16:30:39,2023-06-30,80.0,58.43,62.25,62.8,62.525,0.0,2,1.3164096679687498,142.47999572753906,calls,0.028074116507197964
JPM230630C00100000,JPM,2023-06-15 15:07:35,2023-06-30,100.0,41.79,42.35,42.8,42.575,0.0,2,0.929688203125,142.47999572753906,calls,0.028074116507197964
JPM230630C00110000,JPM,2023-06-05 13:38:56,2023-06-30,110.0,29.92,32.3,32.75,32.525,2.0,2,0.6367223828125,142.47999572753906,calls,0.028074116507197964
JPM230630C00115000,JPM,2023-05-30 14:18:31,2023-06-30,115.0,23.29,27.4,27.75,27.575,80.0,49,0.5976602734375001,142.47999572753906,calls,0.028074116507197964
JPM230630C00120000,JPM,2023-06-01 14:55:29,2023-06-30,120.0,17.95,22.6,22.8,22.700000000000003,1.0,30,0.5712933496093751,142.47999572753906,calls,0.028074116507197964
JPM230630C00123000,JPM,2023-06-05 17:34:07,2023-06-30,123.0,15.9,19.45,19.8,19.625,8.0,13,0.5434615966796876,142.47999572753906,calls,0.028074116507197964
JPM230630C00124000,JPM,2023-06-12 18:51:36,2023-06-30,124.0,17.04,18.55,18.8,18.675,1.0,1,0.5195360546875,142.47999572753906,calls,0.028074116507197964
JPM230630C00125000,JPM,2023-06-13 13:50:06,2023-06-30,125.0,17.5,17.6,18.0,17.8,1.0,16,0.5561567822265626,142.47999572753906,calls,0.028074116507197964
JPM230630C00126000,JPM,2023-06-01 18:25:14,2023-06-30,126.0,13.1,16.5,16.9,16.7,1.0,4,0.5024463818359376,142.47999572753906,calls,0.028074116507197964
JPM230630C00127000,JPM,2023-06-16 18:05:52,2023-06-30,127.0,16.76,15.6,15.75,15.675,3.0,8,0.43066975585937506,142.47999572753906,calls,0.028074116507197964
JPM230630C00128000,JPM,2023-06-14 18:08:03,2023-06-30,128.0,13.58,14.6,14.8,14.7,9.0,16,0.4233456103515625,142.47999572753906,calls,0.028074116507197964
JPM230630C00129000,JPM,2023-05-31 19:44:32,2023-06-30,129.0,8.75,13.5,13.85,13.675,0.0,4,0.41358008300781246,142.47999572753906,calls,0.028074116507197964
JPM230630C00130000,JPM,2023-06-20 17:24:09,2023-06-30,130.0,12.96,12.65,12.8,12.725000000000001,2.0,40,0.37500625,142.47999572753906,calls,0.028074116507197964
JPM230630C00131000,JPM,2023-06-05 15:35:40,2023-06-30,131.0,8.8,11.7,11.95,11.825,1.0,37,0.3881897119140625,142.47999572753906,calls,0.028074116507197964
JPM230630C00132000,JPM,2023-06-16 18:52:02,2023-06-30,132.0,11.74,10.65,10.8,10.725000000000001,2.0,74,0.3266668896484375,142.47999572753906,calls,0.028074116507197964
JPM230630C00133000,JPM,2023-06-14 18:08:00,2023-06-30,133.0,8.85,9.65,9.85,9.75,1.0,113,0.3139717041015625,142.47999572753906,calls,0.028074116507197964
JPM230630C00134000,JPM,2023-06-16 19:00:41,2023-06-30,134.0,9.58,8.7,8.85,8.774999999999999,1.0,67,0.2885813330078124,142.47999572753906,calls,0.028074116507197964
JPM230630C00135000,JPM,2023-06-16 19:50:46,2023-06-30,135.0,8.75,7.8,8.0,7.9,112.0,485,0.2924875439453124,142.47999572753906,calls,0.028074116507197964
JPM230630C00136000,JPM,2023-06-20 16:26:35,2023-06-30,136.0,6.95,6.9,7.05,6.975,25.0,270,0.2732006274414062,142.47999572753906,calls,0.028074116507197964
JPM230630C00137000,JPM,2023-06-20 17:04:38,2023-06-30,137.0,6.1,5.95,6.15,6.050000000000001,7.0,278,0.2600171655273438,142.47999572753906,calls,0.028074116507197964
JPM230630C00138000,JPM,2023-06-20 15:40:37,2023-06-30,138.0,4.97,5.05,5.25,5.15,1.0,163,0.24341576904296874,142.47999572753906,calls,0.028074116507197964
JPM230630C00139000,JPM,2023-06-20 17:06:26,2023-06-30,139.0,4.33,4.25,4.4,4.325,3.0,1058,0.23023230712890624,142.47999572753906,calls,0.028074116507197964
JPM230630C00140000,JPM,2023-06-20 18:26:12,2023-06-30,140.0,3.6,3.4,3.55,3.4749999999999996,49.0,1166,0.2124102197265625,142.47999572753906,calls,0.028074116507197964
JPM230630C00141000,JPM,2023-06-20 19:41:31,2023-06-30,141.0,2.74,2.79,2.82,2.8049999999999997,124.0,1612,0.20313296874999998,142.47999572753906,calls,0.028074116507197964
JPM230630C00142000,JPM,2023-06-20 19:36:34,2023-06-30,142.0,2.07,2.08,2.14,2.1100000000000003,690.0,685,0.19190261230468753,142.47999572753906,calls,0.028074116507197964
JPM230630C00143000,JPM,2023-06-20 19:46:45,2023-06-30,143.0,1.57,1.54,1.57,1.5550000000000002,668.0,1625,0.18384605224609374,142.47999572753906,calls,0.028074116507197964
JPM230630C00144000,JPM,2023-06-20 19:35:27,2023-06-30,144.0,1.04,1.09,1.12,1.105,321.0,1236,0.17920742675781248,142.47999572753906,calls,0.028074116507197964
JPM230630C00145000,JPM,2023-06-20 19:46:45,2023-06-30,145.0,0.76,0.74,0.77,0.755,425.0,1685,0.17554535400390625,142.47999572753906,calls,0.028074116507197964
JPM230630C00146000,JPM,2023-06-20 19:39:31,2023-06-30,146.0,0.5,0.48,0.51,0.495,536.0,849,0.17310397216796874,142.47999572753906,calls,0.028074116507197964
JPM230630C00147000,JPM,2023-06-20 19:14:48,2023-06-30,147.0,0.33,0.3,0.33,0.315,47.0,437,0.17212741943359378,142.47999572753906,calls,0.028074116507197964
JPM230630C00148000,JPM,2023-06-20 19:16:13,2023-06-30,148.0,0.22,0.2,0.21,0.20500000000000002,103.0,874,0.17237155761718753,142.47999572753906,calls,0.028074116507197964
JPM230630C00149000,JPM,2023-06-20 19:20:24,2023-06-30,149.0,0.15,0.13,0.14,0.135,20.0,104,0.1757894921875,142.47999572753906,calls,0.028074116507197964
JPM230630C00150000,JPM,2023-06-20 19:38:26,2023-06-30,150.0,0.09,0.09,0.1,0.095,330.0,860,0.18164880859375,142.47999572753906,calls,0.028074116507197964
JPM230630C00152500,JPM,2023-06-20 18:40:47,2023-06-30,152.5,0.06,0.04,0.05,0.045,43.0,67,0.20117986328124998,142.47999572753906,calls,0.028074116507197964
JPM230630C00155000,JPM,2023-06-20 14:57:15,2023-06-30,155.0,0.03,0.02,0.03,0.025,6.0,370,0.22266402343749997,142.47999572753906,calls,0.028074116507197964
JPM230630C00157500,JPM,2023-06-20 14:05:33,2023-06-30,157.5,0.02,0.01,0.02,0.015,1.0,36,0.2461012890625,142.47999572753906,calls,0.028074116507197964
JPM230630P00120000,JPM,2023-06-20 16:32:16,2023-06-30,120.0,0.03,0.01,0.02,0.015,11.0,647,0.398443515625,142.47999572753906,puts,0.028074116507197964
JPM230630P00123000,JPM,2023-06-20 18:40:26,2023-06-30,123.0,0.02,0.02,0.03,0.025,2.0,264,0.367193828125,142.47999572753906,puts,0.028074116507197964
JPM230630P00124000,JPM,2023-06-20 14:45:47,2023-06-30,124.0,0.03,0.02,0.03,0.025,10.0,447,0.34766277343749996,142.47999572753906,puts,0.028074116507197964
JPM230630P00125000,JPM,2023-06-20 14:06:43,2023-06-30,125.0,0.04,0.03,0.04,0.035,1.0,1076,0.3437565625,142.47999572753906,puts,0.028074116507197964
JPM230630P00126000,JPM,2023-06-16 14:19:54,2023-06-30,126.0,0.06,0.03,0.04,0.035,5.0,45,0.32617861328125,142.47999572753906,puts,0.028074116507197964
JPM230630P00127000,JPM,2023-06-16 19:46:02,2023-06-30,127.0,0.05,0.03,0.05,0.04,11.0,364,0.31836619140624994,142.47999572753906,puts,0.028074116507197964
JPM230630P00128000,JPM,2023-06-20 19:21:39,2023-06-30,128.0,0.05,0.04,0.05,0.045,5.0,54,0.29883513671874995,142.47999572753906,puts,0.028074116507197964
JPM230630P00129000,JPM,2023-06-20 19:21:26,2023-06-30,129.0,0.06,0.05,0.06,0.055,19.0,107,0.2890696093749999,142.47999572753906,puts,0.028074116507197964
JPM230630P00130000,JPM,2023-06-20 19:21:26,2023-06-30,130.0,0.07,0.06,0.07,0.065,33.0,800,0.27637442382812494,142.47999572753906,puts,0.028074116507197964
JPM230630P00131000,JPM,2023-06-20 19:23:29,2023-06-30,131.0,0.08,0.07,0.09,0.08,14.0,1780,0.26856200195312496,142.47999572753906,puts,0.028074116507197964
