contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NFLX230623C00200000,NFLX,2023-06-16 14:40:09,2023-06-23,200.0,241.42,232.8,236.25,234.525,1.0,0,4.017583103027344,434.70001220703125,calls,0.0
NFLX230623C00250000,NFLX,2023-06-20 13:57:22,2023-06-23,250.0,187.8,183.1,186.65,184.875,2.0,3,2.160160849609375,434.70001220703125,calls,0.0
NFLX230623C00270000,NFLX,2023-05-23 17:53:04,2023-06-23,270.0,86.13,163.1,166.25,164.675,2.0,0,2.616214396972657,434.70001220703125,calls,0.0
NFLX230623C00275000,NFLX,2023-06-14 17:35:50,2023-06-23,275.0,165.39,158.0,161.25,159.625,4.0,2,2.529788831787109,434.70001220703125,calls,0.0
NFLX230623C00280000,NFLX,2023-06-13 18:39:36,2023-06-23,280.0,153.77,153.05,156.35,154.7,1.0,4,0.500005,434.70001220703125,calls,0.0
NFLX230623C00285000,NFLX,2023-06-14 17:35:50,2023-06-23,285.0,155.39,147.9,151.2,149.55,4.0,28,2.345707260742187,434.70001220703125,calls,0.0
NFLX230623C00290000,NFLX,2023-05-30 16:36:49,2023-06-23,290.0,102.67,143.2,146.2,144.7,20.0,26,0.500005,434.70001220703125,calls,0.0
NFLX230623C00300000,NFLX,2023-06-20 15:07:01,2023-06-23,300.0,133.45,133.65,136.25,134.95,12.0,14,1.5732443212890623,434.70001220703125,calls,0.0
NFLX230623C00305000,NFLX,2023-06-16 15:56:00,2023-06-23,305.0,133.82,128.0,131.25,129.625,6.0,14,2.036626002197266,434.70001220703125,calls,0.0
NFLX230623C00310000,NFLX,2023-06-16 19:54:25,2023-06-23,310.0,122.55,123.7,126.35,125.025,4.0,55,1.501955615234375,434.70001220703125,calls,0.0
NFLX230623C00315000,NFLX,2023-06-14 18:48:58,2023-06-23,315.0,130.25,118.15,121.05,119.6,7.0,39,1.8291024169921872,434.70001220703125,calls,0.0
NFLX230623C00320000,NFLX,2023-06-16 19:46:17,2023-06-23,320.0,114.29,113.5,116.6,115.05,12.0,85,1.3925811621093749,434.70001220703125,calls,0.0
NFLX230623C00325000,NFLX,2023-06-20 16:02:33,2023-06-23,325.0,109.3,108.5,110.9,109.7,7.0,72,0.500005,434.70001220703125,calls,0.0
NFLX230623C00330000,NFLX,2023-06-20 14:46:02,2023-06-23,330.0,105.27,103.1,106.45,104.775,21.0,37,1.0390673046875003,434.70001220703125,calls,0.0
NFLX230623C00335000,NFLX,2023-06-20 15:48:23,2023-06-23,335.0,100.35,98.25,101.05,99.65,2.0,343,1.534670295410156,434.70001220703125,calls,0.0
NFLX230623C00340000,NFLX,2023-06-20 13:33:05,2023-06-23,340.0,95.0,93.3,95.9,94.6,2.0,359,1.4277372363281249,434.70001220703125,calls,0.0
NFLX230623C00345000,NFLX,2023-06-20 19:48:04,2023-06-23,345.0,89.22,88.25,91.4,89.825,5.0,122,0.9433599414062499,434.70001220703125,calls,0.0
NFLX230623C00347500,NFLX,2023-06-16 18:53:09,2023-06-23,347.5,88.46,85.4,88.9,87.15,13.0,13,1.4262723999023437,434.70001220703125,calls,0.0
NFLX230623C00350000,NFLX,2023-06-20 13:43:14,2023-06-23,350.0,87.8,83.5,86.55,85.025,1.0,85,1.01953615234375,434.70001220703125,calls,0.0
NFLX230623C00352500,NFLX,2023-06-16 19:55:52,2023-06-23,352.5,79.0,81.25,83.95,82.6,3.0,3,1.0234423828125,434.70001220703125,calls,0.0
NFLX230623C00355000,NFLX,2023-06-20 17:22:57,2023-06-23,355.0,80.21,78.9,81.1,80.0,30.0,137,0.9492192578124999,434.70001220703125,calls,0.0
NFLX230623C00357500,NFLX,2023-06-16 14:32:22,2023-06-23,357.5,83.34,75.6,78.75,77.175,1.0,2,1.253665841064453,434.70001220703125,calls,0.0
NFLX230623C00360000,NFLX,2023-06-20 15:42:06,2023-06-23,360.0,76.25,73.6,75.85,74.725,3.0,397,0.6562534375000001,434.70001220703125,calls,0.0
NFLX230623C00362500,NFLX,2023-06-20 13:44:54,2023-06-23,362.5,76.65,70.7,73.7,72.2,2.0,3,1.173832255859375,434.70001220703125,calls,0.0
NFLX230623C00365000,NFLX,2023-06-20 17:50:20,2023-06-23,365.0,70.12,68.5,71.65,70.075,27.0,218,0.867188828125,434.70001220703125,calls,0.0
