contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
PEP230623C00110000,PEP,2023-05-31 19:50:01,2023-06-23,110.0,74.0,75.25,76.05,75.65,0.0,0,2.5234411914062496,185.30999755859375,calls,0.02496717245492244
PEP230623C00140000,PEP,2023-06-15 19:31:53,2023-06-23,140.0,46.1,45.45,46.0,45.725,6.0,4,1.5292992285156248,185.30999755859375,calls,0.02496717245492244
PEP230623C00155000,PEP,2023-05-31 19:50:01,2023-06-23,155.0,28.95,30.25,31.0,30.625,0.0,0,0.9970703417968749,185.30999755859375,calls,0.02496717245492244
PEP230623C00170000,PEP,2023-06-20 14:04:00,2023-06-23,170.0,16.93,15.6,15.9,15.75,10.0,11,0.6020547607421877,185.30999755859375,calls,0.02496717245492244
PEP230623C00175000,PEP,2023-06-20 14:04:00,2023-06-23,175.0,11.93,10.6,10.8,10.7,10.0,24,0.4580132324218751,185.30999755859375,calls,0.02496717245492244
PEP230623C00177500,PEP,2023-06-15 18:43:02,2023-06-23,177.5,8.41,7.95,8.5,8.225,1.0,5,0.41992767578125,185.30999755859375,calls,0.02496717245492244
PEP230623C00180000,PEP,2023-06-20 17:44:53,2023-06-23,180.0,6.7,5.6,5.85,5.725,2.0,115,0.2981027221679687,185.30999755859375,calls,0.02496717245492244
PEP230623C00182500,PEP,2023-06-20 19:17:30,2023-06-23,182.5,3.85,3.25,3.45,3.35,39.0,573,0.21949022705078125,185.30999755859375,calls,0.02496717245492244
PEP230623C00185000,PEP,2023-06-20 19:33:51,2023-06-23,185.0,1.42,1.32,1.38,1.35,64.0,640,0.1577232666015625,185.30999755859375,calls,0.02496717245492244
PEP230623C00187500,PEP,2023-06-20 19:48:19,2023-06-23,187.5,0.3,0.3,0.32,0.31,830.0,309,0.13868048828125001,185.30999755859375,calls,0.02496717245492244
PEP230623C00190000,PEP,2023-06-20 19:39:02,2023-06-23,190.0,0.07,0.05,0.07,0.060000000000000005,369.0,701,0.15039912109375003,185.30999755859375,calls,0.02496717245492244
PEP230623C00192500,PEP,2023-06-20 19:35:47,2023-06-23,192.5,0.02,0.02,0.03,0.025,58.0,150,0.18164880859375,185.30999755859375,calls,0.02496717245492244
PEP230623P00177500,PEP,2023-06-20 19:40:22,2023-06-23,177.5,0.03,0.02,0.04,0.03,38.0,0,0.21192194335937498,185.30999755859375,puts,0.02496717245492244
PEP230623P00180000,PEP,2023-06-20 19:15:02,2023-06-23,180.0,0.05,0.05,0.07,0.060000000000000005,45.0,469,0.16993017578125003,185.30999755859375,puts,0.02496717245492244
PEP230623P00182500,PEP,2023-06-20 19:38:52,2023-06-23,182.5,0.17,0.16,0.17,0.165,189.0,348,0.1313563427734375,185.30999755859375,puts,0.02496717245492244
PEP230623P00185000,PEP,2023-06-20 19:38:26,2023-06-23,185.0,0.67,0.64,0.67,0.655,172.0,336,0.1054776953125,185.30999755859375,puts,0.02496717245492244
PEP230623P00187500,PEP,2023-06-20 19:37:55,2023-06-23,187.5,2.09,2.05,2.23,2.1399999999999997,36.0,64,0.07373973144531251,185.30999755859375,puts,0.02496717245492244
PEP230623P00190000,PEP,2023-06-20 19:39:11,2023-06-23,190.0,4.4,4.4,4.5,4.45,10.0,83,1.0000000000000003e-05,185.30999755859375,puts,0.02496717245492244
PEP230623P00192500,PEP,2023-06-16 16:20:35,2023-06-23,192.5,5.0,6.7,7.2,6.95,2.0,0,0.1562584375,185.30999755859375,puts,0.02496717245492244
PEP230623P00195000,PEP,2023-06-20 13:56:48,2023-06-23,195.0,8.01,9.3,9.55,9.425,2.0,1,1.0000000000000003e-05,185.30999755859375,puts,0.02496717245492244
PEP230623P00197500,PEP,2023-06-12 14:38:01,2023-06-23,197.5,15.63,11.8,12.1,11.95,1.0,0,1.0000000000000003e-05,185.30999755859375,puts,0.02496717245492244
PEP230623P00200000,PEP,2023-05-31 14:18:59,2023-06-23,200.0,18.2,14.25,14.75,14.5,10.0,0,0.3632876171875,185.30999755859375,puts,0.02496717245492244
PEP230623P00210000,PEP,2023-05-15 17:32:44,2023-06-23,210.0,16.52,26.4,27.85,27.125,0.0,0,1.2690466235351558,185.30999755859375,puts,0.02496717245492244
PEP230623P00215000,PEP,2023-05-31 19:50:00,2023-06-23,215.0,32.35,29.25,29.65,29.45,1.0,0,1.0000000000000003e-05,185.30999755859375,puts,0.02496717245492244
PEP230630C00100000,PEP,2023-06-20 14:52:59,2023-06-30,100.0,86.86,85.4,86.05,85.725,7.0,7,1.8232430712890624,185.30999755859375,calls,0.02496717245492244
PEP230630C00155000,PEP,2023-06-15 14:17:49,2023-06-30,155.0,30.3,30.5,31.2,30.85,1.0,2,0.6718782812500002,185.30999755859375,calls,0.02496717245492244
