contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
QCOM230623C00070000,QCOM,2023-06-16 17:11:21,2023-06-23,70.0,53.45,49.8,50.35,50.075,83.0,83,2.652347119140625,119.81999969482422,calls,0.024926278369834444
QCOM230623C00080000,QCOM,2023-06-16 17:09:03,2023-06-23,80.0,43.69,39.9,40.35,40.125,14.0,14,2.134770288085937,119.81999969482422,calls,0.024926278369834444
QCOM230623C00090000,QCOM,2023-06-09 13:59:03,2023-06-23,90.0,30.25,29.85,30.45,30.15,1.0,3,1.619142529296875,119.81999969482422,calls,0.024926278369834444
QCOM230623C00092000,QCOM,2023-06-01 14:13:59,2023-06-23,92.0,21.55,27.95,28.35,28.15,0.0,0,1.5156274218749999,119.81999969482422,calls,0.024926278369834444
QCOM230623C00093000,QCOM,2023-05-26 19:06:37,2023-06-23,93.0,17.9,26.95,27.4,27.174999999999997,1.0,0,1.4853541357421873,119.81999969482422,calls,0.024926278369834444
QCOM230623C00095000,QCOM,2023-06-01 13:41:00,2023-06-23,95.0,19.62,24.95,25.45,25.2,1.0,1,1.40234673828125,119.81999969482422,calls,0.024926278369834444
QCOM230623C00096000,QCOM,2023-05-23 14:35:15,2023-06-23,96.0,9.55,23.9,24.25,24.075,0.0,0,1.2441444042968748,119.81999969482422,calls,0.024926278369834444
QCOM230623C00097000,QCOM,2023-06-14 19:05:24,2023-06-23,97.0,26.45,22.9,23.35,23.125,0.0,1,1.2402381738281247,119.81999969482422,calls,0.024926278369834444
QCOM230623C00098000,QCOM,2023-05-25 15:16:51,2023-06-23,98.0,5.95,21.85,22.3,22.075000000000003,0.0,0,1.1484417578125,119.81999969482422,calls,0.024926278369834444
QCOM230623C00099000,QCOM,2023-06-15 19:29:45,2023-06-23,99.0,25.65,20.8,21.45,21.125,2.0,3,1.142582412109375,119.81999969482422,calls,0.024926278369834444
QCOM230623C00100000,QCOM,2023-06-16 18:32:58,2023-06-23,100.0,22.86,19.95,20.35,20.15,2.0,24,1.111332568359375,119.81999969482422,calls,0.024926278369834444
QCOM230623C00101000,QCOM,2023-06-01 19:15:13,2023-06-23,101.0,15.95,19.0,19.2,19.1,4.0,0,1.0253954980468751,119.81999969482422,calls,0.024926278369834444
QCOM230623C00102000,QCOM,2023-05-26 14:34:01,2023-06-23,102.0,7.15,17.9,18.35,18.125,46.0,42,0.9960937890625,119.81999969482422,calls,0.024926278369834444
QCOM230623C00103000,QCOM,2023-06-13 17:44:04,2023-06-23,103.0,22.45,17.05,17.3,17.175,1.0,107,0.9804689453125001,119.81999969482422,calls,0.024926278369834444
QCOM230623C00104000,QCOM,2023-06-13 16:35:05,2023-06-23,104.0,21.0,15.9,16.25,16.075,9.0,53,0.8642591699218749,119.81999969482422,calls,0.024926278369834444
QCOM230623C00105000,QCOM,2023-06-20 14:02:26,2023-06-23,105.0,15.0,14.9,15.25,15.075,2.0,240,0.8173846386718748,119.81999969482422,calls,0.024926278369834444
QCOM230623C00106000,QCOM,2023-06-16 14:57:07,2023-06-23,106.0,17.02,14.05,14.35,14.2,3.0,181,0.8466812207031249,119.81999969482422,calls,0.024926278369834444
QCOM230623C00107000,QCOM,2023-06-16 14:57:52,2023-06-23,107.0,16.14,13.1,13.35,13.225,3.0,118,0.8095722167968749,119.81999969482422,calls,0.024926278369834444
QCOM230623C00108000,QCOM,2023-06-16 14:58:38,2023-06-23,108.0,15.13,11.7,12.4,12.05,4.0,72,0.6611362011718751,119.81999969482422,calls,0.024926278369834444
QCOM230623C00109000,QCOM,2023-06-12 13:30:04,2023-06-23,109.0,12.32,11.0,11.35,11.175,1.0,363,0.6835969140625001,119.81999969482422,calls,0.024926278369834444
QCOM230623C00110000,QCOM,2023-06-20 15:00:17,2023-06-23,110.0,9.41,10.05,10.25,10.15,1.0,0,0.6210975390625001,119.81999969482422,calls,0.024926278369834444
QCOM230623C00111000,QCOM,2023-06-20 14:54:26,2023-06-23,111.0,8.4,9.1,9.35,9.225,11.0,0,0.6054726953125001,119.81999969482422,calls,0.024926278369834444
QCOM230623C00112000,QCOM,2023-06-20 18:37:08,2023-06-23,112.0,7.9,7.85,8.25,8.05,9.0,354,0.5634809277343751,119.81999969482422,calls,0.024926278369834444
QCOM230623C00113000,QCOM,2023-06-16 17:11:21,2023-06-23,113.0,10.51,7.15,7.35,7.25,51.0,110,0.5107470800781251,119.81999969482422,calls,0.024926278369834444
QCOM230623C00114000,QCOM,2023-06-20 18:59:53,2023-06-23,114.0,6.05,6.1,6.3,6.199999999999999,13.0,169,0.47412635253906255,119.81999969482422,calls,0.024926278369834444
QCOM230623C00115000,QCOM,2023-06-20 17:44:00,2023-06-23,115.0,5.3,5.2,5.35,5.275,11.0,0,0.4335994140625,119.81999969482422,calls,0.024926278369834444
QCOM230623C00116000,QCOM,2023-06-20 18:46:19,2023-06-23,116.0,4.0,4.3,4.45,4.375,21.0,599,0.4023497265625,119.81999969482422,calls,0.024926278369834444
QCOM230623C00117000,QCOM,2023-06-20 19:31:38,2023-06-23,117.0,3.47,3.4,3.65,3.525,50.0,420,0.3881897119140625,119.81999969482422,calls,0.024926278369834444
