contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TMO230623C00370000,TMO,2023-06-13 18:44:25,2023-06-23,370.0,155.36,154.6,160.5,157.55,0.0,2,1.5078149609375,527.25,calls,0.0024024024024024023
TMO230623C00470000,TMO,2023-06-15 13:39:38,2023-06-23,470.0,54.0,57.0,59.0,58.0,0.0,4,0.6718782812500002,527.25,calls,0.0024024024024024023
TMO230623C00480000,TMO,2023-05-31 19:34:41,2023-06-23,480.0,36.4,46.6,49.6,48.1,0.0,1,0.586918193359375,527.25,calls,0.0024024024024024023
TMO230623C00485000,TMO,2023-06-20 13:30:24,2023-06-23,485.0,25.0,41.5,44.7,43.1,1.0,2,0.5354050366210938,527.25,calls,0.0024024024024024023
TMO230623C00500000,TMO,2023-05-24 19:50:24,2023-06-23,500.0,23.5,27.1,30.1,28.6,0.0,1,0.5498091894531252,527.25,calls,0.0024024024024024023
TMO230623C00507500,TMO,2023-06-14 18:20:15,2023-06-23,507.5,16.55,20.3,21.4,20.85,0.0,1,0.36499658447265626,527.25,calls,0.0024024024024024023
TMO230623C00510000,TMO,2023-06-20 13:34:13,2023-06-23,510.0,11.8,18.1,21.8,19.950000000000003,3.0,135,0.5129443237304687,527.25,calls,0.0024024024024024023
TMO230623C00512500,TMO,2023-06-07 14:54:13,2023-06-23,512.5,14.3,15.8,17.6,16.700000000000003,0.0,1,0.3776917700195312,527.25,calls,0.0024024024024024023
TMO230623C00515000,TMO,2023-06-07 14:28:08,2023-06-23,515.0,11.9,12.7,14.2,13.45,0.0,3,0.2876047802734374,527.25,calls,0.0024024024024024023
TMO230623C00517500,TMO,2023-06-20 17:04:28,2023-06-23,517.5,12.54,11.0,12.7,11.85,10.0,6,0.3086006640625,527.25,calls,0.0024024024024024023
TMO230623C00520000,TMO,2023-06-20 15:23:46,2023-06-23,520.0,7.9,9.0,10.1,9.55,8.0,32,0.26355716918945316,527.25,calls,0.0024024024024024023
TMO230623C00522500,TMO,2023-06-16 13:49:30,2023-06-23,522.5,18.25,7.6,8.1,7.85,1.0,6,0.2461012890625,527.25,calls,0.0024024024024024023
TMO230623C00525000,TMO,2023-06-20 17:54:26,2023-06-23,525.0,7.3,6.0,6.4,6.2,33.0,35,0.23657989990234374,527.25,calls,0.0024024024024024023
TMO230623C00527500,TMO,2023-06-20 17:24:48,2023-06-23,527.5,6.5,4.6,4.9,4.75,6.0,58,0.22809609802246095,527.25,calls,0.0024024024024024023
TMO230623C00530000,TMO,2023-06-20 17:54:53,2023-06-23,530.0,4.1,3.3,3.8,3.55,33.0,27,0.22901161621093752,527.25,calls,0.0024024024024024023
TMO230623C00532500,TMO,2023-06-20 16:08:27,2023-06-23,532.5,1.5,2.4,2.65,2.525,1.0,9,0.2181474670410156,527.25,calls,0.0024024024024024023
TMO230623C00535000,TMO,2023-06-20 17:48:14,2023-06-23,535.0,2.88,1.5,1.95,1.725,26.0,45,0.21985643432617186,527.25,calls,0.0024024024024024023
TMO230623C00537500,TMO,2023-06-20 19:28:50,2023-06-23,537.5,1.2,0.9,1.2,1.05,30.0,25,0.20813780151367184,527.25,calls,0.0024024024024024023
TMO230623C00540000,TMO,2023-06-20 17:48:14,2023-06-23,540.0,1.38,0.6,0.95,0.7749999999999999,47.0,84,0.21973436523437498,527.25,calls,0.0024024024024024023
TMO230623C00542500,TMO,2023-06-20 19:33:08,2023-06-23,542.5,0.55,0.4,0.6,0.5,23.0,35,0.2161943615722656,527.25,calls,0.0024024024024024023
TMO230623C00545000,TMO,2023-06-20 18:37:15,2023-06-23,545.0,0.39,0.25,0.45,0.35,14.0,44,0.22412885253906245,527.25,calls,0.0024024024024024023
