contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
PG230623C00127000,PG,2023-06-13 14:46:41,2023-06-23,127.0,18.6,21.25,21.45,21.35,0.0,3,0.8203142968749999,148.17999267578125,calls,0.02457821689847643
PG230623C00135000,PG,2023-05-31 17:40:32,2023-06-23,135.0,9.5,13.3,13.45,13.375,0.0,5,0.5585981640625001,148.17999267578125,calls,0.02457821689847643
PG230623C00139000,PG,2023-06-12 16:13:59,2023-06-23,139.0,7.15,9.3,9.5,9.4,2.0,3,0.46973186523437505,148.17999267578125,calls,0.02457821689847643
PG230623C00140000,PG,2023-06-12 17:56:00,2023-06-23,140.0,5.2,8.3,8.5,8.4,3.0,2,0.42969320312500003,148.17999267578125,calls,0.02457821689847643
PG230623C00141000,PG,2023-06-16 19:33:51,2023-06-23,141.0,8.63,7.3,7.5,7.4,1.0,18,0.389654541015625,148.17999267578125,calls,0.02457821689847643
PG230623C00142000,PG,2023-06-14 18:00:01,2023-06-23,142.0,4.8,6.3,6.8,6.55,1.0,15,0.43457596679687505,148.17999267578125,calls,0.02457821689847643
PG230623C00143000,PG,2023-06-20 15:35:31,2023-06-23,143.0,6.3,5.3,5.5,5.4,1.0,61,0.30811238769531246,148.17999267578125,calls,0.02457821689847643
PG230623C00144000,PG,2023-06-20 14:16:41,2023-06-23,144.0,5.9,4.35,4.5,4.425,20.0,106,0.26563234375,148.17999267578125,calls,0.02457821689847643
PG230623C00145000,PG,2023-06-20 19:08:34,2023-06-23,145.0,3.82,3.3,3.55,3.425,1.0,80,0.23389437988281248,148.17999267578125,calls,0.02457821689847643
PG230623C00146000,PG,2023-06-20 19:27:18,2023-06-23,146.0,2.71,2.48,2.6,2.54,40.0,0,0.19702951416015624,148.17999267578125,calls,0.02457821689847643
PG230623C00147000,PG,2023-06-20 15:45:53,2023-06-23,147.0,2.44,1.65,1.86,1.755,15.0,365,0.1909260595703125,148.17999267578125,calls,0.02457821689847643
PG230623C00148000,PG,2023-06-20 19:42:27,2023-06-23,148.0,0.99,0.95,1.02,0.985,19.0,556,0.14991084472656252,148.17999267578125,calls,0.02457821689847643
PG230623C00149000,PG,2023-06-20 19:44:16,2023-06-23,149.0,0.53,0.47,0.57,0.52,127.0,592,0.14869015380859374,148.17999267578125,calls,0.02457821689847643
PG230623C00150000,PG,2023-06-20 19:49:28,2023-06-23,150.0,0.22,0.2,0.23,0.21500000000000002,917.0,550,0.13575083007812502,148.17999267578125,calls,0.02457821689847643
PG230623C00152500,PG,2023-06-20 19:42:30,2023-06-23,152.5,0.04,0.03,0.06,0.045,1856.0,492,0.16993017578125003,148.17999267578125,calls,0.02457821689847643
PG230623C00155000,PG,2023-06-20 19:19:24,2023-06-23,155.0,0.01,0.01,0.03,0.02,98.0,824,0.21680470703125,148.17999267578125,calls,0.02457821689847643
PG230623P00139000,PG,2023-06-20 15:12:50,2023-06-23,139.0,0.02,0.02,0.03,0.025,13.0,94,0.2929758203124999,148.17999267578125,puts,0.02457821689847643
PG230623P00140000,PG,2023-06-20 15:14:04,2023-06-23,140.0,0.04,0.02,0.03,0.025,2.0,103,0.26563234375,148.17999267578125,puts,0.02457821689847643
PG230623P00142000,PG,2023-06-20 17:39:27,2023-06-23,142.0,0.04,0.03,0.04,0.035,2.0,254,0.21875781249999998,148.17999267578125,puts,0.02457821689847643
PG230623P00143000,PG,2023-06-20 15:15:01,2023-06-23,143.0,0.05,0.05,0.06,0.055,4.0,209,0.20313296874999998,148.17999267578125,puts,0.02457821689847643
PG230623P00144000,PG,2023-06-20 17:53:06,2023-06-23,144.0,0.07,0.06,0.08,0.07,17.0,235,0.18164880859375,148.17999267578125,puts,0.02457821689847643
PG230623P00145000,PG,2023-06-20 19:32:54,2023-06-23,145.0,0.1,0.1,0.11,0.10500000000000001,94.0,250,0.159188095703125,148.17999267578125,puts,0.02457821689847643
