contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
INTC230623C00019000,INTC,2023-06-20 19:53:52,2023-06-23,19.0,15.95,13.85,13.95,13.899999999999999,1.0,13,0.500005,32.900001525878906,calls,0.0395136759789336
INTC230623C00020000,INTC,2023-06-20 14:41:42,2023-06-23,20.0,15.05,12.75,13.0,12.875,50.0,55,3.0468773828125,32.900001525878906,calls,0.0395136759789336
INTC230623C00021000,INTC,2023-06-20 13:39:43,2023-06-23,21.0,12.8,11.8,11.95,11.875,1.0,7,2.4843787890625,32.900001525878906,calls,0.0395136759789336
INTC230623C00022000,INTC,2023-06-14 15:20:34,2023-06-23,22.0,12.45,10.8,11.05,10.925,1.0,2,2.031254921875,32.900001525878906,calls,0.0395136759789336
INTC230623C00023000,INTC,2023-06-20 15:06:03,2023-06-23,23.0,12.15,9.85,9.95,9.899999999999999,6.0,213,0.500005,32.900001525878906,calls,0.0395136759789336
INTC230623C00024000,INTC,2023-06-15 14:16:55,2023-06-23,24.0,11.8,8.8,8.95,8.875,1.0,10,1.8281258593749998,32.900001525878906,calls,0.0395136759789336
INTC230623C00025000,INTC,2023-06-20 13:59:49,2023-06-23,25.0,10.75,7.8,7.95,7.875,5.0,91,1.6171894140625,32.900001525878906,calls,0.0395136759789336
INTC230623C00025500,INTC,2023-06-14 18:00:00,2023-06-23,25.5,9.2,7.2,7.5,7.35,3.0,4,1.734376328125,32.900001525878906,calls,0.0395136759789336
INTC230623C00026000,INTC,2023-06-21 17:00:54,2023-06-23,26.0,7.07,6.8,7.0,6.9,6.0,29,0.500005,32.900001525878906,calls,0.0395136759789336
INTC230623C00027000,INTC,2023-06-21 13:40:24,2023-06-23,27.0,7.75,5.85,5.95,5.9,4.0,252,0.500005,32.900001525878906,calls,0.0395136759789336
INTC230623C00027500,INTC,2023-06-16 17:40:48,2023-06-23,27.5,6.92,5.3,5.45,5.375,1.0,19,1.1328168359375002,32.900001525878906,calls,0.0395136759789336
INTC230623C00028000,INTC,2023-06-21 15:41:32,2023-06-23,28.0,6.25,4.85,4.95,4.9,18.0,303,0.500005,32.900001525878906,calls,0.0395136759789336
INTC230623C00028500,INTC,2023-06-20 17:15:45,2023-06-23,28.5,6.6,4.35,4.5,4.425,7.0,33,0.8281267187499999,32.900001525878906,calls,0.0395136759789336
INTC230623C00029000,INTC,2023-06-21 18:46:40,2023-06-23,29.0,4.52,3.85,3.95,3.9000000000000004,56.0,660,0.8476577734374999,32.900001525878906,calls,0.0395136759789336
INTC230623C00029500,INTC,2023-06-21 15:28:36,2023-06-23,29.5,3.55,3.4,3.5,3.45,4.0,362,0.7539087109375,32.900001525878906,calls,0.0395136759789336
INTC230623C00030000,INTC,2023-06-21 19:21:24,2023-06-23,30.0,3.15,2.81,2.97,2.89,276.0,2017,0.710940390625,32.900001525878906,calls,0.0395136759789336
INTC230623C00030500,INTC,2023-06-21 19:48:26,2023-06-23,30.5,2.64,2.39,2.46,2.425,81.0,396,0.5898478515625001,32.900001525878906,calls,0.0395136759789336
INTC230623C00031000,INTC,2023-06-21 19:57:20,2023-06-23,31.0,1.89,1.9,1.96,1.93,230.0,2343,0.49219257812500006,32.900001525878906,calls,0.0395136759789336
INTC230623C00031500,INTC,2023-06-21 19:41:38,2023-06-23,31.5,1.71,1.43,1.5,1.4649999999999999,255.0,3760,0.45508357421875,32.900001525878906,calls,0.0395136759789336
INTC230623C00032000,INTC,2023-06-21 19:57:39,2023-06-23,32.0,1.0,1.0,1.04,1.02,986.0,4097,0.38867798828125,32.900001525878906,calls,0.0395136759789336
INTC230623C00032500,INTC,2023-06-21 19:58:16,2023-06-23,32.5,0.68,0.64,0.67,0.655,317.0,2328,0.37305314453125,32.900001525878906,calls,0.0395136759789336
INTC230623C00033000,INTC,2023-06-21 19:59:56,2023-06-23,33.0,0.4,0.38,0.39,0.385,7252.0,10169,0.367193828125,32.900001525878906,calls,0.0395136759789336
INTC230623C00033500,INTC,2023-06-21 19:59:52,2023-06-23,33.5,0.22,0.21,0.22,0.215,8590.0,3720,0.38281867187499996,32.900001525878906,calls,0.0395136759789336
INTC230623C00034000,INTC,2023-06-21 19:59:06,2023-06-23,34.0,0.12,0.12,0.13,0.125,19078.0,6216,0.41211525390625,32.900001525878906,calls,0.0395136759789336
INTC230623C00034500,INTC,2023-06-21 19:59:47,2023-06-23,34.5,0.07,0.06,0.08,0.07,11782.0,2241,0.445318046875,32.900001525878906,calls,0.0395136759789336
INTC230623C00035000,INTC,2023-06-21 19:58:24,2023-06-23,35.0,0.05,0.04,0.05,0.045,20893.0,13679,0.476567734375,32.900001525878906,calls,0.0395136759789336
INTC230623C00035500,INTC,2023-06-21 19:58:40,2023-06-23,35.5,0.03,0.03,0.04,0.035,6487.0,4528,0.51562984375,32.900001525878906,calls,0.0395136759789336
INTC230623C00036000,INTC,2023-06-21 19:58:12,2023-06-23,36.0,0.02,0.02,0.03,0.025,14486.0,5474,0.5546919531250001,32.900001525878906,calls,0.0395136759789336
INTC230623C00036500,INTC,2023-06-21 19:57:53,2023-06-23,36.5,0.02,0.01,0.02,0.015,4507.0,5296,0.570316796875,32.900001525878906,calls,0.0395136759789336
INTC230623C00037000,INTC,2023-06-21 19:14:19,2023-06-23,37.0,0.02,0.01,0.02,0.015,3502.0,9438,0.632816171875,32.900001525878906,calls,0.0395136759789336
INTC230623C00037500,INTC,2023-06-21 19:59:57,2023-06-23,37.5,0.01,0.01,0.02,0.015,2544.0,5926,0.6875031250000001,32.900001525878906,calls,0.0395136759789336
INTC230623C00038000,INTC,2023-06-21 19:52:10,2023-06-23,38.0,0.02,0.01,0.02,0.015,4420.0,4872,0.7500025,32.900001525878906,calls,0.0395136759789336
INTC230623P00029500,INTC,2023-06-21 19:58:20,2023-06-23,29.5,0.02,0.01,0.02,0.015,27.0,1449,0.6093789062500001,32.900001525878906,puts,0.0395136759789336
INTC230623P00030000,INTC,2023-06-21 19:59:39,2023-06-23,30.0,0.01,0.01,0.02,0.015,612.0,1481,0.523442265625,32.900001525878906,puts,0.0395136759789336
INTC230623P00030500,INTC,2023-06-21 19:57:41,2023-06-23,30.5,0.01,0.01,0.02,0.015,308.0,1652,0.4687553125,32.900001525878906,puts,0.0395136759789336
INTC230623P00031000,INTC,2023-06-21 19:58:50,2023-06-23,31.0,0.03,0.02,0.03,0.025,291.0,1917,0.41797457031249996,32.900001525878906,puts,0.0395136759789336
INTC230623P00031500,INTC,2023-06-21 19:56:01,2023-06-23,31.5,0.05,0.05,0.06,0.055,311.0,1518,0.39063109375,32.900001525878906,puts,0.0395136759789336
INTC230623P00032000,INTC,2023-06-21 19:57:32,2023-06-23,32.0,0.13,0.11,0.12,0.11499999999999999,1559.0,2091,0.3632876171875,32.900001525878906,puts,0.0395136759789336
INTC230623P00032500,INTC,2023-06-21 19:59:28,2023-06-23,32.5,0.24,0.24,0.25,0.245,5481.0,1652,0.35547519531249994,32.900001525878906,puts,0.0395136759789336
INTC230623P00033000,INTC,2023-06-21 19:59:53,2023-06-23,33.0,0.47,0.48,0.49,0.485,18915.0,3313,0.367193828125,32.900001525878906,puts,0.0395136759789336
INTC230623P00033500,INTC,2023-06-21 19:59:23,2023-06-23,33.5,0.82,0.8,0.82,0.81,13877.0,4068,0.38281867187499996,32.900001525878906,puts,0.0395136759789336
INTC230623P00034000,INTC,2023-06-21 19:59:37,2023-06-23,34.0,1.21,1.19,1.2,1.1949999999999998,9203.0,6279,0.37500625,32.900001525878906,puts,0.0395136759789336
INTC230623P00034500,INTC,2023-06-21 19:59:27,2023-06-23,34.5,1.68,1.65,1.68,1.665,5814.0,6199,0.445318046875,32.900001525878906,puts,0.0395136759789336
INTC230623P00035000,INTC,2023-06-21 19:58:11,2023-06-23,35.0,2.15,2.11,2.16,2.135,7794.0,8937,0.500005,32.900001525878906,puts,0.0395136759789336
INTC230623P00035500,INTC,2023-06-21 19:53:18,2023-06-23,35.5,2.47,2.59,2.64,2.615,332.0,2954,0.5312546875,32.900001525878906,puts,0.0395136759789336
INTC230623P00036000,INTC,2023-06-21 19:59:22,2023-06-23,36.0,3.15,3.05,3.15,3.0999999999999996,762.0,3233,0.632816171875,32.900001525878906,puts,0.0395136759789336
INTC230623P00036500,INTC,2023-06-21 18:27:20,2023-06-23,36.5,2.97,3.55,3.7,3.625,74.0,1888,0.6250037500000001,32.900001525878906,puts,0.0395136759789336
INTC230623P00037000,INTC,2023-06-21 19:42:19,2023-06-23,37.0,3.89,4.05,4.15,4.1,72.0,772,0.7812521875,32.900001525878906,puts,0.0395136759789336
INTC230623P00037500,INTC,2023-06-21 17:56:28,2023-06-23,37.5,4.1,4.55,4.7,4.625,10.0,489,0.7500025,32.900001525878906,puts,0.0395136759789336
INTC230623P00038000,INTC,2023-06-21 15:23:21,2023-06-23,38.0,3.84,5.05,5.2,5.125,29.0,164,0.8125018749999999,32.900001525878906,puts,0.0395136759789336
INTC230623P00038500,INTC,2023-06-21 15:38:25,2023-06-23,38.5,4.3,5.55,5.65,5.6,1.0,44,0.500005,32.900001525878906,puts,0.0395136759789336
INTC230623P00039000,INTC,2023-06-21 18:12:49,2023-06-23,39.0,5.6,6.05,6.15,6.1,62.0,94,0.500005,32.900001525878906,puts,0.0395136759789336
INTC230623P00039500,INTC,2023-06-20 14:02:05,2023-06-23,39.5,4.05,6.55,6.65,6.6,20.0,47,0.500005,32.900001525878906,puts,0.0395136759789336
INTC230623P00040000,INTC,2023-06-21 18:31:22,2023-06-23,40.0,6.5,7.1,7.2,7.15,461.0,215,1.171879140625,32.900001525878906,puts,0.0395136759789336
INTC230623P00040500,INTC,2023-06-20 14:15:10,2023-06-23,40.5,5.05,7.55,7.7,7.625,18.0,23,1.109379453125,32.900001525878906,puts,0.0395136759789336
INTC230623P00041000,INTC,2023-06-21 16:00:20,2023-06-23,41.0,7.4,8.0,8.2,8.1,1.0,10,0.500005,32.900001525878906,puts,0.0395136759789336
INTC230623P00041500,INTC,2023-06-14 14:25:47,2023-06-23,41.5,7.2,8.45,8.7,8.575,0.0,1,1.5312523437499999,32.900001525878906,puts,0.0395136759789336
INTC230623P00042000,INTC,2023-06-16 19:55:02,2023-06-23,42.0,5.55,9.05,9.3,9.175,1.0,1,1.5078149609375,32.900001525878906,puts,0.0395136759789336
INTC230623P00044000,INTC,2023-06-16 18:49:47,2023-06-23,44.0,7.55,11.05,11.25,11.15,1.0,1,1.625001875,32.900001525878906,puts,0.0395136759789336
INTC230623P00054000,INTC,2023-06-21 15:21:20,2023-06-23,54.0,19.74,21.05,21.15,21.1,2.0,0,1.000005,32.900001525878906,puts,0.0395136759789336
INTC230630C00019000,INTC,2023-06-13 13:38:31,2023-06-30,19.0,14.5,13.75,14.0,13.875,3.0,5,1.8203133984375,32.900001525878906,calls,0.0395136759789336
INTC230630C00020000,INTC,2023-06-20 13:39:49,2023-06-30,20.0,16.65,12.8,13.0,12.9,2.0,2,0.500005,32.900001525878906,calls,0.0395136759789336
INTC230630C00022000,INTC,2023-06-21 18:57:07,2023-06-30,22.0,11.5,10.9,11.0,10.95,1.0,2,1.2343788281249999,32.900001525878906,calls,0.0395136759789336
