contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
VZ230623C00025000,VZ,2023-06-20 17:19:04,2023-06-23,25.0,11.1,10.8,10.9,10.850000000000001,46.0,46,1.75000125,35.83000183105469,calls,0.07217415204703266
VZ230623C00026000,VZ,2023-06-14 18:26:17,2023-06-23,26.0,9.7,9.8,9.9,9.850000000000001,0.0,5,1.5937520312499998,35.83000183105469,calls,0.07217415204703266
VZ230623C00027000,VZ,2023-06-16 17:17:23,2023-06-23,27.0,9.31,8.8,8.9,8.850000000000001,1.0,43,1.421877890625,35.83000183105469,calls,0.07217415204703266
VZ230623C00028000,VZ,2023-06-08 14:03:45,2023-06-23,28.0,7.2,7.8,7.9,7.85,10.0,11,1.2656286718749998,35.83000183105469,calls,0.07217415204703266
VZ230623C00030000,VZ,2023-06-15 17:59:00,2023-06-23,30.0,6.34,5.8,5.9,5.85,1.0,10,0.9531254687499999,35.83000183105469,calls,0.07217415204703266
VZ230623C00031000,VZ,2023-06-12 19:29:59,2023-06-23,31.0,4.65,4.8,4.9,4.85,1.0,3,0.79687703125,35.83000183105469,calls,0.07217415204703266
VZ230623C00032000,VZ,2023-06-14 15:49:31,2023-06-23,32.0,4.0,3.8,3.9,3.8499999999999996,1.0,17,0.64062859375,35.83000183105469,calls,0.07217415204703266
VZ230623C00032500,VZ,2023-06-20 13:49:11,2023-06-23,32.5,3.6,3.35,3.4,3.375,3.0,1,0.6640658593750002,35.83000183105469,calls,0.07217415204703266
VZ230623C00033000,VZ,2023-06-21 17:12:01,2023-06-23,33.0,2.95,2.82,2.92,2.87,2.0,28,0.5625043750000001,35.83000183105469,calls,0.07217415204703266
VZ230623C00033500,VZ,2023-06-21 19:47:41,2023-06-23,33.5,2.38,2.34,2.42,2.38,41.0,190,0.5039112109375,35.83000183105469,calls,0.07217415204703266
VZ230623C00034000,VZ,2023-06-21 19:32:15,2023-06-23,34.0,1.84,1.85,1.92,1.885,29.0,256,0.48828636718750007,35.83000183105469,calls,0.07217415204703266
VZ230623C00034500,VZ,2023-06-21 19:55:38,2023-06-23,34.5,1.38,1.33,1.41,1.37,126.0,536,0.37500625,35.83000183105469,calls,0.07217415204703266
VZ230623C00035000,VZ,2023-06-21 19:31:04,2023-06-23,35.0,0.88,0.87,0.91,0.89,210.0,426,0.27149166015625,35.83000183105469,calls,0.07217415204703266
VZ230623C00035500,VZ,2023-06-21 19:52:01,2023-06-23,35.5,0.46,0.41,0.46,0.435,616.0,615,0.20313296874999998,35.83000183105469,calls,0.07217415204703266
VZ230623C00036000,VZ,2023-06-21 19:51:15,2023-06-23,36.0,0.14,0.13,0.14,0.135,2891.0,3434,0.165047412109375,35.83000183105469,calls,0.07217415204703266
VZ230623C00036500,VZ,2023-06-21 19:54:41,2023-06-23,36.5,0.03,0.02,0.03,0.025,917.0,3160,0.16797707031250003,35.83000183105469,calls,0.07217415204703266
VZ230623C00037000,VZ,2023-06-21 19:50:51,2023-06-23,37.0,0.01,0.01,0.02,0.015,630.0,3440,0.2304764453125,35.83000183105469,calls,0.07217415204703266
VZ230623P00034500,VZ,2023-06-21 19:57:00,2023-06-23,34.5,0.01,0.01,0.02,0.015,236.0,1052,0.2617261328125,35.83000183105469,puts,0.07217415204703266
VZ230623P00035000,VZ,2023-06-21 18:51:53,2023-06-23,35.0,0.02,0.02,0.03,0.025,166.0,1387,0.1992267578125,35.83000183105469,puts,0.07217415204703266
VZ230623P00035500,VZ,2023-06-21 19:58:35,2023-06-23,35.5,0.07,0.07,0.08,0.07500000000000001,1124.0,1022,0.15821154296875,35.83000183105469,puts,0.07217415204703266
