contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ADBE230623C00300000,ADBE,2023-06-20 13:57:06,2023-06-23,300.0,189.25,181.95,188.8,185.375,1.0,2.0,4.466801291503906,484.7200012207031,calls,0.0
ADBE230623C00315000,ADBE,2023-06-16 19:02:43,2023-06-23,315.0,183.13,169.1,173.85,171.475,10.0,5.0,4.819339913330078,484.7200012207031,calls,0.0
ADBE230623C00320000,ADBE,2023-06-20 14:10:40,2023-06-23,320.0,167.64,162.2,168.6,165.39999999999998,1.0,1.0,3.957031357421875,484.7200012207031,calls,0.0
ADBE230623C00325000,ADBE,2023-05-31 14:06:18,2023-06-23,325.0,92.7,158.0,165.05,161.525,1.0,2.0,4.546879316406249,484.7200012207031,calls,0.0
ADBE230623C00330000,ADBE,2023-06-23 18:33:51,2023-06-23,330.0,152.15,154.15,158.6,156.375,3.0,12.0,4.325199906005858,484.7200012207031,calls,0.0
ADBE230623C00335000,ADBE,2023-05-30 13:36:23,2023-06-23,335.0,95.69,147.55,153.1,150.325,5.0,30.0,3.5058606103515624,484.7200012207031,calls,0.0
ADBE230623C00340000,ADBE,2023-06-23 18:32:31,2023-06-23,340.0,141.25,142.9,149.2,146.05,1.0,18.0,3.8740237524414063,484.7200012207031,calls,0.0
ADBE230623C00342500,ADBE,2023-06-22 15:30:30,2023-06-23,342.5,132.4,139.5,146.2,142.85,4.0,4.0,3.3437516406249994,484.7200012207031,calls,0.0
ADBE230623C00345000,ADBE,2023-06-21 14:37:47,2023-06-23,345.0,138.2,137.15,143.55,140.35000000000002,10.0,217.0,3.2832049169921875,484.7200012207031,calls,0.0
ADBE230623C00347500,ADBE,2023-06-22 16:58:02,2023-06-23,347.5,127.57,136.45,140.4,138.425,6.0,3.0,3.604493176269531,484.7200012207031,calls,0.0
ADBE230623C00350000,ADBE,2023-06-23 19:22:32,2023-06-23,350.0,135.55,133.05,138.8,135.925,3.0,104.0,3.5380870922851564,484.7200012207031,calls,0.0
ADBE230623C00355000,ADBE,2023-06-23 18:31:10,2023-06-23,355.0,127.16,127.25,133.6,130.425,2.0,34.0,3.0996116259765625,484.7200012207031,calls,0.0
ADBE230623C00360000,ADBE,2023-06-23 19:34:22,2023-06-23,360.0,124.2,122.05,128.75,125.4,10.0,140.0,2.961916657714843,484.7200012207031,calls,0.0
ADBE230623C00365000,ADBE,2023-06-23 17:07:44,2023-06-23,365.0,115.78,116.9,123.55,120.225,5.0,31.0,2.7089876025390627,484.7200012207031,calls,0.0
ADBE230623C00370000,ADBE,2023-06-23 15:53:18,2023-06-23,370.0,110.14,112.65,117.95,115.30000000000001,2.0,102.0,2.6552767993164066,484.7200012207031,calls,0.0
ADBE230623C00375000,ADBE,2023-06-23 16:07:50,2023-06-23,375.0,104.81,107.35,112.9,110.125,6.0,68.0,2.400394624023437,484.7200012207031,calls,0.0
ADBE230623C00380000,ADBE,2023-06-23 15:07:07,2023-06-23,380.0,100.55,102.35,107.9,105.125,1.0,93.0,2.2929730175781247,484.7200012207031,calls,0.0
ADBE230623C00382500,ADBE,2023-06-22 13:30:04,2023-06-23,382.5,91.41,100.1,105.7,102.9,9.0,9.0,2.4384804663085937,484.7200012207031,calls,0.0
ADBE230623C00385000,ADBE,2023-06-23 16:04:07,2023-06-23,385.0,94.4,97.5,102.85,100.175,7.0,63.0,2.2265669335937495,484.7200012207031,calls,0.0
ADBE230623C00390000,ADBE,2023-06-23 19:40:35,2023-06-23,390.0,93.68,92.55,98.4,95.475,8.0,50.0,2.311527658691406,484.7200012207031,calls,0.0
ADBE230623C00395000,ADBE,2023-06-23 19:40:35,2023-06-23,395.0,88.7,87.65,93.55,90.6,1.0,441.0,2.2607465356445307,484.7200012207031,calls,0.0
ADBE230623C00400000,ADBE,2023-06-23 19:38:17,2023-06-23,400.0,83.75,82.15,88.75,85.45,11.0,155.0,2.0712938842773436,484.7200012207031,calls,0.0
ADBE230623C00405000,ADBE,2023-06-23 13:50:40,2023-06-23,405.0,68.75,76.9,83.2,80.05000000000001,3.0,64.0,1.7109389453125,484.7200012207031,calls,0.0
ADBE230623C00410000,ADBE,2023-06-21 15:21:09,2023-06-23,410.0,71.0,71.9,79.05,75.475,6.0,53.0,1.859375703125,484.7200012207031,calls,0.0
ADBE230623C00412500,ADBE,2023-06-23 19:54:46,2023-06-23,412.5,72.65,70.0,75.75,72.875,1.0,2.0,1.755860595703125,484.7200012207031,calls,0.0
