contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CSCO230623C00039000,CSCO,2023-06-09 15:25:30,2023-06-23,39.0,10.65,11.25,11.4,11.325,0.0,1,2.593753515625,50.33000183105469,calls,0.03020067444269647
CSCO230623C00040000,CSCO,2023-05-26 19:38:31,2023-06-23,40.0,10.1,10.2,10.35,10.274999999999999,1.0,0,1.96875015625,50.33000183105469,calls,0.03020067444269647
CSCO230623C00041000,CSCO,2023-06-05 18:36:54,2023-06-23,41.0,9.47,9.3,9.4,9.350000000000001,20.0,15,1.78125109375,50.33000183105469,calls,0.03020067444269647
CSCO230623C00042000,CSCO,2023-06-06 17:22:11,2023-06-23,42.0,7.65,8.25,8.4,8.325,2.0,8,1.9375003125,50.33000183105469,calls,0.03020067444269647
CSCO230623C00043000,CSCO,2023-06-05 18:26:42,2023-06-23,43.0,7.5,7.25,7.4,7.325,2.0,7,1.7265638671875,50.33000183105469,calls,0.03020067444269647
CSCO230623C00044500,CSCO,2023-06-20 15:33:45,2023-06-23,44.5,7.01,5.75,5.85,5.8,1.0,3,1.140629296875,50.33000183105469,calls,0.03020067444269647
CSCO230623C00045000,CSCO,2023-06-23 19:56:45,2023-06-23,45.0,5.3,5.25,5.4,5.325,12.0,147,1.3125034374999998,50.33000183105469,calls,0.03020067444269647
CSCO230623C00045500,CSCO,2023-06-23 16:10:52,2023-06-23,45.5,4.82,4.75,4.85,4.8,3.0,7,0.9531254687499999,50.33000183105469,calls,0.03020067444269647
CSCO230623C00046000,CSCO,2023-06-23 13:31:32,2023-06-23,46.0,4.55,4.25,4.35,4.3,1.0,144,0.87500125,50.33000183105469,calls,0.03020067444269647
CSCO230623C00047000,CSCO,2023-06-23 19:51:43,2023-06-23,47.0,3.34,3.2,3.4,3.3,8.0,87,0.8867198828124999,50.33000183105469,calls,0.03020067444269647
CSCO230623C00047500,CSCO,2023-06-22 16:02:06,2023-06-23,47.5,3.37,2.77,2.85,2.81,2.0,6,0.6015664843750002,50.33000183105469,calls,0.03020067444269647
CSCO230623C00048000,CSCO,2023-06-23 19:48:17,2023-06-23,48.0,2.35,2.25,2.34,2.295,28.0,260,0.45313046875,50.33000183105469,calls,0.03020067444269647
CSCO230623C00048500,CSCO,2023-06-23 19:26:39,2023-06-23,48.5,1.73,1.77,1.84,1.8050000000000002,53.0,98,0.367193828125,50.33000183105469,calls,0.03020067444269647
CSCO230623C00049000,CSCO,2023-06-23 19:53:59,2023-06-23,49.0,1.35,1.27,1.38,1.325,73.0,396,0.4023497265625,50.33000183105469,calls,0.03020067444269647
CSCO230623C00049500,CSCO,2023-06-23 19:43:58,2023-06-23,49.5,0.82,0.77,0.84,0.8049999999999999,28.0,282,0.187508125,50.33000183105469,calls,0.03020067444269647
CSCO230623C00050000,CSCO,2023-06-23 19:57:27,2023-06-23,50.0,0.28,0.27,0.33,0.30000000000000004,359.0,869,0.0312596875,50.33000183105469,calls,0.03020067444269647
