contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MS230623C00072000,MS,2023-06-15 13:46:48,2023-06-23,72.0,15.75,11.45,11.65,11.55,8.0,9,1.5078149609375,83.58000183105469,calls,0.03589375370036581
MS230623C00073000,MS,2023-05-26 16:53:49,2023-06-23,73.0,11.9,10.55,10.7,10.625,1.0,1,1.2968785156249998,83.58000183105469,calls,0.03589375370036581
MS230623C00075000,MS,2023-06-13 16:15:31,2023-06-23,75.0,13.55,8.55,8.7,8.625,2.0,15,1.0703171484375003,83.58000183105469,calls,0.03589375370036581
MS230623C00076000,MS,2023-06-22 19:55:43,2023-06-23,76.0,8.6,7.55,7.7,7.625,1.0,1,0.9609378906249999,83.58000183105469,calls,0.03589375370036581
MS230623C00078000,MS,2023-06-02 18:12:57,2023-06-23,78.0,6.9,5.5,5.7,5.6,1.0,1,0.64062859375,83.58000183105469,calls,0.03589375370036581
MS230623C00079000,MS,2023-05-26 18:59:12,2023-06-23,79.0,6.35,4.5,4.65,4.575,2.0,1,0.6796907031250001,83.58000183105469,calls,0.03589375370036581
MS230623C00080000,MS,2023-06-23 16:16:04,2023-06-23,80.0,3.5,3.5,3.65,3.575,6.0,33,0.5585981640625001,83.58000183105469,calls,0.03589375370036581
MS230623C00081000,MS,2023-06-23 19:12:18,2023-06-23,81.0,2.6,2.51,2.71,2.61,25.0,74,0.5097705273437501,83.58000183105469,calls,0.03589375370036581
MS230623C00082000,MS,2023-06-23 19:05:20,2023-06-23,82.0,1.5,1.53,1.81,1.67,12.0,211,0.44922425781249997,83.58000183105469,calls,0.03589375370036581
MS230623C00083000,MS,2023-06-23 19:52:44,2023-06-23,83.0,0.86,0.55,0.78,0.665,329.0,131,0.2461012890625,83.58000183105469,calls,0.03589375370036581
MS230623P00084000,MS,2023-06-23 19:51:02,2023-06-23,84.0,0.3,0.37,0.49,0.43,378.0,1334,0.12500875,83.58000183105469,puts,0.03589375370036581
MS230623P00085000,MS,2023-06-23 19:52:17,2023-06-23,85.0,1.3,1.34,1.47,1.405,684.0,1548,0.24805439453125,83.58000183105469,puts,0.03589375370036581
MS230623P00086000,MS,2023-06-23 19:52:43,2023-06-23,86.0,2.2,2.33,2.51,2.42,41.0,416,0.42578699218750005,83.58000183105469,puts,0.03589375370036581
MS230623P00087000,MS,2023-06-23 19:43:39,2023-06-23,87.0,3.31,3.3,3.45,3.375,59.0,1487,0.4335994140625,83.58000183105469,puts,0.03589375370036581
MS230623P00088000,MS,2023-06-23 19:49:58,2023-06-23,88.0,4.24,4.35,4.45,4.4,59.0,1527,0.5312546875,83.58000183105469,puts,0.03589375370036581
MS230623P00089000,MS,2023-06-23 19:52:39,2023-06-23,89.0,5.1,5.35,5.5,5.425,17.0,137,0.7539087109375,83.58000183105469,puts,0.03589375370036581
MS230623P00090000,MS,2023-06-22 13:59:34,2023-06-23,90.0,4.92,6.35,6.5,6.425,1.0,37,0.5625043750000001,83.58000183105469,puts,0.03589375370036581
MS230623P00091000,MS,2023-06-21 13:35:14,2023-06-23,91.0,4.53,7.2,7.5,7.35,2.0,1,0.9570316796874999,83.58000183105469,puts,0.03589375370036581
MS230623P00092000,MS,2023-06-16 13:53:54,2023-06-23,92.0,3.25,8.35,8.5,8.425,10.0,0,0.7187528125,83.58000183105469,puts,0.03589375370036581
MS230623P00094000,MS,2023-06-14 15:42:50,2023-06-23,94.0,5.2,10.15,10.45,10.3,0.0,0,1.0625046875000002,83.58000183105469,puts,0.03589375370036581
