contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
SCHW230623C00035000,SCHW,2023-05-30 13:41:26,2023-06-23,35.0,18.65,17.95,18.5,18.225,0.0,1,3.7968755078125005,53.16999816894531,calls,0.016801455032870345
SCHW230623C00037000,SCHW,2023-06-08 19:49:38,2023-06-23,37.0,18.3,16.1,16.3,16.200000000000003,1.0,0,3.06250234375,53.16999816894531,calls,0.016801455032870345
SCHW230623C00039000,SCHW,2023-06-16 18:27:51,2023-06-23,39.0,15.69,14.15,14.25,14.2,10.0,10,2.68750328125,53.16999816894531,calls,0.016801455032870345
SCHW230623C00040000,SCHW,2023-06-23 19:59:53,2023-06-23,40.0,13.15,13.2,13.3,13.25,2.0,0,2.8906277734375,53.16999816894531,calls,0.016801455032870345
SCHW230623C00044000,SCHW,2023-05-18 18:14:39,2023-06-23,44.0,7.83,10.15,10.7,10.425,2.0,2,4.3613326733398425,53.16999816894531,calls,0.016801455032870345
SCHW230623C00045000,SCHW,2023-06-15 19:28:08,2023-06-23,45.0,10.35,8.1,8.5,8.3,2.0,3,2.031254921875,53.16999816894531,calls,0.016801455032870345
SCHW230623C00046000,SCHW,2023-06-23 19:30:22,2023-06-23,46.0,6.95,6.95,7.35,7.15,2.0,3,1.95703146484375,53.16999816894531,calls,0.016801455032870345
SCHW230623C00047000,SCHW,2023-06-22 15:35:10,2023-06-23,47.0,6.01,5.9,6.45,6.175000000000001,3.0,65,0.937500625,53.16999816894531,calls,0.016801455032870345
SCHW230623C00048000,SCHW,2023-06-23 14:03:07,2023-06-23,48.0,4.97,5.15,5.25,5.2,1.0,31,1.0312548437500002,53.16999816894531,calls,0.016801455032870345
SCHW230623C00049000,SCHW,2023-06-23 18:41:30,2023-06-23,49.0,3.85,4.05,4.25,4.15,1.0,87,1.0351610742187503,53.16999816894531,calls,0.016801455032870345
SCHW230623C00049500,SCHW,2023-06-23 18:44:34,2023-06-23,49.5,3.3,3.65,3.8,3.7249999999999996,1.0,102,0.85937640625,53.16999816894531,calls,0.016801455032870345
SCHW230623C00050000,SCHW,2023-06-23 19:49:11,2023-06-23,50.0,3.2,3.15,3.3,3.2249999999999996,24.0,343,0.7617211328125001,53.16999816894531,calls,0.016801455032870345
SCHW230623C00050500,SCHW,2023-06-23 19:48:35,2023-06-23,50.5,2.66,2.66,2.82,2.74,2.0,302,0.70312796875,53.16999816894531,calls,0.016801455032870345
SCHW230623C00051000,SCHW,2023-06-23 19:49:30,2023-06-23,51.0,2.2,2.21,2.35,2.2800000000000002,103.0,325,0.6796907031250001,53.16999816894531,calls,0.016801455032870345
SCHW230623C00051500,SCHW,2023-06-23 19:29:12,2023-06-23,51.5,1.43,1.7,1.85,1.775,7.0,3,0.5546919531250001,53.16999816894531,calls,0.016801455032870345
SCHW230623C00052000,SCHW,2023-06-23 19:36:40,2023-06-23,52.0,1.04,1.19,1.31,1.25,61.0,410,0.48438015625,53.16999816894531,calls,0.016801455032870345
SCHW230623C00052500,SCHW,2023-06-23 19:59:04,2023-06-23,52.5,0.77,0.55,0.76,0.655,101.0,260,0.2890696093749999,53.16999816894531,calls,0.016801455032870345
SCHW230623C00053000,SCHW,2023-06-23 19:57:16,2023-06-23,53.0,0.28,0.21,0.3,0.255,639.0,735,0.18360191406249998,53.16999816894531,calls,0.016801455032870345
SCHW230623C00053500,SCHW,2023-06-23 19:56:09,2023-06-23,53.5,0.02,0.01,0.02,0.015,627.0,528,0.1054776953125,53.16999816894531,calls,0.016801455032870345
SCHW230623P00053500,SCHW,2023-06-23 19:56:25,2023-06-23,53.5,0.19,0.23,0.3,0.265,1066.0,1601,1.0000000000000003e-05,53.16999816894531,puts,0.016801455032870345
SCHW230623P00054000,SCHW,2023-06-23 19:54:07,2023-06-23,54.0,0.75,0.74,0.88,0.81,444.0,1498,0.26563234375,53.16999816894531,puts,0.016801455032870345
SCHW230623P00054500,SCHW,2023-06-23 19:54:34,2023-06-23,54.5,1.25,1.18,1.3,1.24,116.0,1428,1.0000000000000003e-05,53.16999816894531,puts,0.016801455032870345
SCHW230623P00055000,SCHW,2023-06-23 19:56:07,2023-06-23,55.0,1.76,1.72,1.8,1.76,113.0,1251,1.0000000000000003e-05,53.16999816894531,puts,0.016801455032870345
SCHW230623P00056000,SCHW,2023-06-23 19:48:11,2023-06-23,56.0,2.84,2.71,2.89,2.8,99.0,479,0.6718782812500002,53.16999816894531,puts,0.016801455032870345
SCHW230623P00057000,SCHW,2023-06-21 19:59:17,2023-06-23,57.0,3.05,3.55,4.15,3.85,18.0,37,0.6875031250000001,53.16999816894531,puts,0.016801455032870345
SCHW230623P00058000,SCHW,2023-06-21 16:19:20,2023-06-23,58.0,4.44,4.7,4.85,4.775,14.0,1,0.8281267187499999,53.16999816894531,puts,0.016801455032870345
SCHW230623P00059000,SCHW,2023-06-22 18:22:09,2023-06-23,59.0,5.8,5.75,5.85,5.8,4.0,0,0.9687503125,53.16999816894531,puts,0.016801455032870345
SCHW230623P00060000,SCHW,2023-06-15 13:38:39,2023-06-23,60.0,5.1,6.75,6.85,6.8,24.0,0,1.09375453125,53.16999816894531,puts,0.016801455032870345
SCHW230623P00061000,SCHW,2023-06-14 14:48:20,2023-06-23,61.0,6.0,7.75,7.95,7.85,0.0,0,1.21875390625,53.16999816894531,puts,0.016801455032870345
SCHW230623P00063000,SCHW,2023-06-13 19:18:43,2023-06-23,63.0,8.25,9.7,9.85,9.774999999999999,0.0,0,1.453127734375,53.16999816894531,puts,0.016801455032870345
SCHW230623P00065000,SCHW,2023-05-25 14:06:24,2023-06-23,65.0,11.7,11.5,12.05,11.775,0.0,0,2.5312536718749996,53.16999816894531,puts,0.016801455032870345
SCHW230623P00066000,SCHW,2023-06-14 13:38:38,2023-06-23,66.0,11.6,12.7,12.95,12.825,0.0,0,2.3671915820312495,53.16999816894531,puts,0.016801455032870345
SCHW230630C00040000,SCHW,2023-05-26 13:47:55,2023-06-30,40.0,14.3,13.1,13.35,13.225,1.0,2,0.9609378906249999,53.16999816894531,calls,0.016801455032870345
SCHW230630C00042000,SCHW,2023-06-13 14:01:47,2023-06-30,42.0,12.64,11.05,11.5,11.275,1.0,1,0.914063359375,53.16999816894531,calls,0.016801455032870345
SCHW230630C00043000,SCHW,2023-06-07 18:06:02,2023-06-30,43.0,12.6,10.1,10.55,10.325,0.0,3,0.9062509375,53.16999816894531,calls,0.016801455032870345
SCHW230630C00045000,SCHW,2023-06-23 15:23:29,2023-06-30,45.0,7.91,8.25,8.35,8.3,20.0,49,0.7187528125,53.16999816894531,calls,0.016801455032870345
SCHW230630C00046000,SCHW,2023-05-26 18:48:17,2023-06-30,46.0,8.55,7.25,7.35,7.3,2.0,2,0.64062859375,53.16999816894531,calls,0.016801455032870345
SCHW230630C00047000,SCHW,2023-06-22 15:35:10,2023-06-30,47.0,6.13,6.25,6.4,6.325,3.0,6,0.5898478515625001,53.16999816894531,calls,0.016801455032870345
SCHW230630C00048000,SCHW,2023-06-22 19:45:00,2023-06-30,48.0,5.28,5.3,5.4,5.35,1.0,41,0.5312546875,53.16999816894531,calls,0.016801455032870345
SCHW230630C00049000,SCHW,2023-06-20 17:06:56,2023-06-30,49.0,5.1,4.25,4.45,4.35,3.0,177,0.5136767382812499,53.16999816894531,calls,0.016801455032870345
SCHW230630C00050000,SCHW,2023-06-23 17:52:33,2023-06-30,50.0,3.28,3.15,3.45,3.3,5.0,96,0.42383388671875,53.16999816894531,calls,0.016801455032870345
SCHW230630C00051000,SCHW,2023-06-23 19:36:56,2023-06-30,51.0,2.28,2.43,2.62,2.5250000000000004,8.0,35,0.405279384765625,53.16999816894531,calls,0.016801455032870345
SCHW230630C00051500,SCHW,2023-06-23 19:46:30,2023-06-30,51.5,1.95,2.01,2.09,2.05,8.0,31,0.3398503515625,53.16999816894531,calls,0.016801455032870345
SCHW230630C00052000,SCHW,2023-06-23 19:46:30,2023-06-30,52.0,1.59,1.58,1.7,1.6400000000000001,74.0,125,0.32520206054687495,53.16999816894531,calls,0.016801455032870345
SCHW230630C00052500,SCHW,2023-06-23 19:33:23,2023-06-30,52.5,1.16,1.23,1.28,1.255,35.0,271,0.29004616210937495,53.16999816894531,calls,0.016801455032870345
SCHW230630C00053000,SCHW,2023-06-23 19:59:04,2023-06-30,53.0,0.99,0.99,1.01,1.0,689.0,614,0.29395237304687494,53.16999816894531,calls,0.016801455032870345
SCHW230630C00053500,SCHW,2023-06-23 19:58:33,2023-06-30,53.5,0.76,0.72,0.75,0.735,557.0,954,0.2876047802734374,53.16999816894531,calls,0.016801455032870345
SCHW230630C00054000,SCHW,2023-06-23 19:56:42,2023-06-30,54.0,0.54,0.48,0.52,0.5,1407.0,1544,0.2758861474609374,53.16999816894531,calls,0.016801455032870345
SCHW230630C00054500,SCHW,2023-06-23 19:48:09,2023-06-30,54.5,0.33,0.34,0.4,0.37,878.0,663,0.2880930566406249,53.16999816894531,calls,0.016801455032870345
SCHW230630C00055000,SCHW,2023-06-23 19:59:46,2023-06-30,55.0,0.22,0.23,0.25,0.24,815.0,2891,0.274421318359375,53.16999816894531,calls,0.016801455032870345
SCHW230630C00056000,SCHW,2023-06-23 19:59:23,2023-06-30,56.0,0.11,0.1,0.1,0.1,207.0,1014,0.2695385546875,53.16999816894531,calls,0.016801455032870345
SCHW230630C00057000,SCHW,2023-06-23 19:59:10,2023-06-30,57.0,0.05,0.05,0.06,0.055,563.0,1030,0.29883513671874995,53.16999816894531,calls,0.016801455032870345
SCHW230630C00058000,SCHW,2023-06-23 19:55:57,2023-06-30,58.0,0.04,0.03,0.04,0.035,87.0,1221,0.32813171874999997,53.16999816894531,calls,0.016801455032870345
SCHW230630C00059000,SCHW,2023-06-23 19:02:52,2023-06-30,59.0,0.03,0.02,0.03,0.025,213.0,415,0.3632876171875,53.16999816894531,calls,0.016801455032870345
