contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TMUS230623C00085000,TMUS,2023-06-23 17:55:30,2023-06-23,85.0,48.31,47.7,48.25,47.975,4.0,4,4.17187978515625,132.8000030517578,calls,0.0
TMUS230623C00090000,TMUS,2023-06-23 16:02:01,2023-06-23,90.0,43.47,41.75,43.95,42.85,5.0,5,3.1093772265624997,132.8000030517578,calls,0.0
TMUS230623C00100000,TMUS,2023-06-02 15:40:12,2023-06-23,100.0,29.5,32.7,33.15,32.925,6.0,3,2.6640658398437504,132.8000030517578,calls,0.0
TMUS230623C00105000,TMUS,2023-06-08 13:35:41,2023-06-23,105.0,24.1,27.4,27.95,27.674999999999997,8.0,6,2.3359416601562493,132.8000030517578,calls,0.0
TMUS230623C00110000,TMUS,2023-06-15 14:38:30,2023-06-23,110.0,21.8,22.7,22.9,22.799999999999997,1.0,2,0.500005,132.8000030517578,calls,0.0
TMUS230623C00115000,TMUS,2023-06-02 18:30:45,2023-06-23,115.0,14.2,17.6,17.95,17.775,1.0,2,1.54297103515625,132.8000030517578,calls,0.0
TMUS230623C00119000,TMUS,2023-06-06 16:19:46,2023-06-23,119.0,10.5,13.6,13.95,13.774999999999999,0.0,5,1.2343788281249999,132.8000030517578,calls,0.0
TMUS230623C00120000,TMUS,2023-06-23 14:04:49,2023-06-23,120.0,14.15,12.7,12.9,12.8,10.0,148,0.500005,132.8000030517578,calls,0.0
TMUS230623C00123000,TMUS,2023-06-20 15:46:28,2023-06-23,123.0,8.55,9.7,10.0,9.85,10.0,36,0.7539087109375,132.8000030517578,calls,0.0
TMUS230623C00124000,TMUS,2023-06-20 19:22:56,2023-06-23,124.0,7.6,8.7,8.9,8.8,10.0,28,0.7773459765625,132.8000030517578,calls,0.0
TMUS230623C00125000,TMUS,2023-06-23 17:16:29,2023-06-23,125.0,8.4,7.7,7.9,7.800000000000001,2.0,236,0.70312796875,132.8000030517578,calls,0.0
