contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
WFC230623C00025000,WFC,2023-06-09 15:34:15,2023-06-23,25.0,17.15,15.55,15.65,15.600000000000001,0.0,4,4.312504609374999,40.61000061035156,calls,0.027907739874410267
WFC230623C00029000,WFC,2023-06-09 15:25:29,2023-06-23,29.0,13.25,11.55,11.65,11.600000000000001,0.0,1,3.1250021875,40.61000061035156,calls,0.027907739874410267
WFC230623C00030000,WFC,2023-06-23 16:12:23,2023-06-23,30.0,10.6,10.55,10.65,10.600000000000001,13.0,13,2.843752890625,40.61000061035156,calls,0.027907739874410267
WFC230623C00031000,WFC,2023-06-09 15:25:30,2023-06-23,31.0,11.25,9.5,9.7,9.6,0.0,1,2.9531276171874996,40.61000061035156,calls,0.027907739874410267
WFC230623C00033000,WFC,2023-05-15 15:23:04,2023-06-23,33.0,6.15,9.05,9.3,9.175,1.0,1,5.70312787109375,40.61000061035156,calls,0.027907739874410267
WFC230623C00035000,WFC,2023-06-08 14:27:14,2023-06-23,35.0,6.86,5.5,5.7,5.6,2.0,10,1.8125009374999999,40.61000061035156,calls,0.027907739874410267
WFC230623C00036000,WFC,2023-06-22 17:57:03,2023-06-23,36.0,5.15,4.55,4.65,4.6,8.0,38,1.2968785156249998,40.61000061035156,calls,0.027907739874410267
WFC230623C00037000,WFC,2023-05-31 15:07:07,2023-06-23,37.0,3.4,3.55,3.65,3.5999999999999996,1.0,35,1.0546922265625,40.61000061035156,calls,0.027907739874410267
WFC230623C00038000,WFC,2023-06-23 17:22:03,2023-06-23,38.0,2.58,2.58,2.63,2.605,9.0,27,0.70312796875,40.61000061035156,calls,0.027907739874410267
WFC230623C00038500,WFC,2023-06-23 18:57:57,2023-06-23,38.5,1.85,2.06,2.13,2.0949999999999998,11.0,13,0.585941640625,40.61000061035156,calls,0.027907739874410267
WFC230623C00039000,WFC,2023-06-23 18:39:50,2023-06-23,39.0,1.45,1.57,1.64,1.605,4.0,124,0.507817421875,40.61000061035156,calls,0.027907739874410267
WFC230623C00039500,WFC,2023-06-23 19:30:44,2023-06-23,39.5,1.0,1.09,1.13,1.1099999999999999,3.0,5,0.3437565625,40.61000061035156,calls,0.027907739874410267
WFC230623C00040000,WFC,2023-06-23 19:40:53,2023-06-23,40.0,0.54,0.57,0.64,0.605,118.0,587,0.242195078125,40.61000061035156,calls,0.027907739874410267
WFC230623C00040500,WFC,2023-06-23 19:59:40,2023-06-23,40.5,0.14,0.11,0.13,0.12,1963.0,152,0.07032179687500001,40.61000061035156,calls,0.027907739874410267
WFC230623P00041000,WFC,2023-06-23 19:51:29,2023-06-23,41.0,0.4,0.36,0.43,0.395,1564.0,2792,0.195320546875,40.61000061035156,puts,0.027907739874410267
WFC230623P00041500,WFC,2023-06-23 19:34:51,2023-06-23,41.5,0.99,0.86,0.91,0.885,291.0,2177,0.28516339843749994,40.61000061035156,puts,0.027907739874410267
WFC230623P00042000,WFC,2023-06-23 19:41:40,2023-06-23,42.0,1.49,1.37,1.42,1.395,69.0,3344,0.437505625,40.61000061035156,puts,0.027907739874410267
WFC230623P00042500,WFC,2023-06-23 19:45:28,2023-06-23,42.5,1.98,1.86,1.91,1.885,26.0,743,0.507817421875,40.61000061035156,puts,0.027907739874410267
WFC230623P00043000,WFC,2023-06-23 19:19:23,2023-06-23,43.0,2.55,2.37,2.42,2.395,43.0,539,0.500005,40.61000061035156,puts,0.027907739874410267
WFC230623P00043500,WFC,2023-06-21 16:47:00,2023-06-23,43.5,1.83,2.83,2.94,2.885,2.0,53,0.851563984375,40.61000061035156,puts,0.027907739874410267
WFC230623P00044000,WFC,2023-06-23 19:46:26,2023-06-23,44.0,3.5,3.3,3.45,3.375,25.0,25,0.9960937890625,40.61000061035156,puts,0.027907739874410267
